ESSRenyi,BatchSize,Bound,AvgEpLen,VarJ,MaxNormIw,ESSClassic,VarDiscRet,eRenyi2,AvgVanillaIw,VarVanillaIw,MinVanillaIw,IterType,VarRet,EpsThisIter,VarNormIw,AvgDiscRet,Delta,MaxVanillaIw,AvgRet,MinNormIw,VanillaAvgRet,AvgNormIw,J
74.2083928138,100,-148.742,42.58,19.0062,0.0200891,75.5294228506,4841.67031171,1.34756,1.00695,0.331828,0.00267871,1,4841.67031171,100,3.2726e-05,-126.517539579,0.7,2.02288,-126.517539579,2.66021e-05,-126.517539579,0.01,-111.912
80.8350187999,100,-136.483,43.19,11.7803,0.0211743,81.2901736362,1676.01205576,1.23709,1.03005,0.246667,0.0177656,1,1676.01205576,100,2.32486e-05,-118.887796507,0.7,2.18106,-118.887796507,0.000172473,-118.887796507,0.01,-111.258
87.4138950092,100,-119.193,18.6,4.82872,0.0239725,83.3292626881,53.604415036,1.14398,0.969842,0.190075,0.190533,1,53.604415036,100,2.0208e-05,-110.135658569,0.7,2.32495,-110.135658569,0.00196457,-110.135658569,0.01,-108.738
99.284570878,100,-115.796,17.39,3.14799,0.0109518,99.5194561189,10.3021160529,1.00721,1.02379,0.00511225,0.696135,1,10.3021160529,100,4.87744e-07,-108.087486402,0.7,1.12124,-108.087486402,0.0067996,-108.087486402,0.01,-108.03
94.6229883356,100,-130.255,22.91,7.95328,0.0148129,94.9673882574,493.122414149,1.05683,0.954361,0.048754,0.308372,1,493.122414149,100,5.35285e-06,-110.013813741,0.7,1.41369,-110.013813741,0.00323119,-110.013813741,0.01,-108.297
95.7718338646,100,-117.399,16.58,3.45654,0.0145487,95.4999425376,26.2569563565,1.04415,1.01556,0.0490895,0.277628,1,26.2569563565,100,4.75969e-06,-108.090282193,0.7,1.4775,-108.090282193,0.00273375,-108.090282193,0.01,-107.569
95.9950380983,100,-117.078,17.06,3.55109,0.0156543,94.5442914529,22.9158050399,1.04172,0.988021,0.0569,0.236231,1,22.9158050399,100,5.82882e-06,-107.989569136,0.7,1.54668,-107.989569136,0.00239095,-107.989569136,0.01,-107.609
98.1448137127,100,-114.969,16.57,2.33908,0.0130129,97.6684837037,6.53950844127,1.0189,0.985279,0.0234079,0.467323,1,6.53950844127,100,2.41126e-06,-107.246289449,0.7,1.28213,-107.246289449,0.00474305,-107.246289449,0.01,-107.108
97.3620940015,100,-115.637,17.61,3.14528,0.0149722,97.1336334758,11.338035314,1.02709,1.01164,0.0305056,0.534316,1,11.338035314,100,2.98076e-06,-107.654431659,0.7,1.51464,-107.654431659,0.00528168,-107.654431659,0.01,-107.44
99.5582157347,100,-114.343,17.23,2.05257,0.0122002,99.396860335,4.29076093167,1.00444,1.00248,0.00615973,0.69312,1,4.29076093167,100,6.1293e-07,-106.912903461,0.7,1.22304,-106.912903461,0.00691407,-106.912903461,0.01,-106.88
