AvgEpLen,J,IterType,BatchSize,VarDiscRet,MinVanillaIw,VarVanillaIw,Bound,VarRet,MinNormIw,VarNormIw,MaxVanillaIw,VanillaAvgRet,AvgRet,AvgDiscRet,ESSRenyi,AvgVanillaIw,VarJ,Delta,ESSClassic,eRenyi2,MaxNormIw,EpsThisIter,AvgNormIw
500.0,-8.68925,2,500,106.454270179,1.0,,-10.385,106.454270179,0.005,2.1793e-19,1.0,-11.5847371926,-11.5847371926,-11.5847371926,500.0,1.0,11.1611,0.6,200.000000102,1.0,0.005,100,0.005
500.0,-7.06694,2,500,26.3045299191,1.0,,-8.45149,26.3045299191,0.00333333,5.43914e-20,1.0,-3.82232371427,-3.82232371427,-3.82232371427,500.0,1.0,9.84843,0.6,299.999969474,1.0,0.00333333,100,0.00333333
500.0,-4.65963,2,500,164.49623189,1.0,,-5.93247,164.49623189,0.0025,5.4346e-20,1.0,2.56231003227,2.56231003227,2.56231003227,500.0,1.0,11.4386,0.6,400.0,1.0,0.0025,100,0.0025
500.0,30.3873,1,500,135.895492326,0.00310496,14289.1,27.4791,135.895492326,3.24336e-07,0.000155912,780.665,-6.02240693328,-6.02240693328,-6.02240693328,76.6212457763,19.1466,5.19884,0.6,12.5312983821,6.52561,0.0815461,100,0.002
500.0,8.7861,2,500,344.818384318,1.0,,4.96381,344.818384318,0.01,3.50449e-18,1.0,8.78610121701,8.78610121701,8.78610121701,500.0,1.0,18.4762,0.6,100.0,1.0,0.01,100,0.01
500.0,7.76777,2,500,213.595414826,1.0,,5.065,213.595414826,0.005,2.1793e-19,1.0,6.74944718847,6.74944718847,6.74944718847,500.0,1.0,16.6569,0.6,200.000000102,1.0,0.005,100,0.005
500.0,3.15651,2,500,108.54102661,1.0,,0.949708,108.54102661,0.00333333,5.43914e-20,1.0,-6.06601719223,-6.06601719223,-6.06601719223,500.0,1.0,16.227,0.6,299.999969474,1.0,0.00333333,100,0.00333333
500.0,2.93837,2,500,418.947225603,1.0,,1.02722,418.947225603,0.0025,5.4346e-20,1.0,2.28393749999,2.28393749999,2.28393749999,500.0,1.0,17.3585,0.6,400.0,1.0,0.0025,100,0.0025
500.0,46.3151,1,500,114.715750954,0.00742334,84904.3,42.5995,114.715750954,3.21006e-07,0.000158765,1902.55,0.0572176171203,0.0572176171203,0.0572176171203,105.822692372,46.2505,3.25016,0.6,12.3116598154,4.72488,0.0822715,100,0.002
500.0,9.01441,2,500,254.054541408,1.0,,5.54687,254.054541408,0.01,3.50449e-18,1.0,9.01441420195,9.01441420195,9.01441420195,500.0,1.0,15.8592,0.6,100.0,1.0,0.01,100,0.01
