Bound,VarJ,AvgEpLen,AvgDiscRet,J,VarNormIw,MinVanillaIw,AvgNormIw,eRenyi2,MaxVanillaIw,ESSRenyi,AvgRet,VarDiscRet,VanillaAvgRet,VarVanillaIw,MinNormIw,BatchSize,MaxNormIw,ESSClassic,VarRet,AvgVanillaIw
3208908.8,5.746149e-14,8.23,-6.963318810448982e-15,77.664955,0.010000002,,0.01,177438880.0,4590241.5,5.635743417677118e-07,-6.963318810448982e-15,3264.825733248062,72.25414295235169,210703190000.0,,100,1.0,1.0,3264.825733248062,45902.414
14283464.0,,13.58,3.836930773104541e-15,64.203255,0.010000003,,0.01,67248856.0,22456008.0,1.487014143407882e-06,3.836930773104541e-15,3222.4382172998203,125.71070013729248,5042723600000.0,,100,1.0,1.0,3222.4382172998203,224560.08
1877795.0,1.6862342e-12,14.1,2.842170943040401e-16,129.00525,0.010000002,,0.01,308188.47,1463526.8,0.0003244767735976494,2.842170943040401e-16,3893.8732017037396,130.90702249047504,21419106000.0,,100,1.0,1.0,3893.8732017037396,14635.268
449484.38,,14.23,3.552713678800501e-15,187.69301,0.0100000035,,0.01,152548.22,242765.64,0.0006555304337173718,3.552713678800501e-15,3706.699916211897,132.2072286988926,589351600.0,,100,1.0,1.0,3706.699916211897,2427.6565
667408.9,1.543249e-07,13.27,-9.947598300641404e-16,187.28857,0.010000003,,0.01,126031736.0,450836.84,7.934509447683876e-07,-9.947598300641404e-16,2870.2771554443348,122.60498759011156,2032539600.0,,100,1.0,1.0,2870.2771554443348,4508.3687
24.28151,485.49414,14.02,2.9416469260468145e-14,93.20678,0.0035873372,1.4725819e-28,0.01,50.78658,79.306915,1.969024134110926,2.9416469260468145e-14,2640.468448108426,130.10647543395282,65.68301,1.088276e-30,100,0.58609855,2.738627648079132,2640.468448108426,1.3531327
-14.388919,72.908264,13.78,2.5153212845907547e-14,11.540815,0.0001211361,8.419976e-05,0.010000002,1.8620411,9.32279,53.70450692714239,2.5153212845907547e-14,2560.893508009158,127.70830395236288,1.1265914,8.731009e-07,100,0.09667173,45.470103377583314,2560.893508009158,0.9643761
-10.363552,63.175774,13.52,4.6895820560166614e-15,6.963472,2.3151875e-05,0.4542785,0.01,1.2371725,3.6089323,80.82947306144493,4.6895820560166614e-15,2762.6811636020293,125.10597850567676,0.22966982,0.0045610336,100,0.036234297,81.35347667125755,2762.6811636020293,0.995999
-2.5053453,102.14596,13.45,2.842170943040401e-16,16.186373,7.740514e-05,0.047579244,0.01,1.6742376,3.5998952,59.72867857455892,2.842170943040401e-16,2830.8366582989215,124.407770242872,0.6149648,0.0005337984,100,0.040387746,56.61517683185443,2830.8366582989215,0.8913335
-15.747189,54.226994,13.29,-3.836930773104541e-15,2.2649765e-05,3.780821e-16,0.99999046,0.01,1.0,1.000001,100.0,-3.836930773104541e-15,2970.266647681526,122.80646108766474,3.8492755e-12,0.009999909,100,0.010000014,100.00000381469913,2970.266647681526,0.9999995
