J,IterType,MinNormIw,MaxVanillaIw,VarNormIw,Bound,Delta,VarVanillaIw,eRenyi2,VarDiscRet,MinVanillaIw,VarRet,BatchSize,AvgNormIw,AvgDiscRet,ESSClassic,VarJ,ESSRenyi,VanillaAvgRet,MaxNormIw,EpsThisIter,AvgEpLen,AvgRet,AvgVanillaIw
-115.885,1,0.00120196,1.74526,1.82199e-05,-196.484,0.3,0.159663,1.13542,4581.01101113,0.112517,4581.01101113,100,0.01,-128.287298725,84.718672435,24.5272,88.0734345656,-128.287298725,0.0186436,100,61.44,-128.287298725,0.936114
-108.803,1,0.00183271,1.35609,4.0963e-06,-147.177,0.3,0.0423041,1.04651,509.056739919,0.186247,509.056739919,100,0.01,-111.111921422,96.1027117814,16.3503,95.5560651206,-111.111921422,0.0133442,100,33.68,-111.111921422,1.01624
-110.962,1,0.00530633,1.97175,5.09901e-06,-140.729,0.3,0.0527018,1.0482,259.69082249,0.539465,259.69082249,100,0.01,-112.420051562,95.1945587685,12.525,95.4012926916,-112.420051562,0.0193946,100,25.77,-112.420051562,1.01665
-109.729,1,0.0033963,1.30474,3.03226e-06,-178.524,0.3,0.0307927,1.0239,1231.14374104,0.342253,1231.14374104,100,0.01,-111.793853476,97.0855779381,17.5092,97.6662280853,-111.793853476,0.0129474,100,29.44,-111.793853476,1.00772
-108.865,1,0.00397974,1.21328,1.74127e-06,-137.002,0.3,0.0175393,1.0167,96.1610666426,0.399418,96.1610666426,100,0.01,-109.366517102,98.305316492,8.5947,98.3572550747,-109.366517102,0.012089,100,24.49,-109.366517102,1.00363
-108.605,1,0.00607505,1.26858,9.21617e-07,-133.426,0.3,0.00963759,1.01324,49.7315024106,0.621239,49.7315024106,100,0.01,-108.96443973,99.0958238632,5.2868,98.6934884549,-108.96443973,0.0124054,100,22.11,-108.96443973,1.02261
-108.437,1,0.00418465,1.18796,2.40173e-06,-135.31,0.3,0.0231799,1.0214,85.4308901917,0.411105,85.4308901917,100,0.01,-109.115053626,97.6775212706,5.64432,97.904404702,-109.115053626,0.0120923,100,20.42,-109.115053626,0.982412
-108.746,1,0.00477898,1.26124,3.29691e-06,-132.209,0.3,0.0312675,1.02429,45.2907883714,0.465403,45.2907883714,100,0.01,-109.384303914,96.8392168892,4.32481,97.6282977713,-109.384303914,0.0129511,100,23.32,-109.384303914,0.973853
-108.462,1,0.00400924,1.21678,2.82285e-06,-157.427,0.3,0.027045,1.02023,458.278391064,0.392428,458.278391064,100,0.01,-109.7783303,97.2813746607,9.33989,98.0166504057,-109.7783303,0.0124312,100,23.03,-109.7783303,0.978811
-107.642,1,0.00748873,1.14908,5.73321e-07,-126.503,0.3,0.00568059,1.00482,11.1766391832,0.745429,11.1766391832,100,0.01,-107.735496672,99.4356490123,3.19453,99.5198527004,-107.735496672,0.0115439,100,17.21,-107.735496672,0.9954
-108.799,1,0.00610692,1.2234,2.16769e-06,-141.484,0.3,0.0214788,1.01598,123.176977173,0.607896,123.176977173,100,0.01,-109.374880709,97.8990663128,7.21448,98.4269721984,-109.374880709,0.0122903,100,18.85,-109.374880709,0.995421
-107.061,1,0.00806731,1.21654,4.22962e-07,-125.583,0.3,0.00429349,1.00359,9.07843066721,0.8128,9.07843066721,100,0.01,-107.126656167,99.5830413558,3.00482,99.6422854155,-107.126656167,0.0120746,100,18.79,-107.126656167,1.00752
-107.381,1,0.00657195,1.29774,8.15141e-07,-124.928,0.3,0.00823097,1.00636,12.188341091,0.660394,12.188341091,100,0.01,-107.495248901,99.1994750832,3.50723,99.3680376045,-107.495248901,0.0129145,100,19.53,-107.495248901,1.00487
-107.95,1,0.00748119,1.22085,8.9681e-07,-127.757,0.3,0.00888222,1.00773,15.373664063,0.744529,15.373664063,100,0.01,-108.098873492,99.1199545322,3.66479,99.2325178947,-108.098873492,0.0122674,100,18.12,-108.098873492,0.995201
-106.804,1,0.00808007,1.16797,5.19521e-07,-127.396,0.3,0.00529029,1.00477,17.9516384602,0.815367,17.9516384602,100,0.01,-106.90271923,99.4882614021,4.03175,99.5257446064,-106.90271923,0.0115743,100,19.44,-106.90271923,1.00911
-107.776,1,0.00427142,1.16298,2.87947e-06,-144.682,0.3,0.0274372,1.02007,181.484224249,0.416952,181.484224249,100,0.01,-108.693930258,97.2283626577,6.27549,98.0329045542,-108.693930258,0.0119141,100,19.14,-108.693930258,0.976144
-107.139,1,0.00925511,1.13288,1.23178e-07,-124.658,0.3,0.00124019,1.00136,6.14735161283,0.928666,6.14735161283,100,0.01,-107.163178724,99.8781820923,2.45767,99.864214512,-107.163178724,0.0112903,100,16.15,-107.163178724,1.00341
-106.967,1,0.00882818,1.10142,1.96079e-07,-124.581,0.3,0.00195793,1.00182,6.52899969485,0.882175,6.52899969485,100,0.01,-107.000401556,99.8062397336,2.5169,99.8188089128,-107.000401556,0.0110223,100,16.78,-107.000401556,0.999272
-107.879,1,0.00748575,1.1065,6.53992e-07,-125.624,0.3,0.00645463,1.00469,8.20521731631,0.743678,8.20521731631,100,0.01,-107.961881632,99.356694987,2.7873,99.5331960916,-107.961881632,0.0111379,100,17.78,-107.961881632,0.993458
-107.023,1,0.00744513,1.23327,5.5331e-07,-125.99,0.3,0.0054653,1.00394,8.46585358355,0.739937,8.46585358355,100,0.01,-107.101425652,99.4552303124,2.70219,99.6077723579,-107.101425652,0.012409,100,16.28,-107.101425652,0.993854
-107.319,1,0.00672965,1.12515,6.10555e-07,-125.53,0.3,0.00617984,1.00501,8.82241992946,0.677046,8.82241992946,100,0.01,-107.410280186,99.3991696632,2.80835,99.5018152902,-107.410280186,0.0111837,100,17.41,-107.410280186,1.00607
-107.619,1,0.00878734,1.13367,1.4508e-07,-125.066,0.3,0.00144532,1.00149,7.76358741983,0.877073,7.76358741983,100,0.01,-107.644478122,99.8566029276,2.75781,99.8515072402,-107.644478122,0.0113581,100,16.41,-107.644478122,0.998109
-107.468,1,0.00719589,1.45829,1.20273e-06,-125.167,0.3,0.0122123,1.00935,9.92204553263,0.725103,9.92204553263,100,0.01,-107.634510866,98.8233136903,3.25083,99.073549929,-107.634510866,0.0144721,100,18.14,-107.634510866,1.00766
-106.765,1,0.00774137,2.05466,3.06663e-06,-125.111,0.3,0.0326497,1.0235,16.0792554763,0.798779,16.0792554763,100,0.01,-107.152195865,97.0534963973,6.00057,97.703539237,-107.152195865,0.0199127,100,17.84,-107.152195865,1.03183
-108.62,1,0.00472269,1.20168,1.52249e-06,-183.062,0.3,0.0165177,1.02129,1415.50384345,0.491911,1415.50384345,100,0.01,-110.659899643,98.5151119867,17.9262,97.9155925583,-110.659899643,0.011537,100,20.78,-110.659899643,1.04159
-107.537,1,0.00739675,1.18635,7.44027e-07,-125.773,0.3,0.0075191,1.00635,9.52362734427,0.743583,9.52362734427,100,0.01,-107.654826133,99.268798593,2.8861,99.3686496865,-107.654826133,0.0118011,100,17.03,-107.654826133,1.00528
-107.252,1,0.00688542,1.09427,6.3885e-07,-127.292,0.3,0.00627347,1.00527,12.79618197,0.682315,12.79618197,100,0.01,-107.358758837,99.3715042375,3.23007,99.4759156594,-107.358758837,0.0110425,100,16.66,-107.358758837,0.990956
-106.838,1,0.00908946,1.07961,1.17534e-07,-124.212,0.3,0.00119678,1.00138,5.64939806845,0.917199,5.64939806845,100,0.01,-106.862784488,99.8837907248,2.36625,99.8623004878,-106.862784488,0.010699,100,16.76,-106.862784488,1.00908
-106.896,1,0.0090005,1.06898,1.07111e-07,-124.184,0.3,0.00107488,1.00146,8.47022951549,0.901631,8.47022951549,100,0.01,-106.918053318,99.894057954,2.92801,99.8538130905,-106.918053318,0.0106711,100,16.29,-106.918053318,1.00176
-107.323,1,0.00732961,1.17866,7.71256e-07,-128.562,0.3,0.00756492,1.00612,20.6299433157,0.725911,20.6299433157,100,0.01,-107.458033192,99.2422358713,4.06466,99.3921381398,-107.458033192,0.011901,100,17.76,-107.458033192,0.990382
-107.064,1,0.0091775,1.08167,7.55302e-08,-124.553,0.3,0.000752195,1.0008,5.97759936287,0.915861,5.97759936287,100,0.01,-107.078115232,99.9252992395,2.42379,99.9203601446,-107.078115232,0.010839,100,18.34,-107.078115232,0.997941
-107.228,1,0.00725804,1.07519,4.30287e-07,-125.141,0.3,0.00428654,1.00358,7.17109119845,0.724425,7.17109119845,100,0.01,-107.29410659,99.575783587,2.57598,99.6435281895,-107.29410659,0.0107723,100,17.6,-107.29410659,0.998101
-107.426,1,0.0074869,1.20898,1.12002e-06,-125.947,0.3,0.0109282,1.0076,8.8261483026,0.739541,8.8261483026,100,0.01,-107.566348493,98.9033331121,2.8042,99.2455964733,-107.566348493,0.0122394,100,17.89,-107.566348493,0.987781
-106.983,1,0.00777094,1.14907,3.73303e-07,-124.554,0.3,0.0037498,1.00381,6.6379976707,0.778837,6.6379976707,100,0.01,-107.049241813,99.63181087,2.51067,99.620914553,-107.049241813,0.0114649,100,19.92,-107.049241813,1.00224
-106.992,1,0.00747587,1.05315,2.23346e-07,-124.525,0.3,0.00223523,1.00215,5.48595736055,0.747882,5.48595736055,100,0.01,-107.033428068,99.779372136,2.2819,99.7853129711,-107.033428068,0.0105274,100,16.92,-107.033428068,1.00039
-107.51,1,0.00841653,1.10224,2.2878e-07,-125.974,0.3,0.00227462,1.00223,8.57450064221,0.839225,8.57450064221,100,0.01,-107.551409416,99.7739922452,2.81484,99.7776931423,-107.551409416,0.0110543,100,17.61,-107.551409416,0.997115
-107.489,1,0.00733878,1.10159,7.31979e-07,-125.017,0.3,0.00721376,1.00547,10.2369390697,0.728543,10.2369390697,100,0.01,-107.584451532,99.2805762942,3.11758,99.4560192732,-107.584451532,0.0110966,100,19.24,-107.584451532,0.992731
