AvgEpLen,EpsThisIter,VarJ,VarRet,VanillaAvgRet,VarNormIw,VarDiscRet,VarVanillaIw,BatchSize,eRenyi2,ESSClassic,IterType,Bound,Delta,MinNormIw,AvgDiscRet,AvgNormIw,J,MaxNormIw,MaxVanillaIw,AvgVanillaIw,MinVanillaIw,AvgRet,ESSRenyi
13.51,100,207.32777,19627.149800525836,125.02885165204749,2.6682057e-05,19627.149800525836,0.30428553,100,1.2235603,79.10437468613861,1,-89.70392,0.1,0.0015574612,125.02885165204749,0.010000002,172.40979,0.025521278,2.7254195,1.0679009,0.16632141,125.02885165204749,81.72870375277866
13.64,100,180.54776,20346.239138756733,126.32587638076768,6.0958187e-06,20346.239138756733,0.061391752,100,1.0644497,94.30859830173199,1,-194.9754,0.1,0.0023003155,126.32587638076768,0.01,145.28564,0.01597588,1.6032593,1.0035499,0.23084816,126.32587638076768,93.94525923842885
14.78,100,229.7655,21770.38410458001,137.72172759132349,2.3126393e-05,21770.38410458001,0.20261723,100,1.1862286,81.37020021426046,1,-136.30185,0.1,0.0005283492,137.72172759132349,0.01,183.83505,0.024350412,2.2792428,0.93601817,0.049454443,137.72172759132349,84.30078083114265
27.67,100,647.5423,229201.49217671584,266.5878669462461,4.3612936e-06,229201.49217671584,0.044328343,100,1.0406811,95.861013533932,1,-995.81995,0.1,0.0043073446,266.5878669462461,0.01,313.92612,0.01631076,1.6443993,1.0081685,0.4342529,266.5878669462461,96.09091365205377
32.39,100,781.13086,309967.73262762616,313.8806683804254,7.5399894e-06,309967.73262762616,0.07095301,100,1.0515187,93.05390474864642,1,-1155.7544,0.1,0.003875829,313.8806683804254,0.01,382.31732,0.01918649,1.8612108,0.97006327,0.37597993,313.8806683804254,95.10054555278457
57.95,100,2967.8682,1049370.0201383156,569.634298726252,7.679526e-05,1049370.0201383156,0.87948716,100,1.5579695,56.809368094543984,1,-731.06836,0.1,0.0008024151,569.634298726252,0.01,1141.2086,0.06710138,7.1809025,1.0701572,0.085871026,569.634298726252,64.18611092726063
39.05,100,1668.9824,335555.52718288894,380.4374670335507,2.2837537e-05,335555.52718288894,0.18264468,100,1.164915,81.55997874025766,1,-1048.7363,0.1,0.0006758267,380.4374670335507,0.009999999,570.12573,0.03597807,3.217487,0.89429116,0.060438585,380.4374670335507,85.84317563982454
84.9,100,3909.373,1553106.8933956332,839.2834719223283,0.0001797206,1553106.8933956332,2.0724695,100,2.2890763,35.9811419112504,1,-206.54199,0.1,6.4510925e-05,839.2834719223283,0.01,2062.9116,0.07336995,7.87886,1.0738537,0.0069275303,839.2834719223283,43.68574291939179
151.74,100,2870.74,3083747.9389177337,1508.803119433104,0.00018881813,3083747.9389177337,2.1646097,100,2.7211032,34.851708838747896,1,723.36523,0.1,4.918599e-10,1508.803119433104,0.010000002,3197.73,0.057250302,6.1297917,1.0707003,5.2663452e-08,1508.803119433104,36.74980071205683
338.57,100,1201.7736,3231890.8916995004,3380.2995545617714,7.018172e-05,3231890.8916995004,0.7336258,100,1.6884921,59.004052214310406,1,2473.5146,0.1,4.3050445e-06,3380.2995545617714,0.01,4422.6445,0.036056668,3.686472,1.0224106,0.0004401523,3380.2995545617714,59.22444196587739
427.78,100,740.7152,2008557.9751487083,4274.90702841046,2.2402966e-05,2008557.9751487083,0.23904033,100,1.2266252,81.84717476807936,1,3027.1877,0.1,0.00044826494,4274.90702841046,0.01,4688.4844,0.019036347,1.9663754,1.0329583,0.046303898,4274.90702841046,81.52449474123486
464.56,100,419.48734,1219118.3099856118,4644.356235202841,1.3055391e-05,1219118.3099856118,0.13403581,100,1.1115365,88.55447832341115,1,3310.1016,0.1,0.0007973184,4644.356235202841,0.010000002,4891.543,0.015398436,1.5602425,1.0132474,0.080788076,4644.356235202841,89.96555645690954
481.89,100,220.35783,632422.3927722087,4818.043036925575,6.6008392e-06,632422.3927722087,0.06517175,100,1.0526191,93.86600135401714,1,3404.997,0.1,0.0017831982,4818.043036925575,0.01,4943.9556,0.012605558,1.2525417,0.99364233,0.17718613,4818.043036925575,95.00112627291773
497.49,100,108.85485,26161.25139741932,4974.513832023714,6.17843e-07,26161.25139741932,0.006200346,100,1.0049021,99.39204439516858,1,3478.936,0.1,0.006512257,4974.513832023714,0.01,4982.608,0.010741745,1.0760779,1.001772,0.65237963,4974.513832023714,99.51217891913501
