Bound,AvgEpLen,VarVanillaIw,SamplesThisIter,EpsThisIter,MaxVanillaIw,AvgDiscRet,VarJ,MinNormIw,AvgNormIw,BatchSize,VanillaAvgRet,MaxNormIw,MinVanillaIw,ESSRenyi,IterType,AvgVanillaIw,VarNormIw,renyi2,VarDiscRet,AvgRet,J,delta,VarRet,ESSClassic
-182.275,450.45045045,inf,50000,111,1.22411e+22,-366.923811467,1591.2,,5.00501e-05,100,-366.923811467,0.0865891,,nan,1,7.07557e+18,4.13229e-06,nan,9847.22734727,-366.923811467,-28446.3,0.6,9847.22734727,10.9820606826
-181.336,446.428571429,inf,50000,112,4.21736e+23,-364.365619766,1780.29,,4.96032e-05,100,-364.365619766,0.0908527,,nan,1,2.30257e+20,4.50155e-06,nan,10853.6722744,-364.365619766,-30725.4,0.6,10853.6722744,10.9999974298
-169.556,413.223140496,1.99682e+22,50000,121,6.59611e+12,-329.414980331,1974.98,,4.59137e-05,100,-329.414980331,0.1,,nan,1,3.02852e+09,4.58947e-06,nan,16118.9367544,-329.414980331,-26346.8,0.6,16118.9367544,9.99999801575
-153.66,450.45045045,inf,50000,111,6.09421e+22,-362.31362301,1687.57,,5.005e-05,100,-362.31362301,0.0778976,,nan,1,3.9156e+19,3.37595e-06,nan,11205.2537805,-362.31362301,-27059.2,0.6,11205.2537805,10.877795183
nan,413.223140496,9614.26,50000,121,2133.13,-333.650997909,nan,,4.59137e-05,100,-333.650997909,0.00519779,,nan,1,18.8426,5.70848e-08,nan,15104.2234183,-333.650997909,nan,0.6,15104.2234183,2.69782412907
-395.241,495.04950495,1542.33,50000,101,3471.45,-394.589522023,7135.41,,5.50055e-05,100,-394.589522023,0.086326,,nan,1,2.21195,9.53756e-07,nan,1270.46805402,-394.589522023,-55450.4,0.6,1270.46805402,0.509595402045
-159.225,406.504065041,41910.6,50000,123,3319.57,-326.35799481,1530.57,,4.51671e-05,100,-326.35799481,0.00364282,,nan,1,41.1591,5.04704e-08,nan,18100.478106,-326.35799481,-24333.0,0.6,18100.478106,2.65160851887
-127.029,344.827586207,228.062,50000,145,112.013,-274.016955228,1259.91,,3.83142e-05,100,-274.016955228,0.00071259,,nan,1,6.02265,9.22991e-09,nan,24652.0809015,-274.016955228,-18520.9,0.6,24652.0809015,2.28891742765
-177.619,446.428571429,inf,50000,112,2.61108e+23,-360.36682039,1871.18,,4.96032e-05,100,-360.36682039,0.0998334,,nan,1,1.29734e+20,4.94161e-06,nan,10673.4579407,-360.36682039,-29810.8,0.6,10673.4579407,9.99997336541
-145.156,378.787878788,3505.26,50000,132,2537.02,-304.207425941,1400.6,,4.20875e-05,100,-304.207425941,0.0104195,,nan,1,10.2478,5.91241e-08,nan,21173.459689,-304.207425941,-21838.8,0.6,21173.459689,9.09395303932
nan,409.836065574,269062.0,50000,122,17989.0,-323.576773299,nan,,4.55373e-05,100,-323.576773299,0.0139694,,nan,1,58.6405,1.62253e-07,nan,15743.9635749,-323.576773299,nan,0.6,15743.9635749,5.73591103369
nan,409.836065574,63021.6,50000,122,5061.81,-331.480656911,nan,,4.55373e-05,100,-331.480656911,0.00577449,,nan,1,39.9172,8.2017e-08,nan,16731.5671259,-331.480656911,nan,0.6,16731.5671259,1.94919233736
-133.097,375.939849624,5719.57,50000,133,1629.41,-301.421824966,1648.73,,4.17711e-05,100,-301.421824966,0.00401705,,nan,1,16.9433,3.4763e-08,nan,20311.876243,-301.421824966,-23163.7,0.6,20311.876243,9.36493036931
nan,354.609929078,83.9391,50000,141,101.129,-283.722881397,nan,,3.94011e-05,100,-283.722881397,0.00105138,,nan,1,3.78987,9.07261e-09,nan,26404.2764468,-283.722881397,nan,0.6,26404.2764468,2.26189080969
-137.463,384.615384615,3307.39,50000,130,2141.28,-297.890560496,1608.88,,4.2735e-05,100,-297.890560496,0.00804565,,nan,1,11.3736,4.6694e-08,nan,20409.6564478,-297.890560496,-20907.5,0.6,20409.6564478,6.67367220831
-243.111,480.769230769,359516.0,50000,104,26803.9,-386.537365407,3904.44,,5.34188e-05,100,-386.537365407,0.039767,,nan,1,36.0056,7.91347e-07,nan,4682.27249747,-386.537365407,-36183.1,0.6,4682.27249747,0.915577435707
nan,409.836065574,1.76246e+09,50000,122,1.9647e+06,-328.300012202,nan,,4.55374e-05,100,-328.300012202,0.0842073,,nan,1,1062.47,3.23762e-06,nan,17369.2459496,-328.300012202,nan,0.6,17369.2459496,9.96781343787
-100.944,324.675324675,169.794,50000,154,106.325,-252.467261903,1577.25,,3.6075e-05,100,-252.467261903,0.000691472,,nan,1,5.54712,7.18129e-09,nan,27810.7316762,-252.467261903,-15769.6,0.6,27810.7316762,2.47932946982
