J,AvgNormIw,ESSClassic,MaxVanillaIw,VanillaAvgRet,AvgEpLen,AvgVanillaIw,VarNormIw,Delta,BatchSize,MaxNormIw,AvgDiscRet,MinNormIw,ESSRenyi,AvgRet,IterType,EpsThisIter,VarVanillaIw,VarRet,VarJ,MinVanillaIw,VarDiscRet,eRenyi2,Bound
-162.597,0.01,45.8017229517,3.87902,-309.32856151,379.06,1.21103,0.000119528,0.1,100,0.0320308,-309.32856151,3.11887e-07,39.3653496655,-309.32856151,1,100,1.75298,23344.6619147,168.739,3.77703e-05,23344.6619147,2.54031,-362.053
-105.738,0.01,68.1718604844,2.12924,-177.413078213,228.88,0.967528,4.71597e-05,0.1,100,0.022007,-177.413078213,2.59603e-06,71.1019193499,-177.413078213,1,100,0.441467,22387.4103302,97.7541,0.000251173,22387.4103302,1.40643,-254.149
-98.4337,0.01,97.2283572716,1.21163,-104.130706583,141.66,1.02167,2.87947e-06,0.1,100,0.0118594,-104.130706583,0.00237322,96.3389046137,-104.130706583,1,100,0.030056,9153.335605,87.9114,0.242464,9153.335605,1.038,-225.931
-109.866,0.01,96.3692060059,1.27764,-115.061718818,155.44,1.01832,3.80562e-06,0.1,100,0.0125465,-115.061718818,0.00450822,95.8682389534,-115.061718818,1,100,0.0394636,10752.0061724,99.9514,0.459082,10752.0061724,1.0431,-237.677
-99.9158,0.01,94.9510344643,1.31985,-107.583840678,146.4,1.00062,5.37116e-06,0.1,100,0.0131903,-107.583840678,0.00437752,94.0855775738,-107.583840678,1,100,0.0537784,9842.24689815,87.4628,0.438024,9842.24689815,1.06286,-228.929
-102.801,0.01,94.6234740235,1.28322,-110.622167401,148.78,1.00219,5.73943e-06,0.1,100,0.0128041,-110.622167401,0.00185276,95.1400111533,-110.622167401,1,100,0.0576465,11574.8356227,98.6338,0.185683,11574.8356227,1.05108,-231.1
-96.0485,0.01,96.5630563218,1.26737,-100.467346671,136.79,0.994878,3.59524e-06,0.1,100,0.012739,-100.467346671,0.00503821,96.7719414012,-100.467346671,1,100,0.035585,9026.02524716,83.9772,0.50124,9026.02524716,1.03336,-223.262
-85.3304,0.01,95.0057866589,1.34057,-92.4286314414,127.48,1.00785,5.30983e-06,0.1,100,0.0133013,-92.4286314414,0.00355904,94.5639904825,-92.4286314414,1,100,0.0539355,6997.32527747,63.6995,0.358699,6997.32527747,1.05748,-214.018
-102.172,0.01,96.1757045123,2.36529,-105.418967175,142.2,1.01833,4.01653e-06,0.1,100,0.0232272,-105.418967175,0.00846239,97.5456511491,-105.418967175,1,100,0.0416511,11110.3953767,97.8185,0.861749,11110.3953767,1.02516,-228.878
-82.948,0.01,99.5439817004,1.18976,-83.7642491898,117.72,1.01036,4.62704e-07,0.1,100,0.0117755,-83.7642491898,0.00744319,99.3217648677,-83.7642491898,1,100,0.00472344,4872.43565425,66.6314,0.752033,4872.43565425,1.00683,-208.517
-99.1894,0.01,94.111608047,1.2717,-104.873804675,141.34,0.962166,6.32e-06,0.1,100,0.013217,-104.873804675,0.0037342,95.0062585424,-104.873804675,1,100,0.0585083,11115.3356223,92.6633,0.359292,11115.3356223,1.05256,-227.579
-82.0457,0.01,95.9972001832,1.32314,-86.3803187512,119.75,1.00961,4.21182e-06,0.1,100,0.0131055,-86.3803187512,0.00464877,96.7689831053,-86.3803187512,1,100,0.0429313,6002.39480517,65.399,0.469343,6002.39480517,1.03339,-209.258
-84.6728,0.01,96.8900078662,1.27073,-87.7617497672,121.8,0.985306,3.24228e-06,0.1,100,0.0128968,-87.7617497672,0.00271044,97.408481216,-87.7617497672,1,100,0.031477,5955.11459172,67.0278,0.267062,5955.11459172,1.0266,-211.469
-78.6556,0.01,97.1758222248,1.17798,-81.4153083313,113.97,0.992473,2.9356e-06,0.1,100,0.0118692,-81.4153083313,0.00318906,97.6385475305,-81.4153083313,1,100,0.0289158,4859.82073141,59.2267,0.316505,4859.82073141,1.02419,-205.301
-79.8763,0.01,99.7028207295,1.14545,-80.3574140877,113.01,0.995007,3.01071e-07,0.1,100,0.011512,-80.3574140877,0.00816869,99.6250436451,-80.3574140877,1,100,0.00298072,4897.45103423,67.1114,0.812791,4897.45103423,1.00376,-205.252
-82.7645,0.01,99.6626399526,1.24384,-83.2669087245,116.67,1.00434,3.41889e-07,0.1,100,0.0123847,-83.2669087245,0.00921039,99.6157802855,-83.2669087245,1,100,0.00344863,4837.31089129,67.452,0.925035,4837.31089129,1.00386,-208.148
-91.4879,0.01,99.1023660457,1.09987,-92.7295121107,126.84,1.00645,9.14887e-07,0.1,100,0.0109282,-92.7295121107,0.00463746,99.1293369191,-92.7295121107,1,100,0.00926731,8178.12077011,86.7945,0.466739,8178.12077011,1.00878,-217.176
-82.7413,0.01,99.1147197242,1.0771,-83.5301714492,116.82,0.98789,9.02205e-07,0.1,100,0.0109031,-83.5301714492,0.00684864,99.3344670473,-83.5301714492,1,100,0.00880485,4859.80422682,67.8716,0.67657,4859.80422682,1.0067,-208.302
-95.3207,0.01,98.4815293713,1.53066,-96.9880846016,131.99,0.999994,1.55748e-06,0.1,100,0.0153067,-96.9880846016,0.00631676,98.6698067456,-96.9880846016,1,100,0.0155746,9162.70864453,90.7317,0.631672,9162.70864453,1.01348,-221.304
-90.8577,0.01,99.5195310974,1.1682,-91.5872230206,124.37,0.997004,4.87657e-07,0.1,100,0.0117171,-91.5872230206,0.00864047,99.4096292365,-91.5872230206,1,100,0.00484739,8226.96434081,88.6972,0.861458,8226.96434081,1.00594,-216.372
-74.9643,0.01,98.8879169324,1.10722,-77.3840219852,109.14,1.01598,1.13593e-06,0.1,100,0.010898,-77.3840219852,0.00345216,98.6482709051,-77.3840219852,1,100,0.0117253,3785.14688474,51.9615,0.350734,3785.14688474,1.0137,-200.954
-79.2439,0.01,99.6406681656,1.21891,-79.5581183752,111.5,1.00899,3.64259e-07,0.1,100,0.0120805,-79.5581183752,0.00946199,99.7552202399,-79.5581183752,1,100,0.00370835,4930.91693544,67.7209,0.954701,4930.91693544,1.00245,-204.54
-77.0092,0.01,99.220905921,1.24144,-77.868547388,110.1,0.99851,7.93127e-07,0.1,100,0.0124329,-77.868547388,0.00804796,99.3243285645,-77.868547388,1,100,0.00790765,3722.71912217,58.0294,0.803597,3722.71912217,1.0068,-202.576
-88.3471,0.01,97.3485007346,1.20729,-92.4201262972,127.51,1.00759,2.75124e-06,0.1,100,0.0119819,-92.4201262972,0.00468956,97.1685550688,-92.4201262972,1,100,0.0279319,8144.97512852,80.2566,0.472518,8144.97512852,1.02914,-215.299
-90.7884,0.01,99.315512496,1.25918,-91.9547443466,126.36,0.998183,6.96182e-07,0.1,100,0.0126147,-91.9547443466,0.00916969,99.1325818727,-91.9547443466,1,100,0.00693655,8200.51918596,86.1504,0.915303,8200.51918596,1.00875,-216.477
-70.5591,0.01,96.9657454545,1.19368,-74.3037917157,106.33,0.996547,3.1608e-06,0.1,100,0.0119781,-74.3037917157,0.00376883,97.5434960367,-74.3037917157,1,100,0.0313901,2567.72059254,28.0875,0.375582,2567.72059254,1.02518,-197.266
-85.1139,0.01,99.2565792469,1.33554,-85.9838153587,119.38,1.00122,7.5656e-07,0.1,100,0.0133391,-85.9838153587,0.00811044,99.3259162412,-85.9838153587,1,100,0.00758401,5974.662062,73.312,0.81203,5974.662062,1.00679,-210.68
-75.2676,0.01,99.2562223588,1.21685,-76.1069648542,107.38,1.01408,7.56928e-07,0.1,100,0.0119995,-76.1069648542,0.00788976,99.3328202852,-76.1069648542,1,100,0.00778394,3775.03331989,57.1257,0.800085,3775.03331989,1.00672,-200.828
-77.9309,0.01,96.9345264622,1.2064,-81.1827643196,113.65,1.01758,3.19434e-06,0.1,100,0.0118556,-81.1827643196,0.00368618,97.4757379929,-81.1827643196,1,100,0.0330767,4925.00310914,55.1096,0.3751,4925.00310914,1.0259,-204.683
-86.6097,0.01,99.1115945539,1.45313,-88.2118985811,121.98,1.00921,9.05411e-07,0.1,100,0.0143987,-88.2118985811,0.00688417,98.6614280007,-88.2118985811,1,100,0.00922167,7102.27971322,77.8595,0.694758,7102.27971322,1.01357,-212.599
-86.9426,0.01,98.2246704886,1.22963,-88.7587823057,123.03,0.999029,1.82565e-06,0.1,100,0.0123083,-88.7587823057,0.00532248,98.4739984331,-88.7587823057,1,100,0.018221,7164.40502652,78.7664,0.531731,7164.40502652,1.0155,-213.051
-97.4488,0.01,83.9615342362,4.4513,-103.478005169,139.63,1.07355,1.92951e-05,0.1,100,0.0414635,-103.478005169,0.00691285,95.5077277321,-103.478005169,1,100,0.222377,11157.4903035,92.3311,0.742126,11157.4903035,1.04704,-225.5
-82.5309,0.01,99.2876895177,1.20212,-83.5215113865,117.26,1.00109,7.24661e-07,0.1,100,0.012008,-83.5215113865,0.00844634,99.2538985805,-83.5215113865,1,100,0.00726249,4846.05292206,64.0001,0.845559,4846.05292206,1.00752,-208.142
