EpsThisIter,SamplesThisIter,IterType,MinVanillaIw,VarJ,ESSClassic,Delta,AvgNormIw,Bound,VarVanillaIw,ESSRenyi,BatchSize,eRenyi2,MinNormIw,MaxVanillaIw,VarNormIw,AvgVanillaIw,J,MaxNormIw,VanillaAvgRet,VarRet,VarDiscRet,AvgEpLen,AvgRet,AvgDiscRet
8576,50000,1,1.0,56.2545,8575.99965547,0.6,0.000116604,41.4845,,100.0,100,1.0,0.000116604,1.0,2.11783e-22,1.0,48.2705,0.000116604,48.2704665807,3164.94170608,3164.94170608,5.8302238806,48.2704665807,48.2704665807
8423,50000,1,1.0,59.7158,8423.00039784,0.6,0.000118723,39.546,,100.0,100,1.0,0.000118723,1.0,,1.0,49.3293,0.000118723,49.3293346379,3566.39876194,3566.39876194,5.93612727057,49.3293346379,49.3293346379
8328,50000,1,1.0,64.71,8328.00051784,0.6,0.000120077,37.2159,,100.0,100,1.0,0.000120077,1.0,4.76513e-22,1.0,50.0064,0.000120077,50.0064316189,4187.88881987,4187.88881987,6.00384245917,50.0064316189,50.0064316189
8342,50000,1,1.0,63.2802,8342.00016806,0.6,0.000119875,39.9856,,100.0,100,1.0,0.000119875,1.0,4.76513e-22,1.0,49.9057,0.000119875,49.9057359578,4004.86617154,4004.86617154,5.99376648286,49.9057359578,49.9057359578
8475,50000,1,1.0,60.1382,8475.0003959,0.6,0.000117994,40.6305,,100.0,100,1.0,0.000117994,1.0,2.11783e-22,1.0,48.9657,0.000117994,48.9656619239,3617.02360554,3617.02360554,5.89970501475,48.9656619239,48.9656619239
8457,50000,1,1.0,60.7325,8456.99934582,0.6,0.000118245,34.3562,,100.0,100,1.0,0.000118245,1.0,,1.0,49.0907,0.000118245,49.0906796753,3688.87784155,3688.87784155,5.91226203145,49.0906796753,49.0906796753
8437,50000,1,1.0,57.7287,8437.00034429,0.6,0.000118526,41.4981,,100.0,100,1.0,0.000118526,1.0,2.11783e-22,1.0,49.2297,0.000118526,49.2296814594,3333.00002398,3333.00002398,5.92627711272,49.2296814594,49.2296814594
8347,50000,1,1.0,60.732,8347.00038002,0.6,0.000119804,42.9915,,100.0,100,1.0,0.000119804,1.0,4.76513e-22,1.0,49.8698,0.000119804,49.8698323735,3688.81602396,3688.81602396,5.99017611118,49.8698323735,49.8698323735
8286,50000,1,1.0,63.864,8286.00046633,0.6,0.000120685,39.4596,,100.0,100,1.0,0.000120685,1.0,8.47135e-22,1.0,50.3109,0.000120685,50.3108716858,4079.10274572,4079.10274572,6.03427468018,50.3108716858,50.3108716858
8578,50000,1,1.0,61.2276,8578.00005045,0.6,0.000116577,34.3315,,100.0,100,1.0,0.000116577,1.0,2.11783e-22,1.0,48.2574,0.000116577,48.2573934687,3749.26120896,3749.26120896,5.82886453719,48.2573934687,48.2573934687
