eRenyi2,MaxNormIw,Bound,AvgEpLen,J,ESSRenyi,Delta,VarNormIw,VarDiscRet,AvgRet,BatchSize,MaxVanillaIw,VanillaAvgRet,MinNormIw,MinVanillaIw,EpsThisIter,VarRet,AvgDiscRet,VarJ,IterType,AvgVanillaIw,VarVanillaIw,ESSClassic,AvgNormIw
1.39796,0.0433677,0.05511,500.0,7.57962,71.5327649273,0.1,0.000317256,85.479104066,-5.14520982434,100,23.8495,-5.14520982434,0.000147066,0.0808771,100,85.479104066,-5.14520982434,1.6202,1,5.49936,95.9476,24.1497564726,0.01
1.49312,0.0364284,-10.6593,500.0,-1.42739,133.947422102,0.1,0.000110432,112.732897058,-5.14520982434,200,12.3644,-5.14520982434,0.000123534,0.0419296,100,85.479104066,-0.335136722968,8.76542,,3.39417,12.7222,47.7720325447,0.01
1.64991,0.0979758,10.42,500.0,17.4648,121.218454851,0.1,0.000457262,148.453307245,-6.82180592305,200,554.686,-6.82180592305,1.33434e-05,0.075543,100,148.453307245,-6.82180592305,2.00134,1,28.3073,14656.2,10.4171799507,0.005
1.0,0.01,-19.4318,500.0,-1.28546,200.0,0.1,3.50449e-18,456.6674536,-1.28546405921,200,1.0,-1.28546405921,0.01,1.0,100,456.6674536,-1.28546405921,21.2627,2,1.0,,100.0,0.01
1.46534,0.0256003,-23.9595,500.0,-8.42693,204.730090539,0.1,3.3785e-05,218.352585285,-6.82180592305,300,13.2375,-6.82180592305,3.48653e-06,0.00180282,100,148.453307245,-7.15656566774,17.3877,,2.58542,9.03325,85.3008747881,0.005
1.66748,0.0957313,8.59524,500.0,17.2867,179.912023649,0.1,0.000295388,363.60068486,1.09962608198,300,427.415,1.09962608198,9.33071e-06,0.0416591,100,363.60068486,1.09962608198,3.36323,1,14.8824,5888.23,10.9105440284,0.00333333
1.0,0.01,-6.12738,500.0,0.857744,300.0,0.1,3.50449e-18,175.966848924,0.857744031721,300,1.0,0.857744031721,0.01,1.0,100,175.966848924,0.857744031721,13.1988,2,1.0,,100.0,0.01
1.0,0.005,-9.45768,500.0,0.301812,300.0,0.1,2.1793e-19,349.964856498,-0.254119386718,300,1.0,-0.254119386718,0.005,1.0,100,349.964856498,-0.254119386718,16.1445,2,1.0,,200.000000102,0.005
1.62167,0.0259148,-12.9968,500.0,-2.84922,246.65988705,0.1,2.4529e-05,75.0647358471,1.09962608198,400,24.0043,1.09962608198,2.52586e-06,0.00233965,100,363.60068486,-3.20184871052,27.1328,,3.08759,21.0456,93.742519196,0.00333333
1.90458,0.0963089,9.27827,500.0,17.3227,210.019597154,0.1,0.000226213,51.7204381988,-2.56319410037,400,709.56,-2.56319410037,3.99574e-06,0.0294388,100,51.7204381988,-2.56319410037,3.64144,1,18.4189,12279.0,10.7806452808,0.0025
1.0,0.01,-7.55732,500.0,2.33998,400.0,0.1,3.50449e-18,174.519389776,2.33997623543,400,1.0,2.33997623543,0.01,1.0,100,174.519389776,2.33997623543,13.1444,2,1.0,,100.0,0.01
1.0,0.005,-4.1519,500.0,2.84655,400.0,0.1,2.1793e-19,124.314446213,3.35311467604,400,1.0,3.35311467604,0.005,1.0,100,124.314446213,3.35311467604,12.1729,2,1.0,,200.000000102,0.005
1.0,0.00333333,-3.30013,500.0,2.61537,400.0,0.1,5.43914e-20,192.351604449,2.1530193908,400,1.0,2.1530193908,0.00333333,1.0,100,192.351604449,2.1530193908,12.7424,2,1.0,,299.999969474,0.00333333
1.80287,0.0263271,-6.27363,500.0,0.605044,277.335026052,0.1,2.02539e-05,113.773744372,-2.56319410037,500,33.9688,-2.56319410037,1.09228e-06,0.00140932,100,51.7204381988,-5.76188889357,15.0872,,3.22565,33.7181,94.5061941139,0.0025
2.2139,0.0969335,9.63315,500.0,17.3906,225.845929317,0.1,0.000184297,41.2602706965,-4.54870537809,500,1180.24,-4.54870537809,1.28876e-06,0.0156916,100,41.2602706965,-4.54870537809,3.60875,1,24.3516,27322.0,10.6423706261,0.002
1.0,0.01,-6.97702,500.0,-2.05883,500.0,0.1,3.50449e-18,62.2594304705,-2.05882891565,500,1.0,-2.05882891565,0.01,1.0,100,62.2594304705,-2.05882891565,7.85091,2,1.0,,100.0,0.01
1.0,0.005,-7.21224,500.0,-3.25352,500.0,0.1,2.1793e-19,103.931869932,-4.44820960219,500,1.0,-4.44820960219,0.005,1.0,100,103.931869932,-4.44820960219,9.14833,2,1.0,,200.000000102,0.005
1.0,0.00333333,-6.06884,500.0,-1.67758,500.0,0.1,5.43914e-20,81.3371986144,1.47430866952,500,1.0,1.47430866952,0.00333333,1.0,100,81.3371986144,1.47430866952,9.35965,2,1.0,,299.999969474,0.00333333
1.0,0.0025,-4.96882,500.0,-1.16587,500.0,0.1,5.4346e-20,52.5532135482,0.369243328482,500,1.0,0.369243328482,0.0025,1.0,100,52.5532135482,0.369243328482,8.91599,2,1.0,,400.0,0.0025
4.84591,0.094609,16.5075,500.0,23.9952,103.179691851,0.1,0.000175396,92.3764301851,-2.72170190466,500,288.741,-2.72170190466,6.72471e-07,0.00205235,100,92.3764301851,-2.72170190466,9.29846,1,6.10389,1633.71,11.170344473,0.002
1.0,0.01,-8.74886,500.0,-4.69159,500.0,0.1,3.50449e-18,29.8551517235,-4.69158604255,500,1.0,-4.69158604255,0.01,1.0,100,29.8551517235,-4.69158604255,5.4366,2,1.0,,100.0,0.01
1.0,0.005,-5.42299,500.0,-0.814456,500.0,0.1,2.1793e-19,97.4173506968,3.06267413224,500,1.0,3.06267413224,0.005,1.0,100,97.4173506968,3.06267413224,8.83357,2,1.0,,200.000000102,0.005
1.0,0.00333333,-5.33151,500.0,-1.56866,500.0,0.1,5.43914e-20,44.6992654335,-3.07706909756,500,1.0,-3.07706909756,0.00333333,1.0,100,44.6992654335,-3.07706909756,8.24074,2,1.0,,299.999969474,0.00333333
1.0,0.0025,-5.36459,500.0,-2.10586,500.0,0.1,5.4346e-20,39.9790470786,-3.71745135217,500,1.0,-3.71745135217,0.0025,1.0,100,39.9790470786,-3.71745135217,7.85448,2,1.0,,400.0,0.0025
