VarRet,EpsThisIter,VarNormIw,Delta,IterType,MaxNormIw,AvgEpLen,VarVanillaIw,ESSClassic,VarJ,Bound,VanillaAvgRet,AvgNormIw,VarDiscRet,AvgDiscRet,AvgRet,MinNormIw,MinVanillaIw,BatchSize,AvgVanillaIw,MaxVanillaIw,ESSRenyi,J,eRenyi2
139465.810687,100,9.91284e-05,0.6,1,0.0309718,500.0,1.22668,50.4701088067,100.367,-1391.79,-1440.71148367,0.01,139465.810687,-1440.71148367,-1440.71148367,2.74528e-08,3.05389e-06,100,1.11241,3.44535,50.5752548415,-1164.6,1.97725
57233.3068604,100,2.23744e-05,0.6,1,0.0193295,500.0,0.251759,81.8661250008,62.8376,-1324.11,-1207.64895592,0.01,57233.3068604,-1207.64895592,-1207.64895592,0.000261629,0.0277526,100,1.06076,2.05039,82.1211165391,-1144.79,1.21771
2934.33614705,100,4.12008e-06,0.6,1,0.0164648,500.0,0.0413859,96.0809835915,54.698,-1259.43,-1134.64511048,0.01,2934.33614705,-1134.64511048,-1134.64511048,0.00540299,0.541511,100,1.00224,1.65018,96.4434180988,-1130.09,1.03688
28384.8274724,100,2.65151e-05,0.6,1,0.0383941,500.0,0.259432,79.2079556504,172.798,-1299.74,-1167.04332924,0.01,28384.8274724,-1167.04332924,-1167.04332924,0.000181027,0.0179064,100,0.989156,3.79778,82.9945607281,-1124.01,1.2049
13507.1443649,100,1.2794e-05,0.6,1,0.0243066,500.0,0.139219,88.7578490824,189.946,-1285.44,-1130.72141992,0.01,13507.1443649,-1130.72141992,-1130.72141992,0.00267134,0.278661,100,1.04315,2.53554,88.984122768,-1115.35,1.1238
19656.4174731,100,5.1721e-05,0.6,1,0.0610142,500.0,0.530539,66.1359322973,279.979,-1278.28,-1137.58166915,0.01,19656.4174731,-1137.58166915,-1137.58166915,0.000533778,0.0540612,100,1.0128,6.17954,71.5744085258,-1089.02,1.39715
22128.9948548,100,0.000148233,0.6,1,0.094813,500.0,2.36716,40.5268060015,373.283,-1247.73,-1116.14677614,0.01,22128.9948548,-1116.14677614,-1116.14677614,3.15059e-05,0.00398138,100,1.26369,11.9815,52.548653626,-1026.6,1.903
21330.7728019,100,8.44014e-05,0.6,1,0.0547974,500.0,0.716711,54.4788622187,269.479,-1246.13,-1103.01358491,0.01,21330.7728019,-1103.01358491,-1103.01358491,0.000150446,0.0138636,100,0.921504,5.04961,64.6582690491,-1047.11,1.54659
77902.6986437,100,0.000245144,0.6,1,0.100897,500.0,2.27236,29.1806887987,355.738,-1219.11,-1116.31224058,0.01,77902.6986437,-1116.31224058,-1116.31224058,5.84585e-07,5.62829e-05,100,0.962783,9.71417,43.8359737873,-977.345,2.28123
72891.3393716,100,0.000380572,0.6,1,0.186513,500.0,4.79937,20.9746342763,564.825,-1090.64,-994.654464658,0.01,72891.3393716,-994.654464658,-994.654464658,2.66242e-05,0.00298985,100,1.12298,20.9451,47.6803822521,-858.224,2.0973
103350.057723,100,7.75508e-05,0.6,1,0.0377515,500.0,0.741046,56.5689808509,157.733,-984.351,-895.146017583,0.01,103350.057723,-895.146017583,-895.146017583,8.33192e-06,0.000814469,100,0.977529,3.69032,58.5096942379,-775.044,1.70912
57007.9224362,100,3.60075e-05,0.6,1,0.0377291,500.0,0.443228,73.7205308515,138.007,-910.019,-783.103675316,0.01,57007.9224362,-783.103675316,-783.103675316,0.000471946,0.0523612,100,1.10947,4.18594,75.6695612295,-725.934,1.32154
110791.267424,100,5.6463e-05,0.6,1,0.0423641,500.0,0.598711,64.1443470623,203.229,-925.377,-813.05128473,0.01,110791.267424,-813.05128473,-813.05128473,5.96791e-06,0.000614538,100,1.02974,4.3624,67.0681670362,-729.833,1.49102
43359.2159721,100,2.95823e-05,0.6,1,0.0251002,500.0,0.283999,77.3476389018,121.387,-876.525,-738.609992177,0.01,43359.2159721,-738.609992177,-738.609992177,0.000654588,0.0641373,100,0.979811,2.45935,79.5429173958,-696.992,1.25718
112415.380266,100,2.97862e-05,0.6,1,0.024725,500.0,0.279854,77.2270708241,172.549,-891.186,-772.979768863,0.01,112415.380266,-772.979768863,-772.979768863,0.000417398,0.0404584,100,0.969301,2.3966,74.6211547383,-705.74,1.3401
27844.1174107,100,1.98538e-05,0.6,1,0.0216647,500.0,0.214169,83.5733851861,79.1231,-841.673,-701.243368042,0.01,27844.1174107,-701.243368042,-701.243368042,0.000844987,0.0877618,100,1.03862,2.25014,85.4213232747,-668.56,1.17067
41867.7206899,100,0.000129249,0.6,1,0.11421,500.0,1.63672,43.8680038156,202.275,-832.096,-691.631991805,0.01,41867.7206899,-691.631991805,-691.631991805,0.00130946,0.147356,100,1.12532,12.8523,73.4528516432,-645.203,1.36142
24006.5520479,100,4.58742e-06,0.6,1,0.0164047,500.0,0.0503319,95.6557555336,122.56,-827.819,-672.80576256,0.01,24006.5520479,-672.80576256,-672.80576256,0.00552463,0.578683,100,1.04746,1.71832,94.587747174,-663.209,1.05722
39301.2281262,100,1.72529e-05,0.6,1,0.0287017,500.0,0.160025,85.4114032555,100.854,-822.455,-677.292135473,0.01,39301.2281262,-677.292135473,-677.292135473,0.00170465,0.164172,100,0.96308,2.7642,88.069366082,-651.884,1.13547
45946.7042568,100,2.56499e-05,0.6,1,0.0242624,500.0,0.272996,79.7489926456,101.685,-819.539,-685.362069879,0.01,45946.7042568,-685.362069879,-685.362069879,0.000492402,0.050799,100,1.03166,2.50304,84.0206895467,-644.91,1.19018
20527.4795595,100,1.02064e-05,0.6,1,0.016679,500.0,0.0978191,90.8229408034,79.9465,-812.186,-659.489860532,0.01,20527.4795595,-659.489860532,-659.489860532,0.00298929,0.292647,100,0.978984,1.63284,91.7786290987,-645.041,1.08958
8292.637414,100,4.0507e-05,0.6,1,0.0247587,500.0,0.333586,71.3766072338,85.4679,-724.813,-649.733935689,0.01,8292.637414,-649.733935689,-649.733935689,0.000493297,0.0447659,100,0.907483,2.24681,79.5149371652,-629.989,1.25763
4884.47952978,100,1.71971e-05,0.6,1,0.0232215,500.0,0.177529,85.4517375896,56.2744,-704.489,-627.748263109,0.01,4884.47952978,-627.748263109,-627.748263109,0.00353191,0.358853,100,1.01603,2.35938,87.632198759,-617.036,1.14113
6939.13516767,100,1.91778e-05,0.6,1,0.0251673,500.0,0.185369,84.0434731306,74.2055,-696.309,-620.497622446,0.01,6939.13516767,-620.497622446,-620.497622446,0.00217227,0.213566,100,0.983147,2.47432,84.8569967858,-606.116,1.17845
2363.23404548,100,1.51603e-05,0.6,1,0.0243449,500.0,0.156235,86.94998745,43.3353,-676.948,-618.511105029,0.01,2363.23404548,-618.511105029,-618.511105029,0.0018003,0.18276,100,1.01516,2.47141,88.167410083,-609.842,1.13421
4518.07891961,100,1.90494e-05,0.6,1,0.022159,500.0,0.158242,84.1333705293,45.2537,-696.564,-616.20761974,0.01,4518.07891961,-616.20761974,-616.20761974,0.00179879,0.163947,100,0.911426,2.01963,86.9627976936,-602.543,1.14992
1486.628701,100,1.79437e-05,0.6,1,0.0259225,500.0,0.188057,84.9153985042,40.7058,-644.292,-592.298243617,0.01,1486.628701,-592.298243617,-592.298243617,0.00345431,0.353631,100,1.02374,2.65378,88.4317458765,-584.792,1.13082
1892.4125454,100,1.77355e-05,0.6,1,0.0259792,500.0,0.184397,85.0643272161,43.003,-651.941,-599.924209578,0.01,1892.4125454,-599.924209578,-599.924209578,0.00153583,0.156603,100,1.01966,2.64899,87.3198819664,-591.892,1.14521
4068.68394045,100,1.21286e-05,0.6,1,0.024817,500.0,0.120314,89.2799306338,54.8409,-680.446,-606.523103559,0.01,4068.68394045,-606.523103559,-606.523103559,0.00112448,0.111996,100,0.995985,2.47174,91.6968948618,-600.003,1.09055
2634.40968258,100,1.29739e-05,0.6,1,0.0188312,500.0,0.125713,88.6178066911,47.7203,-656.624,-590.235652654,0.01,2634.40968258,-590.235652654,-590.235652654,0.00226807,0.22326,100,0.98436,1.85367,90.7644162193,-584.403,1.10175
3945.15381465,100,6.04209e-06,0.6,1,0.0163801,500.0,0.0567887,94.3559623363,42.3141,-686.319,-602.257233427,0.01,3945.15381465,-602.257233427,-602.257233427,0.00223982,0.217145,100,0.969476,1.58801,96.2414406625,-597.413,1.03905
7555.85075618,100,1.75521e-05,0.6,1,0.0309656,500.0,0.178623,85.1958949486,80.7406,-694.682,-607.509252509,0.01,7555.85075618,-607.509252509,-607.509252509,0.00249355,0.251549,100,1.0088,3.12381,89.7394908477,-597.775,1.11434
1847.75087109,100,8.39666e-06,0.6,1,0.0176492,500.0,0.0907526,92.3252781107,44.0067,-652.447,-595.780814936,0.01,1847.75087109,-595.780814936,-595.780814936,0.00337002,0.350355,100,1.03962,1.83485,92.1219580845,-590.835,1.08552
1573.86442671,100,5.4445e-05,0.6,1,0.0572722,500.0,0.543078,64.9770096182,54.2091,-639.225,-586.457033858,0.01,1573.86442671,-586.457033858,-586.457033858,0.00225577,0.225293,100,0.998739,5.72,79.2116799487,-574.272,1.26244
1905.09638819,100,1.92064e-05,0.6,1,0.0222612,500.0,0.213829,84.0235132414,47.2351,-648.038,-593.496518432,0.01,1905.09638819,-593.496518432,-593.496518432,0.00205346,0.216669,100,1.05514,2.34887,84.9035041614,-584.635,1.17781
