MaxVanillaIw,AvgDiscRet,VarRet,AvgEpLen,VarVanillaIw,VarNormIw,VarJ,ESSClassic,Bound,BatchSize,MinVanillaIw,VarDiscRet,AvgVanillaIw,VanillaAvgRet,eRenyi2,AvgNormIw,ESSRenyi,J,AvgRet,MaxNormIw,MinNormIw
3.294608,-1755.5122400206126,4748736.6551930625,200.0,1.5017275,9.665426e-05,204.76935,51.101834369731705,-824.43134,100,1.0540073e-18,4748736.6551930625,1.2464792,-1755.5122400206126,2.3898437,0.01,41.843740619136724,-75.2505,-1755.5122400206126,0.026431313,8.455876e-21
1.2982695,-72.87840045971554,185352.8693922955,200.0,0.086678974,8.227528e-06,61.876766,92.46823495449297,-308.93863,100,0.08199015,185352.8693922955,1.0264131,-72.87840045971554,1.0939841,0.01,91.40900450735339,-18.311253,-72.87840045971554,0.012648606,0.00079880265
1.2204187,-31.852237875703114,47745.27279516609,200.0,0.045602318,4.513618e-06,53.05429,95.7226667592714,-204.95699,100,0.24004926,47745.27279516609,1.0051503,-31.852237875703114,1.0583645,0.01,94.48540555213582,-15.053854,-31.852237875703114,0.012141652,0.0023881926
1.1862881,-36.84333959975375,79178.62244943072,200.0,0.041717697,4.200146e-06,41.51795,96.00784096039216,-255.48904,100,0.14383405,79178.62244943072,0.9966163,-36.84333959975375,1.0445331,0.01,95.73655137609035,-12.798487,-36.84333959975375,0.011903158,0.001443224
1.4062817,-9.844583705028205,71.83382307323129,200.0,0.06494597,5.955453e-06,9.045283,94.43234395747302,-12.1064415,100,0.44336644,71.83382307323129,1.0442841,-9.844583705028205,1.0866215,0.01,92.02836304291208,-9.645805,-9.844583705028205,0.013466466,0.0042456496
2.3952734,-9.311784236318875,67.1419491895578,200.0,0.7090462,7.876515e-05,9.143855,56.18688378204264,-10.305484,100,9.3948637e-07,67.1419491895578,0.9487903,-9.311784236318875,1.7726833,0.01,56.411656891618854,-7.339115,-9.311784236318875,0.025245553,9.901939e-09
2.8265922,-9.289404798344401,60.387034986942375,200.0,0.10489977,9.827702e-06,7.669556,91.13324682443725,-11.449268,100,0.80478525,60.387034986942375,1.033145,-9.289404798344401,1.0961415,0.010000002,91.22910123553837,-9.018866,-9.289404798344401,0.027359108,0.007789665
5.5652533,-8.47241762784306,54.93359533701021,200.0,2.4021053,0.0002594261,13.805438,28.024406126687786,-10.627186,100,1.0891776e-05,54.93359533701021,0.9622528,-8.47241762784306,3.3418188,0.010000002,29.923824629703457,-6.28992,-8.47241762784306,0.05783567,1.13190374e-07
1.3947936,-9.055495593236182,54.86297078214882,200.0,0.008810875,8.82198e-07,7.5188055,99.13418853161474,-11.093783,100,0.933109,54.86297078214882,0.9993704,-9.055495593236182,1.0103945,0.01,98.97124791597918,-9.041532,-9.055495593236182,0.013956723,0.009336968
2.0895436,-7.235323026678356,50.78416333881075,200.0,0.029408922,2.994967e-06,7.0426545,97.12037385749544,-9.265095,100,0.8795587,50.78416333881075,0.9909313,-7.235323026678356,1.0457871,0.009999999,95.62175741145997,-7.128631,-7.235323026678356,0.021086665,0.008876082
2.4002008,-8.225455129690447,51.34643709196591,200.0,0.073741004,7.138024e-06,7.1426144,93.39978411256227,-10.236516,100,0.7661152,51.34643709196591,1.0164021,-8.225455129690447,1.0928172,0.01,91.50661351348256,-8.017252,-8.225455129690447,0.023614677,0.0075375205
2.4224432,-8.070610330991256,55.07426582215721,200.0,0.6787073,8.659361e-05,8.100801,53.84227645365453,-9.527842,100,1.1595749e-05,55.07426582215721,0.8853161,-8.070610330991256,1.78942,0.009999999,55.88402919162629,-6.752517,-8.070610330991256,0.027362466,1.3097863e-07
5.2918367,-7.6890756698699105,53.278974330277514,200.0,1.3241158,0.0001479977,8.956494,40.5650313351177,-9.190331,100,0.0003949125,53.278974330277514,0.9458788,-7.6890756698699105,2.4214604,0.01,41.29739243690223,-5.833231,-7.6890756698699105,0.055946242,4.1750855e-06
2.432732,-7.437797757659719,51.97893205806492,200.0,0.09643381,1.0075329e-05,7.233515,90.93012102172015,-9.497786,100,0.5192412,51.97893205806492,0.9783293,-7.437797757659719,1.066837,0.01,93.73503580233353,-7.305071,-7.437797757659719,0.024866188,0.0053074276
2.0927284,-7.789895584283295,41.964918711866225,200.0,0.56691325,6.231235e-05,7.321245,61.84703191567432,-8.900705,100,6.5676475e-05,41.964918711866225,0.95383054,-7.789895584283295,1.5704767,0.01,63.674935838185085,-6.460841,-7.789895584283295,0.021940254,6.8855496e-07
1.7842264,-7.444210592063364,43.64409045386331,200.0,0.3650035,3.7442456e-05,7.0264106,72.95647354756613,-9.376423,100,0.00028167435,43.64409045386331,0.9873391,-7.444210592063364,1.3546393,0.01,73.82038938929055,-6.9787006,-7.444210592063364,0.018071061,2.8528634e-06
1.1100001,-8.481996814375824,56.45810397397218,200.0,0.00046385787,4.6308497e-08,7.4855843,99.95415938623889,-10.500959,100,0.9866832,56.45810397397218,1.000834,-8.481996814375824,1.0003318,0.01,99.9668350575012,-8.480945,-8.481996814375824,0.011090752,0.00985861
