MinNormIw,VanillaAvgRet,AvgRet,AvgDiscRet,EpsThisIter,BatchSize,MaxNormIw,MaxVanillaIw,VarDiscRet,VarJ,Bound,MinVanillaIw,IterType,SamplesThisIter,ESSRenyi,AvgNormIw,VarRet,AvgVanillaIw,VarNormIw,delta,J,VarVanillaIw,renyi2,AvgEpLen,ESSClassic
,-367.912270879,-367.912270879,-367.912270879,111,100,0.0909043,7.96973e+24,8912.64006365,1287.52,-188.332,,1,50000,nan,5.00501e-05,8912.64006365,4.38797e+21,4.54725e-06,0.7,-32783.4,inf,nan,450.45045045,11.0000002938
,-365.069894835,-365.069894835,-365.069894835,111,100,0.072824,1.95267e+20,10807.2057127,1701.69,-143.26,,1,50000,nan,5.00501e-05,10807.2057127,1.34202e+17,3.09082e-06,0.7,-29808.9,inf,nan,450.45045045,10.3832722521
4.57762e-08,-404.711726505,-404.711726505,-404.711726505,100,100,0.000253283,4.37303,213.556592171,324.548,-427.839,0.000790343,1,50000,nan,5.55556e-05,213.556592171,0.959188,9.74781e-10,0.7,-71735.5,0.290576,nan,500.0,1.22793318148
,-356.133640066,-356.133640066,-356.133640066,111,100,0.0460329,5.84555e+18,8380.24850031,1866.37,-203.819,,1,50000,nan,5.00501e-05,8380.24850031,6.35567e+15,2.2673e-06,0.7,-34808.4,inf,nan,450.45045045,5.65402855549
,-366.677288249,-366.677288249,-366.677288249,111,100,0.0908404,6.26573e+24,9419.17848611,1732.98,-173.459,,1,50000,nan,5.00501e-05,9419.17848611,3.45221e+21,4.54086e-06,0.7,-33452.8,inf,nan,450.45045045,10.9999995247
,-399.158528932,-399.158528932,-399.158528932,100,100,0.000527002,14.9811,550.13516761,382.648,-413.307,,1,50000,nan,5.55556e-05,550.13516761,1.57928,9.09139e-09,0.7,-67238.2,7.34668,nan,500.0,0.718830000597
,-397.916240938,-397.916240938,-397.916240938,101,100,0.666351,8.46587e+20,1502.88717302,2264.0,-353.745,,1,50000,nan,5.50055e-05,1502.88717302,6.98835e+16,3.05376e-05,0.7,-41710.5,inf,nan,495.04950495,0.799757705242
9.31813e-07,-403.415093432,-403.415093432,-403.415093432,100,100,0.000189966,3.52035,170.272318638,222.52,-427.423,0.0172679,1,50000,nan,5.55556e-05,170.272318638,1.02953,6.26739e-10,0.7,-71844.9,0.215232,nan,500.0,0.7259787974
3.14044e-11,-406.009131315,-406.009131315,-406.009131315,100,100,0.000186289,3.66517,207.563923437,356.64,-429.184,6.17869e-07,1,50000,nan,5.55556e-05,207.563923437,1.09303,1.02822e-09,0.7,-71917.5,0.398013,nan,500.0,0.936042747542
,-406.857675292,-406.857675292,-406.857675292,101,100,0.343019,6.27383e+07,964.983668357,2920.29,-382.349,,1,50000,nan,5.50055e-05,964.983668357,10060.5,1.42848e-05,0.7,-53436.9,4.77864e+11,nan,495.04950495,1.34885420359
,-402.134242487,-402.134242487,-402.134242487,100,100,0.00186432,60.7081,605.325983325,683.525,-414.202,,1,50000,nan,5.55556e-05,605.325983325,1.80907,2.39928e-08,0.7,-63643.4,25.441,nan,500.0,0.859700215705
2.59573e-05,-409.522756681,-409.522756681,-409.522756681,100,100,0.000206334,3.45358,55.0145219414,232.933,-435.709,0.434468,1,50000,nan,5.55556e-05,55.0145219414,0.929879,1.31956e-10,0.7,-73531.7,0.036968,nan,500.0,0.723526212352
,-369.323385225,-369.323385225,-369.323385225,110,100,0.0944576,9.15413e+20,7531.63323626,1170.51,-226.571,,1,50000,nan,5.05051e-05,7531.63323626,4.89457e+17,4.51171e-06,0.7,-36720.8,inf,nan,454.545454545,9.98261556438
,-371.048272985,-371.048272985,-371.048272985,110,100,0.0999949,7.39342e+20,9761.45466368,1945.54,-153.655,,1,50000,nan,5.05051e-05,9761.45466368,3.73424e+17,5.04769e-06,0.7,-27612.7,inf,nan,454.545454545,10.0000017557
6.95604e-15,-402.506629902,-402.506629902,-402.506629902,100,100,0.000358089,7.00957,293.139376453,465.414,-423.746,1.36164e-10,1,50000,nan,5.55556e-05,293.139376453,1.0875,1.88564e-09,0.7,-70613.6,0.722536,nan,500.0,1.02060649918
,-404.827909522,-404.827909522,-404.827909522,101,100,0.346048,2.07674e+11,1132.5858137,1859.4,-356.379,,1,50000,nan,5.50055e-05,1132.5858137,3.30105e+07,1.14358e-05,0.7,-42726.7,4.11868e+18,nan,495.04950495,0.575865348643
,-402.720428519,-402.720428519,-402.720428519,101,100,0.423116,3.30061e+14,1323.15427346,nan,nan,,1,50000,nan,5.50055e-05,1323.15427346,4.29082e+10,1.33563e-05,0.7,nan,8.12746e+24,nan,495.04950495,0.737164798565
,-330.033447632,-330.033447632,-330.033447632,122,100,0.0736542,1.46362e+06,20090.3180296,2048.16,-99.6339,,1,50000,nan,4.55373e-05,20090.3180296,904.898,2.48916e-06,0.7,-21258.4,9.82918e+08,nan,409.836065574,9.96124838616
,-327.736256703,-327.736256703,-327.736256703,124,100,0.0184415,24670.4,18471.7818633,2270.21,-141.847,,1,50000,nan,4.48029e-05,18471.7818633,59.9359,2.25063e-07,0.7,-29880.2,402779.0,nan,403.225806452,6.98807246312
,-319.878985362,-319.878985362,-319.878985362,125,100,0.0153807,28029.1,18031.4275705,1656.89,-151.373,,1,50000,nan,4.44444e-05,18031.4275705,80.9935,2.43606e-07,0.7,-25093.5,809008.0,nan,400.0,8.97963419736
,-336.370425806,-336.370425806,-336.370425806,120,100,0.0539886,452529.0,16369.8563553,1734.32,-129.848,,1,50000,nan,4.62963e-05,16369.8563553,388.053,1.40198e-06,0.7,-24041.9,9.84987e+07,nan,416.666666667,9.61626494515
,-395.615455361,-395.615455361,-395.615455361,102,100,0.993138,4.19522e+11,2512.30191971,nan,nan,,1,50000,nan,5.44662e-05,2512.30191971,2.30077e+07,5.37216e-05,0.7,nan,9.58605e+18,nan,490.196078431,0.999997656767
,-244.107983228,-244.107983228,-244.107983228,159,100,0.00812263,1410.59,26453.0307573,1576.41,-96.5181,,1,50000,nan,3.49406e-05,26453.0307573,6.06786,2.8393e-08,0.7,-17764.0,856.293,nan,314.465408805,9.56316828888
,-262.754946936,-262.754946936,-262.754946936,148,100,0.00177858,431.073,22464.8157198,1154.5,-114.295,,1,50000,nan,3.75375e-05,22464.8157198,9.09796,1.69264e-08,0.7,-17397.2,994.308,nan,337.837837838,3.79882287279
,-234.066385085,-234.066385085,-234.066385085,164,100,0.00214574,272.325,20980.0827062,1403.12,-112.84,,1,50000,nan,3.38753e-05,20980.0827062,4.29927,1.29373e-08,0.7,-19423.5,208.384,nan,304.87804878,2.19394472138
,-175.327327091,-175.327327091,-175.327327091,215,100,0.00068383,87.0011,20370.2633431,984.383,-90.5819,,1,50000,nan,2.58398e-05,20370.2633431,3.2875,2.60168e-09,0.7,-14024.7,42.112,nan,232.558139535,3.73210147681
,-316.926851856,-316.926851856,-316.926851856,122,100,0.096781,3.04954e+10,17292.7853537,1818.96,-120.793,,1,50000,nan,4.55373e-05,17292.7853537,1.43487e+07,4.26801e-06,0.7,-22229.5,4.23753e+17,nan,409.836065574,9.98922112221
4.68293e-05,-409.466321593,-409.466321593,-409.466321593,100,100,9.5639e-05,1.68518,5.340342024,39.3355,-436.269,0.825141,1,50000,1.21412894738e-13,5.55556e-05,5.340342024,0.978898,1.24107e-11,0.7,-73686.0,0.00385316,34.3447,500.0,0.59800210596
4.64524e-05,-409.348167213,-409.348167213,-409.348167213,100,100,7.92107e-05,1.41925,3.42035714054,25.8627,-436.249,0.832306,1,50000,1.20353222863e-13,5.55556e-05,3.42035714054,0.99541,8.4396e-12,0.7,-73669.8,0.00270939,34.3535,500.0,0.606599195697
4.43636e-05,-409.471272055,-409.471272055,-409.471272055,100,100,6.50698e-05,1.17547,2.2605574851,21.4832,-436.347,0.801417,1,50000,1.18595845425e-13,5.55556e-05,2.2605574851,1.0036,6.14112e-12,0.7,-73695.6,0.00200406,34.3682,500.0,0.582599717221
,-404.329301212,-404.329301212,-404.329301212,101,100,0.342417,1.00714e+14,1198.05279836,nan,nan,,1,50000,nan,5.50055e-05,1198.05279836,1.61785e+10,7.80739e-06,0.7,nan,6.75414e+23,nan,495.04950495,0.825785349891
,-365.561069902,-365.561069902,-365.561069902,110,100,0.0829829,1.70645e+19,10192.1806227,1750.83,-157.107,,1,50000,nan,5.05051e-05,10192.1806227,1.03858e+16,3.58672e-06,0.7,-30733.5,inf,nan,454.545454545,9.69009779746
,-353.955592598,-353.955592598,-353.955592598,114,100,0.0998846,7.27932e+19,12159.7214202,2193.16,-162.051,,1,50000,nan,4.87329e-05,12159.7214202,3.55153e+16,4.85992e-06,0.7,-30103.2,inf,nan,438.596491228,9.99998733579
