J,VarJ,StepSize,AvgRet,GradInftyNorm,Grad2Norm,AvgEpLen,BatchSize
-10.265526138623484,2.5671427437366137,0.089897618081748,-10.2,4.740992427940094,11.123765249159932,40.0,10
-9.906096335690707,2.695498467425261,0.11467269012487867,-9.2,4.37233673217607,8.72047214477134,40.0,10
-8.831287688118246,2.053713118038294,0.13238649911896228,-4.8,3.794635291138131,7.553640338365635,40.0,10
-6.681670392973325,,613371180374770.1,4.0,8.880306508320098e-16,1.6303341793610184e-15,40.0,10
-8.91073055180989,2.0220750080148457,0.14148767292660325,-5.0,3.5750934050765784,7.06775353156561,40.0,10
-7.756479040545786,1.1552136288965404,0.17321158902568573,-0.4,3.579052373424237,5.773285757754401,40.0,10
-8.831287688118246,2.053713118038294,0.08786627139348258,-4.8,8.46176196517206,11.380931319161158,40.0,10
-6.681670392973325,,,4.0,,,40.0,10
-6.681670392973325,,,4.0,,,40.0,10
-6.681670392973325,,,4.0,,,40.0,10
-6.761113256664968,0.006311168591529121,2.8185270565239935,3.8,0.1953651906679577,0.35479524586621164,40.0,10
-6.681670392973325,,619489729449183.5,4.0,9.151603154217321e-16,1.614231766019988e-15,40.0,10
-6.681670392973325,,525874468241501.8,4.0,1.3023880685267376e-15,1.9015945066585006e-15,40.0,10
-7.756479040545787,1.1552136288965404,0.13505875677529416,-0.4,4.8045561761499815,7.4041848442582925,40.0,10
-6.681670392973325,,,4.0,,,40.0,10
-6.681670392973325,,,4.0,,,40.0,10
-6.681670392973325,,,4.0,,,40.0,10
-6.681670392973325,,573884121660459.6,4.0,1.2403294611393004e-15,1.7425120547099806e-15,40.0,10
-6.681670392973325,,,4.0,,,40.0,10
-6.681670392973325,,597090423257150.2,4.0,7.430678235380535e-16,1.6747882080321489e-15,40.0,10
-6.681670392973325,,590970542835580.6,4.0,9.546317966538983e-16,1.6921317181086963e-15,40.0,10
-6.681670392973325,,,4.0,,,40.0,10
-6.681670392973325,,507602509095855.4,4.0,1.351843016241444e-15,1.970045423497228e-15,40.0,10
-6.681670392973325,,,4.0,,,40.0,10
-6.681670392973325,,465146906314569.25,4.0,1.4916135639942114e-15,2.149858434882765e-15,40.0,10
-6.681670392973325,,564068538459280.4,4.0,7.273925663034609e-16,1.7728342068703928e-15,40.0,10
-6.681670392973325,,,4.0,,,40.0,10
-6.681670392973325,,502949596785695.44,4.0,1.2120101687190975e-15,1.988270805645154e-15,40.0,10
-6.681670392973325,,592789797522043.6,4.0,8.972737483146675e-16,1.6869386149696914e-15,40.0,10
-6.681670392973325,,,4.0,,,40.0,10
-6.681670392973325,,,4.0,,,40.0,10
-6.681670392973325,,,4.0,,,40.0,10
-6.681670392973325,,,4.0,,,40.0,10
-6.681670392973325,,592601688197802.5,4.0,8.545599149576626e-16,1.687474099240523e-15,40.0,10
-6.681670392973325,,524615205523471.0,4.0,7.48482686132424e-16,1.9061590084911493e-15,40.0,10
-6.681670392973325,,,4.0,,,40.0,10
-6.681670392973325,,528902515988736.3,4.0,8.516546607700072e-16,1.8907075874475446e-15,40.0,10
-6.681670392973325,,450301876914064.8,4.0,1.4554675552887892e-15,2.2207324714101493e-15,40.0,10
-8.804232497262436,2.0027488292242293,0.07867925850674445,-4.6,7.783032574991255,12.709829998134504,40.0,10
-6.681670392973325,,,4.0,,,40.0,10
-6.681670392973325,,,4.0,,,40.0,10
-6.681670392973325,,,4.0,,,40.0,10
-6.681670392973325,,294997903065307.25,4.0,1.439794751141021e-15,3.3898546044194015e-15,40.0,10
-6.681670392973325,,,4.0,,,40.0,10
-6.681670392973325,,518462733942226.94,4.0,9.122160871305912e-16,1.928778935365934e-15,40.0,10
-6.681670392973325,,460184527648245.8,4.0,1.2388818818324428e-15,2.173041334332684e-15,40.0,10
-7.756479040545787,1.1552136288965404,0.09746261126367531,-0.4,6.707713454242283,10.260344834129269,40.0,10
-8.831287688118246,2.053713118038294,0.05779314472699192,-4.8,13.823996967795955,17.303090266568525,40.0,10
-6.681670392973325,,495066690710199.3,4.0,1.4766220760915231e-15,2.019929877660416e-15,40.0,10
-6.681670392973325,,259970177583741.78,4.0,2.5901912090836014e-15,3.846595056765229e-15,40.0,10
