Bound,eRenyi2,MaxVanillaIw,ESSClassic,VarDiscRet,VarJ,IterType,Delta,AvgVanillaIw,VanillaAvgRet,AvgRet,MinNormIw,BatchSize,AvgNormIw,MinVanillaIw,EpsThisIter,VarRet,AvgEpLen,ESSRenyi,AvgDiscRet,VarNormIw,J,MaxNormIw,VarVanillaIw
-162.865,1.16713,4.78544,73.4204923627,11145.8007359,85.8238,1,0.3,0.988537,-103.794313263,-103.794313263,0.00182622,100,0.01,0.180529,100,11145.8007359,140.04,85.6804601733,-103.794313263,3.65674e-05,-94.0283,0.0484093,0.357339
-155.221,1.07227,2.25574,89.6997712974,8115.7392151,80.3465,1,0.3,0.986167,-93.9077567028,-93.9077567028,0.0012848,100,0.01,0.126703,100,8115.7392151,128.57,93.2598203934,-93.9077567028,1.1599e-05,-89.24,0.0228738,0.112803
-160.981,1.04251,2.19002,96.5086676858,9130.6295956,85.7753,1,0.3,0.982613,-99.1509167516,-99.1509167516,0.00840667,100,0.01,0.82605,100,9130.6295956,134.36,95.9222285825,-99.1509167516,3.65418e-06,-95.9212,0.0222878,0.0352821
-146.896,1.02434,1.4205,97.3960738305,4854.23046246,63.2807,1,0.3,1.00123,-83.9182960892,-83.9182960892,0.00535953,100,0.01,0.536613,100,4854.23046246,117.09,97.6241734754,-83.9182960892,2.70055e-06,-82.406,0.0141876,0.0270721
-150.856,1.10946,1.55342,90.7879450589,7036.86942684,64.2351,1,0.3,1.00289,-90.9752394259,-90.9752394259,0.00209721,100,0.01,0.210327,100,7036.86942684,125.02,90.1339780791,-90.9752394259,1.02493e-05,-83.7397,0.0154894,0.103086
-134.128,1.02496,1.29717,97.4258698076,1369.24513711,22.7775,1,0.3,0.994248,-71.4353916261,-71.4353916261,0.00255805,100,0.01,0.254333,100,1369.24513711,102.39,97.5649720149,-71.4353916261,2.66882e-06,-69.6364,0.0130467,0.0263821
-167.775,1.08915,1.60262,89.5147935251,12135.5253505,102.617,1,0.3,0.990026,-107.439900637,-107.439900637,0.00106618,100,0.01,0.105555,100,12135.5253505,143.54,91.8145109168,-107.439900637,1.18317e-05,-101.275,0.0161877,0.115968
-145.752,1.01288,1.36091,98.605914135,4840.81885187,65.5861,1,0.3,1.008,-82.4833561969,-82.4833561969,0.00710143,100,0.01,0.715823,100,4840.81885187,115.11,98.7279284691,-82.4833561969,1.42805e-06,-81.6236,0.0135011,0.0145098
-150.173,1.11457,1.9434,89.1022488664,7034.34736397,65.0666,1,0.3,1.02548,-89.8091296308,-89.8091296308,0.00203952,100,0.01,0.20915,100,7034.34736397,123.53,89.7207648943,-89.8091296308,1.23542e-05,-82.9026,0.0189511,0.129918
-149.05,1.04918,1.34088,94.5364222745,7166.8552996,73.8928,1,0.3,0.953163,-87.0971505372,-87.0971505372,0.00338823,100,0.01,0.322953,100,7166.8552996,120.17,95.3122020999,-87.0971505372,5.83773e-06,-83.7827,0.0140677,0.0530369
-149.336,1.03321,2.05537,94.9276849455,5990.62416001,67.5767,1,0.3,1.00953,-86.6483208632,-86.6483208632,0.00395122,100,0.01,0.398885,100,5990.62416001,120.11,96.7856970615,-86.6483208632,5.39734e-06,-84.5683,0.0203598,0.0550065
-170.203,1.0344,1.47343,97.275310636,12088.4216223,105.281,1,0.3,0.981868,-107.542204632,-107.542204632,0.00658209,100,0.01,0.646275,100,12088.4216223,144.28,96.6748586947,-107.542204632,2.82932e-06,-105.397,0.0150064,0.0272765
-146.657,1.0092,1.24796,99.2223891727,4860.58785654,66.1728,1,0.3,0.99553,-83.2226853968,-83.2226853968,0.00777207,100,0.01,0.773732,100,4860.58785654,115.81,99.0881433116,-83.2226853968,7.91594e-07,-82.645,0.0125356,0.00784532
-154.944,1.03894,1.63685,95.9774169699,6933.28955873,75.4373,1,0.3,0.997913,-92.6505069371,-92.6505069371,0.00326615,100,0.01,0.325933,100,6933.28955873,127.76,96.2520197346,-92.6505069371,4.23351e-06,-89.9996,0.0164027,0.0421586
-146.273,1.04735,1.61919,95.9222525666,6033.94160617,64.1627,1,0.3,1.00822,-84.3050579454,-84.3050579454,0.00524222,100,0.01,0.528529,100,6033.94160617,117.2,95.4793660347,-84.3050579454,4.29406e-06,-81.0626,0.01606,0.0436491
-149.31,1.07089,1.37799,94.1230371055,7154.98353948,74.9402,1,0.3,0.98921,-87.3169499733,-87.3169499733,0.0037882,100,0.01,0.374733,100,7154.98353948,120.23,93.3801417276,-87.3169499733,6.30701e-06,-83.3678,0.0139302,0.0617164
-160.632,1.06523,1.81412,92.1273832146,10258.6812177,89.1174,1,0.3,0.984642,-98.8317161269,-98.8317161269,0.00364794,100,0.01,0.359191,100,10258.6812177,134.09,93.8766173742,-98.8317161269,8.63165e-06,-94.8669,0.0184242,0.0836856
-177.931,1.0138,1.66266,98.7953037605,13975.7506286,116.63,1,0.3,1.01897,-114.604889093,-114.604889093,0.0078064,100,0.01,0.795452,100,13975.7506286,152.26,98.6392578839,-114.604889093,1.23168e-06,-113.774,0.016317,0.0127887
-144.869,1.01455,1.72208,98.3205382821,4857.55659174,65.4027,1,0.3,1.00774,-81.6837720504,-81.6837720504,0.00872086,100,0.01,0.878837,100,4857.55659174,113.69,98.566321173,-81.6837720504,1.72539e-06,-80.6873,0.0170885,0.0175221
-139.104,1.00648,1.38007,99.1245000388,2548.74021058,47.868,1,0.3,1.01321,-75.607217997,-75.607217997,0.00901674,100,0.01,0.913585,100,2548.74021058,107.58,99.3557387105,-75.607217997,8.92182e-07,-75.1841,0.0136208,0.00915909
-154.284,1.04051,1.75242,96.3945477396,8207.93876863,84.4851,1,0.3,1.02538,-91.7511041857,-91.7511041857,0.00668272,100,0.01,0.685235,100,8207.93876863,125.8,96.1070748607,-91.7511041857,3.77808e-06,-89.2865,0.0170904,0.0397232
-164.105,1.02425,1.85369,98.1075490172,10106.4415334,95.5703,1,0.3,0.982182,-101.246855279,-101.246855279,0.00883521,100,0.01,0.867779,100,10106.4415334,136.6,97.6326724053,-101.246855279,1.94841e-06,-99.6171,0.0188732,0.018796
-147.686,1.03463,1.75913,95.4280302466,6014.58394799,67.2643,1,0.3,1.02081,-85.112463429,-85.112463429,0.00518204,100,0.01,0.52899,100,6014.58394799,117.62,96.6533607019,-85.112463429,4.83939e-06,-82.8726,0.0172326,0.0504295
-152.814,1.02861,2.01733,96.4168092385,7052.1281439,76.1198,1,0.3,1.03271,-90.2178776686,-90.2178776686,0.00828181,100,0.01,0.855271,100,7052.1281439,124.17,97.2182055594,-90.2178776686,3.75389e-06,-88.1903,0.0195344,0.0400349
-159.357,1.07862,2.81063,87.8588303854,10316.1856957,86.9903,1,0.3,1.05912,-98.5262590326,-98.5262590326,0.0055613,100,0.01,0.589006,100,10316.1856957,133.33,92.7112243626,-98.5262590326,1.39585e-05,-93.18,0.0265375,0.156577
-150.379,1.03455,1.66609,96.2735074069,5891.93844257,67.8745,1,0.3,0.992395,-87.8659505968,-87.8659505968,0.0057919,100,0.01,0.574785,100,5891.93844257,121.56,96.6604550962,-87.8659505968,3.90983e-06,-85.568,0.0167886,0.0385058
-140.515,1.0844,1.33489,90.8103421893,4913.15327547,45.5881,1,0.3,0.968968,-81.0613217619,-81.0613217619,0.0011713,100,0.01,0.113495,100,4913.15327547,113.03,92.2170210081,-81.0613217619,1.02218e-05,-74.1609,0.0137764,0.0959727
-162.6,1.04016,2.16902,94.8503578659,10162.3079183,91.4607,1,0.3,1.01922,-100.442825573,-100.442825573,0.00789679,100,0.01,0.804854,100,10162.3079183,135.87,96.1390499909,-100.442825573,5.48408e-06,-97.6076,0.0212813,0.0569688
-154.322,1.06649,1.46889,94.9481910419,8174.59971916,80.1963,1,0.3,1.0458,-92.4750959358,-92.4750959358,0.00387218,100,0.01,0.404954,100,8174.59971916,125.93,93.7653889059,-92.4750959358,5.37431e-06,-88.5181,0.0140456,0.0587791
-139.915,1.01518,1.31902,98.582911694,2573.47305367,44.8655,1,0.3,0.998813,-76.6300805759,-76.6300805759,0.00653378,100,0.01,0.652603,100,2573.47305367,107.91,98.5045953737,-76.6300805759,1.45199e-06,-75.7137,0.0132059,0.0144855
-143.219,1.01234,1.5202,98.7292270109,3712.46617336,55.7663,1,0.3,1.00983,-79.97894399,-79.97894399,0.0084618,100,0.01,0.854502,100,3712.46617336,112.35,98.7811399163,-79.97894399,1.3001e-06,-79.1125,0.0150539,0.013258
-137.232,1.01966,1.85825,96.9266778268,2584.26472606,44.0597,1,0.3,1.01132,-74.1940887961,-74.1940887961,0.00519381,100,0.01,0.525263,100,2584.26472606,105.25,98.072227743,-74.1940887961,3.20277e-06,-72.91,0.0183744,0.0327572
-161.468,1.159,4.22934,82.3058014022,11237.0928409,83.8974,1,0.3,1.0536,-102.893531247,-102.893531247,0.00240516,100,0.01,0.253408,100,11237.0928409,138.41,86.28130955,-102.893531247,2.17153e-05,-92.8699,0.0401419,0.241055
-149.207,1.0099,1.29639,99.088214294,6001.93263915,74.6751,1,0.3,1.00728,-85.8246908821,-85.8246908821,0.00803889,100,0.01,0.809741,100,6001.93263915,118.82,99.020104889,-85.8246908821,9.29493e-07,-85.1799,0.0128703,0.00943073
-147.066,1.04666,1.54364,95.214947987,6025.3667208,67.4337,1,0.3,1.00823,-85.7456488575,-85.7456488575,0.00285853,100,0.01,0.288207,100,6025.3667208,118.83,95.5415576792,-85.7456488575,5.07631e-06,-81.8774,0.0153104,0.0516025
-159.249,1.10153,2.52668,88.9953679394,10265.2049366,88.0418,1,0.3,1.05037,-99.3172363764,-99.3172363764,0.000812913,100,0.01,0.0853859,100,10265.2049366,133.49,90.7826077546,-99.3172363764,1.24903e-05,-92.3668,0.0240551,0.137803
-138.902,1.08675,1.44086,91.5411245515,3768.00796742,31.3338,1,0.3,0.986869,-78.1357886747,-78.1357886747,0.00131148,100,0.01,0.129426,100,3768.00796742,109.6,92.0175009253,-78.1357886747,9.33385e-06,-72.4811,0.0146003,0.0909033
-150.18,1.0788,1.7357,93.537499096,7114.44539022,66.9301,1,0.3,0.974939,-88.8242508678,-88.8242508678,0.00297883,100,0.01,0.290418,100,7114.44539022,121.93,92.6957137859,-88.8242508678,6.97877e-06,-83.9978,0.0178032,0.0663336
-151.804,1.2019,1.96307,80.6123532535,8186.83908852,64.959,1,0.3,0.971038,-92.7949808767,-92.7949808767,0.000504968,100,0.01,0.0490343,100,8186.83908852,126.21,83.2017126329,-92.7949808767,2.42934e-05,-81.9479,0.0202162,0.229066
-145.489,1.05413,1.66732,95.3622860877,6064.64609459,64.8034,1,0.3,1.02587,-83.3846008061,-83.3846008061,0.0050155,100,0.01,0.514528,100,6064.64609459,115.04,94.8648776713,-83.3846008061,4.91237e-06,-80.071,0.0162527,0.0516987
-148.965,1.0793,1.32342,91.7391740781,7123.42019516,72.7802,1,0.3,0.979464,-87.4568289375,-87.4568289375,0.00178254,100,0.01,0.174594,100,7123.42019516,120.12,92.6525594188,-87.4568289375,9.09561e-06,-82.7672,0.0135117,0.0872586
-148.279,1.03944,1.81163,95.3099573894,6013.00153744,67.4094,1,0.3,1.01871,-85.9505834001,-85.9505834001,0.00706137,100,0.01,0.719352,100,6013.00153744,118.5,96.205425212,-85.9505834001,4.97051e-06,-83.3145,0.0177835,0.0515829
-159.674,1.07292,1.8695,92.8984291153,10313.0582149,91.3819,1,0.3,0.99657,-98.3444204965,-98.3444204965,0.00383702,100,0.01,0.382386,100,10313.0582149,132.46,93.2035969892,-98.3444204965,7.72167e-06,-93.6727,0.0187593,0.0766879
-141.894,1.0764,1.56576,91.1865610385,4911.37590896,51.7078,1,0.3,0.991516,-80.6923068933,-80.6923068933,0.0022773,100,0.01,0.225798,100,4911.37590896,112.56,92.9022323603,-80.6923068933,9.76289e-06,-75.787,0.0157916,0.0959794
-155.762,1.15651,1.62268,87.9099330992,9265.72106267,77.5225,1,0.3,1.05559,-95.8260447845,-95.8260447845,0.000873654,100,0.01,0.092222,100,9265.72106267,130.19,86.466820608,-95.8260447845,1.38917e-05,-87.2372,0.0153722,0.154791
-140.72,1.0168,1.23203,98.2137736947,3751.66424718,56.9853,1,0.3,0.997106,-77.499771965,-77.499771965,0.00614318,100,0.01,0.612541,100,3751.66424718,108.98,98.3473496677,-77.499771965,1.83711e-06,-76.4673,0.0123561,0.0182649
