BatchSize,MinVanillaIw,MaxNormIw,VarJ,AvgDiscRet,eRenyi2,VarNormIw,AvgNormIw,Delta,IterType,MinNormIw,AvgEpLen,ESSClassic,J,AvgRet,VarDiscRet,MaxVanillaIw,ESSRenyi,VarVanillaIw,EpsThisIter,VanillaAvgRet,AvgVanillaIw,VarRet,Bound
100,4.57853e-08,0.040338,192.13,-1385.32358895,2.28068,0.000107464,0.01,0.7,1,3.85667e-10,500.0,48.4521316326,-1150.23,-1385.32358895,130372.419906,4.78882,43.8465319531,1.51457,100,-1385.32358895,1.18717,130372.419906,-1344.11
100,0.000518989,0.0800816,290.859,-1164.78718264,1.57059,8.80026e-05,0.01,0.7,1,5.10273e-06,500.0,53.4409095437,-1107.93,-1164.78718264,27330.8544099,8.14495,63.6705039761,0.910346,100,-1164.78718264,1.01708,27330.8544099,-1268.67
100,0.0556451,0.0183604,101.644,-1154.28025085,1.15142,1.99467e-05,0.01,0.7,1,0.000564642,500.0,83.5092449606,-1125.9,-1154.28025085,23631.8428168,1.8094,86.8492280162,0.193722,100,-1154.28025085,0.985494,23631.8428168,-1259.95
100,0.00500574,0.0833626,379.593,-1123.85824183,2.46583,0.00018236,0.01,0.7,1,5.55153e-05,500.0,35.6460144163,-1042.68,-1123.85824183,9357.75309734,7.51669,40.5543417315,1.48266,100,-1123.85824183,0.901687,9357.75309734,-1209.71
100,3.85413e-14,0.115939,409.494,-1099.22479247,4.96348,0.000501523,0.01,0.7,1,3.45693e-16,500.0,16.764237379,-818.802,-1099.22479247,33803.6944514,12.926,20.1471625782,6.23394,100,-1099.22479247,1.1149,33803.6944514,-1081.92
100,0.0104078,0.0653888,224.224,-907.830429992,2.0804,8.80014e-05,0.01,0.7,1,8.96595e-05,500.0,53.441244569,-795.535,-907.830429992,72985.628838,7.59042,48.0675913831,1.18581,100,-907.830429992,1.16081,72985.628838,-980.603
100,0.00234559,0.126416,200.874,-861.590999052,2.06909,0.000232337,0.01,0.7,1,2.13049e-05,500.0,30.3017751329,-699.95,-861.590999052,121909.756088,13.9179,48.3305115692,2.81619,100,-861.590999052,1.10096,121909.756088,-884.653
100,0.00229665,0.0312472,98.1103,-713.171797028,1.51265,5.70199e-05,0.01,0.7,1,2.13172e-05,500.0,63.9183091549,-631.328,-713.171797028,47390.796701,3.36648,66.1090310149,0.661846,100,-713.171797028,1.07737,47390.796701,-789.177
100,0.11263,0.0302659,78.7879,-653.600494716,1.37013,3.81566e-05,0.01,0.7,1,0.00116211,500.0,72.58212191,-615.748,-653.600494716,15506.7478797,2.93333,72.9859940215,0.358413,100,-653.600494716,0.969187,15506.7478797,-721.198
100,0.158887,0.0279249,79.5074,-612.503250923,1.2786,3.51409e-05,0.01,0.7,1,0.00164709,500.0,74.1897567303,-592.967,-612.503250923,6475.23922604,2.69378,78.2102816504,0.327005,100,-612.503250923,0.964652,6475.23922604,-677.557
