MaxNormIw,AvgDiscRet,eRenyi2,AvgVanillaIw,BatchSize,AvgEpLen,IterType,MaxVanillaIw,VarDiscRet,Delta,VarJ,VarNormIw,MinVanillaIw,VarVanillaIw,ESSRenyi,MinNormIw,J,VanillaAvgRet,AvgNormIw,AvgRet,EpsThisIter,ESSClassic,VarRet,Bound
0.0454545,-5.06895375081,9.8886e+08,0.809892,100,500.0,1,3.68133,302.594969884,1.0,4.07229e-06,0.000358127,4.75159e-32,2.34904,1.01126598852e-07,5.86694e-34,24.3466,-5.06895375081,0.01,-5.06895375081,100,22.0000023176,302.594969884,24.3466
0.0452794,7.0245529185,nan,4.64795e+30,200,500.0,,2.10456e+31,152.186068963,1.0,4.88984,0.000354607,0.271641,inf,nan,5.84433e-34,9.67878,-5.06895375081,0.01,-5.06895375081,100,,302.594969884,nan
0.0454545,3.30485156696,1.38666e+09,0.159469,200,500.0,1,1.44972,110.905221603,1.0,1.15093e-11,0.000203289,,0.206789,1.44230986687e-07,,24.3466,3.30485156696,0.005,3.30485156696,100,22.0000023274,110.905221603,24.3466
0.01,-0.0445852868098,1.0,1.0,200,500.0,2,1.0,66.1805468779,1.0,8.09436,3.50449e-18,1.0,,200.0,0.01,-0.0445853,-0.0445852868098,0.01,-0.0445852868098,100,100.0,66.1805468779,-0.0445853
nan,-1.31880926881,inf,inf,300,500.0,,inf,82.9996323216,1.0,nan,nan,0.689789,nan,,nan,nan,3.30485156696,nan,3.30485156696,100,nan,110.905221603,nan
0.0454546,-12.8581152277,5.73687e+29,6.59435e-39,300,500.0,1,8.9923e-38,218.084382008,1.0,,0.000140874,,,5.22933424806e-28,,24.3466,-12.8581152277,0.00333333,-12.8581152277,100,inf,218.084382008,24.3466
0.01,9.31407635637,1.0,1.0,300,500.0,2,1.0,102.207583383,1.0,10.0591,3.50449e-18,1.0,,300.0,0.01,9.31408,9.31407635637,0.01,9.31407635637,100,100.0,102.207583383,9.31408
0.005,12.8535392224,1.0,1.0,300,500.0,2,1.0,228.618551182,1.0,12.9186,2.1793e-19,1.0,,300.0,0.005,11.0838,12.8535392224,0.005,12.8535392224,100,200.000000102,228.618551182,11.0838
nan,16.4933347218,3.64269e-32,inf,400,500.0,,inf,154.689477702,1.0,nan,nan,1.11206e+37,nan,1.09808833638e+34,nan,nan,-12.8581152277,nan,-12.8581152277,100,nan,218.084382008,nan
0.0833333,-9.20020346999,51330.3,6.5809,400,500.0,1,219.363,93.2436376442,1.0,3.86372e-07,0.00020259,4.02693e-34,1403.81,0.00779267230063,1.52978e-37,20.8766,-9.20020346999,0.0025,-9.20020346999,100,11.9999998955,93.2436376442,20.8766
0.01,7.13907398631,1.0,1.0,400,500.0,2,1.0,72.4540355564,1.0,8.46933,3.50449e-18,1.0,,400.0,0.01,7.13907,7.13907398631,0.01,7.13907398631,100,100.0,72.4540355564,7.13907
0.005,7.21014412359,1.0,1.0,400,500.0,2,1.0,241.231025618,1.0,12.461,2.1793e-19,1.0,,400.0,0.005,7.17461,7.21014412359,0.005,7.21014412359,100,200.000000102,241.231025618,7.17461
0.00333333,8.16254538236,1.0,1.0,400,500.0,2,1.0,156.79447289,1.0,12.469,5.43914e-20,1.0,,400.0,0.00333333,7.50392,8.16254538236,0.00333333,8.16254538236,100,299.999969474,156.79447289,7.50392
0.0799893,6.6358754184,1.26305e+13,7.7613e+31,500,500.0,,2.48328e+33,97.5418829159,1.0,32.7475,0.000186287,0.00455865,inf,3.95866537458e-11,1.46839e-37,5.05292,-9.20020346999,0.0025,-9.20020346999,100,,93.2436376442,5.05292
0.0833333,-7.43881290889,2.64515e+13,5.83783e-15,500,500.0,1,2.43243e-13,46.5606394119,1.0,3.0277e-05,0.000162993,,1.38871e-27,1.89025213397e-11,,20.8766,-7.43881290889,0.002,-7.43881290889,100,12.0000043551,46.5606394119,20.8766
0.01,28.0509405221,1.0,1.0,500,500.0,2,1.0,384.777470293,1.0,19.5174,3.50449e-18,1.0,,500.0,0.01,28.0509,28.0509405221,0.01,28.0509405221,100,100.0,384.777470293,28.0509
0.005,21.848908064,1.0,1.0,500,500.0,2,1.0,82.8522961619,1.0,15.5272,2.1793e-19,1.0,,500.0,0.005,24.9499,21.848908064,0.005,21.848908064,100,200.000000102,82.8522961619,24.9499
0.00333333,19.5601768318,1.0,1.0,500,500.0,2,1.0,278.827014702,1.0,16.0996,5.43914e-20,1.0,,500.0,0.00333333,23.1533,19.5601768318,0.00333333,19.5601768318,100,299.999969474,278.827014702,23.1533
0.0025,26.9176637539,1.0,1.0,500,500.0,2,1.0,400.809012315,1.0,17.2121,5.4346e-20,1.0,,500.0,0.0025,24.0944,26.9176637539,0.0025,26.9176637539,100,400.0,400.809012315,24.0944
0.0388751,13.518079796,inf,15.4499,500,500.0,1,300.308,231.956715088,1.0,14.3642,6.35098e-05,9.56043e-09,3789.93,,1.23761e-12,62.0507,13.518079796,0.002,13.518079796,100,29.6811894355,231.956715088,62.0507
0.01,21.0869950253,1.0,1.0,500,500.0,2,1.0,159.4245203,1.0,12.5631,3.50449e-18,1.0,,500.0,0.01,21.087,21.0869950253,0.01,21.0869950253,100,100.0,159.4245203,21.087
0.005,20.9999643593,1.0,1.0,500,500.0,2,1.0,295.002855366,1.0,14.9981,2.1793e-19,1.0,,500.0,0.005,21.0435,20.9999643593,0.005,20.9999643593,100,200.000000102,295.002855366,21.0435
0.00333333,13.6146231084,1.0,1.0,500,500.0,2,1.0,124.276200244,1.0,14.2561,5.43914e-20,1.0,,500.0,0.00333333,18.5672,13.6146231084,0.00333333,13.6146231084,100,299.999969474,124.276200244,18.5672
0.0025,18.0644801519,1.0,1.0,500,500.0,2,1.0,234.757123995,1.0,14.5113,5.4346e-20,1.0,,500.0,0.0025,18.4415,18.0644801519,0.0025,18.0644801519,100,400.0,234.757123995,18.4415
0.0810338,28.536952297,inf,0.00866017,500,500.0,1,0.350883,198.292257287,1.0,1.62316,0.000153961,,0.00288671,,,40.4049,28.536952297,0.002,28.536952297,100,12.6860968988,198.292257287,40.4049
0.01,45.0513128581,1.0,1.0,500,500.0,2,1.0,408.207571836,1.0,20.1029,3.50449e-18,1.0,,500.0,0.01,45.0513,45.0513128581,0.01,45.0513128581,100,100.0,408.207571836,45.0513
