AvgEpLen,BatchSize,GradInftyNorm,AvgRet,J,VarJ,StepSize,Grad2Norm
15.1,100,47.1115353539993,140.9098726865463,126.90627936337164,74.24668059424407,0.01,83.16093897157464
23.53,100,52.62039348232971,225.27557838477193,190.0445652760701,159.83115611465814,0.01,102.38665219524204
30.51,100,59.89973145334061,295.65733687398955,234.560028375787,276.1676089069262,0.01,114.3214605030161
46.07,100,75.07270987107927,451.40513884449376,336.1812063025043,359.2453159997703,0.01,119.3197289310359
46.81,100,159.13359585751493,458.5777814934589,334.87173473394125,444.20241705568645,0.01,169.2490726826911
29.79,100,41.111127893316365,287.9162802852318,234.01512693781802,237.49248470818242,0.01,72.523074255281
36.68,100,70.83962475807449,357.30709922943265,273.31625297932277,365.65041876178265,0.01,117.83150631046662
48.52,100,66.0402556059316,476.4678858255595,339.3268558832161,519.3148446514757,0.01,116.98309599838929
41.57,100,61.87532745883749,406.6708929831348,295.30029085824856,500.32796761056323,0.01,98.22961830174243
50.13,100,387.0897048649247,494.19688956059514,336.51284152328657,680.7752624955065,0.01,397.967149137418
29.27,100,231.10512535024083,282.8083884451166,222.29912815194825,324.8054124940808,0.01,236.3333854450028
42.59,100,113.14298349896052,417.99693574221806,293.49049027890464,602.6327019697854,0.01,175.3133427016535
43.19,100,96.99035285898215,424.4299033000134,295.41271150334467,626.8485513590905,0.01,152.48825350028773
44.84,100,309.52168499537174,440.06721338978036,307.50458243019006,618.2580252095137,0.01,317.3600067733561
49.04,100,41.111027603204256,483.70436562219635,327.85366572894907,700.4375635246449,0.01,67.46465923121565
52.47,100,158.39165706662158,518.3877989329211,348.8321517747437,708.3198518626123,0.01,174.44313280648143
49.76,100,302.4971876957895,490.89954473057765,331.65276327890047,710.7028684395253,0.01,339.72476130415373
37.94,100,192.23292799399402,370.9820109846257,266.70222812708647,541.2729681431309,0.01,232.85564013073213
41.56,100,274.5104404578444,407.0641127052158,287.89840632159445,590.52919715728,0.01,285.0785455465046
35.76,100,154.87247061447323,348.9132475549914,252.3673514703908,527.7518436816405,0.01,178.5510443266434
36.92,100,428.9999469316371,361.0238836074807,254.6256979076792,595.2180445653494,0.01,437.3106187240842
45.06,100,65.71451935253995,442.274310616795,310.20306726653484,605.1580858699753,0.01,125.65355538941508
54.14,100,73.12150743835751,534.9972887619771,360.1971432274154,695.6308169419477,0.01,140.93776045060875
47.59,100,170.8930956495629,469.6782707510702,316.6506847205567,720.4280235930023,0.01,239.61232337678305
