ESSRenyi,ESSClassic,delta,IterType,VanillaAvgRet,MinNormIw,renyi2,J,AvgRet,AvgEpLen,MinVanillaIw,AvgDiscRet,VarDiscRet,EpsThisIter,AvgVanillaIw,VarVanillaIw,Bound,BatchSize,VarRet,VarNormIw,MaxNormIw,SamplesThisIter,MaxVanillaIw,AvgNormIw,VarJ
nan,0.771268283497,0.6,1,86.2970845202,1.25283e-07,nan,15991.1,86.2970845202,500.0,0.00219093,86.2970845202,32.2414635837,100,0.966177,0.249122,80.3024,100,32.2414635837,8.14596e-10,0.000157979,50000,2.76271,5.52486e-05,57.6606
nan,0.802927867882,0.6,1,86.701803999,4.75152e-07,nan,16072.9,86.701803999,500.0,0.00844773,86.701803999,31.1008837572,100,0.982266,0.271708,80.7188,100,31.1008837572,8.59581e-10,0.000166315,50000,2.95691,5.52486e-05,58.8725
nan,0.791309371079,0.6,1,86.9389783927,8.85807e-07,nan,16066.5,86.9389783927,500.0,0.0158964,86.9389783927,26.9312015969,100,0.991474,0.234703,80.6777,100,26.9312015969,7.28783e-10,0.000167411,50000,3.0043,5.52486e-05,57.4335
nan,0.783660658479,0.6,1,87.2366028159,1.04877e-06,nan,16076.2,87.2366028159,500.0,0.0190659,87.2366028159,21.881501004,100,1.00438,0.212478,80.6707,100,21.881501004,6.42931e-10,0.000164564,50000,2.99165,5.52486e-05,54.4571
nan,0.762635873743,0.6,1,87.028526708,1.67096e-06,nan,16063.9,87.028526708,500.0,0.0298246,87.028526708,21.1771186546,100,0.986123,0.242338,80.7483,100,21.1771186546,7.60682e-10,0.000143945,50000,2.56924,5.52486e-05,54.6864
nan,0.888613547739,0.6,1,86.1233593345,1.56103e-07,nan,16130.1,86.1233593345,500.0,0.00263767,86.1233593345,46.4199422238,100,0.933537,0.345184,80.9105,100,46.4199422238,1.20901e-09,0.000188245,50000,3.18078,5.52486e-05,64.859
nan,0.707887046066,0.6,1,87.3883806591,2.4515e-06,nan,16071.3,87.3883806591,500.0,0.0439259,87.3883806591,17.9206589375,100,0.989942,0.189454,80.7972,100,17.9206589375,5.90102e-10,0.0001378,50000,2.4691,5.52486e-05,48.636
nan,0.791679978477,0.6,1,87.1933226547,9.81957e-08,nan,16114.8,87.1933226547,500.0,0.00173168,87.1933226547,27.7098644761,100,0.974306,0.220621,81.0201,100,27.7098644761,7.09412e-10,0.000154344,50000,2.72185,5.52486e-05,54.2897
nan,0.885519072045,0.6,1,85.7293173639,4.67631e-07,nan,15995.5,85.7293173639,500.0,0.00807948,85.7293173639,45.9915551547,100,0.954556,0.289239,80.1347,100,45.9915551547,9.68938e-10,0.000204166,50000,3.52747,5.52486e-05,70.0623
nan,0.773348314431,0.6,1,88.0508097232,1.45972e-06,nan,16156.3,88.0508097232,500.0,0.0262123,88.0508097232,18.5857567537,100,0.992108,0.151174,81.2456,100,18.5857567537,4.68815e-10,0.000149413,50000,2.68303,5.52486e-05,47.1119
nan,0.834673737309,0.6,1,87.306588306,4.46318e-07,nan,16139.0,87.306588306,500.0,0.00797926,87.306588306,25.0909360009,100,0.987734,0.247261,81.1084,100,25.0909360009,7.73604e-10,0.000165365,50000,2.95639,5.52486e-05,54.8391
nan,0.723198130619,0.6,1,88.0545737769,1.47789e-06,nan,16167.7,88.0545737769,500.0,0.0267461,88.0545737769,16.2131206272,100,0.999863,0.172507,81.2179,100,16.2131206272,5.26707e-10,0.000155796,50000,2.81952,5.52486e-05,50.9592
nan,0.8481081048,0.6,1,87.4997439747,1.00155e-06,nan,16159.6,87.4997439747,500.0,0.0178959,87.4997439747,28.186087706,100,0.987189,0.227588,81.2238,100,28.186087706,7.12839e-10,0.000156871,50000,2.80299,5.52486e-05,57.2257
nan,0.702756489658,0.6,1,88.734888649,4.42388e-06,nan,16221.1,88.734888649,500.0,0.0801823,88.734888649,11.5919942411,100,1.00137,0.119295,81.785,100,11.5919942411,3.63137e-10,0.000114169,50000,2.0693,5.52486e-05,38.7442
nan,0.888649883554,0.6,1,88.9978385596,6.69279e-07,nan,16463.8,88.9978385596,500.0,0.0123127,88.9978385596,26.8863858674,100,1.0164,0.285954,82.7627,100,26.8863858674,8.44899e-10,0.00015835,50000,2.91316,5.52486e-05,59.9715
nan,0.7628994315,0.6,1,87.4377219205,6.07031e-07,nan,16083.6,87.4377219205,500.0,0.0109209,87.4377219205,21.3706197373,100,0.993963,0.17786,80.907,100,21.3706197373,5.49516e-10,0.000140354,50000,2.52507,5.52486e-05,48.0259
nan,0.846978019134,0.6,1,86.153332554,8.39217e-08,nan,16002.8,86.153332554,500.0,0.00148635,86.153332554,39.5064057551,100,0.97852,0.273192,80.2926,100,39.5064057551,8.70906e-10,0.000178126,50000,3.15483,5.52486e-05,62.7797
nan,0.734293322789,0.6,1,87.6112144564,5.43392e-07,nan,16134.7,87.6112144564,500.0,0.00958481,87.6112144564,24.4132314328,100,0.974523,0.177254,81.1806,100,24.4132314328,5.6971e-10,0.000147615,50000,2.60376,5.52486e-05,49.4059
nan,0.715628677733,0.6,1,87.1257397793,7.44402e-07,nan,16107.3,87.1257397793,500.0,0.0131949,87.1257397793,26.7388161833,100,0.979308,0.237693,80.7402,100,26.7388161833,7.56519e-10,0.000166566,50000,2.95247,5.52486e-05,63.5189
nan,0.715832084648,0.6,1,88.437353272,3.19961e-06,nan,16235.8,88.437353272,500.0,0.0580717,88.437353272,15.7292992648,100,1.00274,0.175945,81.6653,100,15.7292992648,5.34125e-10,0.000134921,50000,2.44877,5.52486e-05,52.5268
