MaxVanillaIw,VarRet,Delta,BatchSize,AvgRet,ESSClassic,MinVanillaIw,AvgVanillaIw,VarJ,AvgNormIw,AvgDiscRet,VarDiscRet,ESSRenyi,MaxNormIw,Bound,eRenyi2,EpsThisIter,MinNormIw,VarNormIw,IterType,VanillaAvgRet,VarVanillaIw,AvgEpLen,J
1.3403,4921.58054921,0.2,100,-79.0646763279,94.8205029266,0.417418,0.983053,50.2995,0.01,-79.0646763279,4921.58054921,94.6087841521,0.013634,-160.027,1.05698,100,0.00424614,5.5176e-06,1,-79.0646763279,0.0533218,110.66,-74.2541
1.62125,8260.57026553,0.2,100,-89.6289578348,96.8780716692,0.751743,0.996544,81.6051,0.01,-89.6289578348,8260.57026553,97.2865536602,0.0162687,-171.801,1.02789,100,0.0075435,3.25509e-06,1,-89.6289578348,0.0323263,122.9,-87.2176
1.3215,3729.60337471,0.2,100,-76.8392621215,99.333660503,0.782536,1.0037,58.1648,0.01,-76.8392621215,3729.60337471,99.1948863232,0.0131662,-159.923,1.00812,100,0.00779648,6.77576e-07,1,-76.8392621215,0.00682605,108.41,-76.1573
1.16619,1380.97722348,0.2,100,-69.1020703021,99.2637435856,0.738274,1.01581,33.0539,0.01,-69.1020703021,1380.97722348,99.1323944328,0.0114804,-152.034,1.00875,100,0.00726784,7.49205e-07,1,-69.1020703021,0.00773083,99.15,-68.3762
1.21251,7316.63273951,0.2,100,-82.3675425698,97.4149532914,0.336585,0.974053,81.0239,0.01,-82.3675425698,7316.63273951,98.1258823583,0.012448,-165.239,1.0191,100,0.00345551,2.68045e-06,1,-82.3675425698,0.0254315,113.72,-81.01
1.16744,2581.99993235,0.2,100,-70.6035119455,99.8289589234,0.958328,1.00111,49.2497,0.01,-70.6035119455,2581.99993235,99.8176330276,0.0116614,-153.937,1.00183,100,0.00957262,1.73074e-07,1,-70.6035119455,0.0017346,100.76,-70.4443
1.26337,3797.40579134,0.2,100,-74.304675124,98.4292993895,0.546872,0.979426,55.2519,0.01,-74.304675124,3797.40579134,98.7127904876,0.0128991,-157.129,1.01304,100,0.00558359,1.6119e-06,1,-74.304675124,0.0154625,105.09,-73.1585
1.20293,6040.84001259,0.2,100,-83.5948213184,96.8751653518,0.327128,1.01542,70.0784,0.01,-83.5948213184,6040.84001259,96.8380981582,0.0118466,-165.916,1.03265,100,0.00322161,3.2582e-06,1,-83.5948213184,0.0335945,116.0,-81.1361
1.64364,6066.71493013,0.2,100,-80.99543584,97.2003898799,0.784935,1.02966,69.6642,0.01,-80.99543584,6066.71493013,97.6108826617,0.015963,-163.351,1.02448,100,0.00762326,2.90933e-06,1,-80.99543584,0.0308445,113.61,-78.9091
1.43013,3771.62914483,0.2,100,-74.4434578241,97.2933231907,0.588802,1.00885,49.7969,0.01,-74.4434578241,3771.62914483,97.1572334387,0.0141757,-156.689,1.02926,100,0.00583634,2.81008e-06,1,-74.4434578241,0.0286007,105.38,-72.0486
1.3237,2580.97528803,0.2,100,-70.5842989212,99.5395833879,0.890144,1.00443,47.9532,0.01,-70.5842989212,2580.97528803,99.4835838486,0.0131786,-153.775,1.00519,100,0.00886221,4.67228e-07,1,-70.5842989212,0.00471374,101.03,-70.1312
1.35042,2600.02979721,0.2,100,-71.4701253594,99.4887829974,0.937903,0.994882,48.9483,0.01,-71.4701253594,2600.02979721,99.6455995485,0.0135736,-154.744,1.00356,100,0.00942728,5.19017e-07,1,-71.4701253594,0.00513719,101.72,-71.1724
1.26868,8302.62706127,0.2,100,-90.3702218741,99.2581010464,0.907754,0.990468,87.3048,0.01,-90.3702218741,8302.62706127,98.9240139861,0.0128089,-173.292,1.01088,100,0.0091649,7.54959e-07,1,-90.3702218741,0.00740635,123.14,-89.4114
1.2785,2582.36293472,0.2,100,-67.6124474457,99.114951115,0.810967,0.999218,46.4299,0.01,-67.6124474457,2582.36293472,99.1738358943,0.012795,-150.691,1.00833,100,0.00811602,9.0197e-07,1,-67.6124474457,0.00900559,96.91,-66.9164
1.8547,7257.63623071,0.2,100,-84.0774244657,90.6461600727,0.234557,1.03437,62.3487,0.01,-84.0774244657,7257.63623071,91.9786363631,0.0179307,-163.325,1.08721,100,0.00226763,1.04233e-05,1,-84.0774244657,0.111522,115.83,-76.3352
1.48911,3748.68762304,0.2,100,-76.0720787583,98.1123703554,0.883064,1.01034,55.0016,0.01,-76.0720787583,3748.68762304,98.4830390875,0.0147387,-158.756,1.0154,100,0.00874024,1.9434e-06,1,-76.0720787583,0.0198381,107.2,-74.6881
1.25994,3765.68158653,0.2,100,-74.339168046,99.7134170702,0.945538,0.99085,59.3091,0.01,-74.339168046,3765.68158653,99.5923515578,0.0127158,-157.584,1.00409,100,0.00954269,2.90307e-07,1,-74.339168046,0.00285019,105.15,-73.9858
1.11992,9323.98791566,0.2,100,-93.2908927388,98.4729562758,0.444542,0.989784,94.0263,0.01,-93.2908927388,9323.98791566,98.7831872085,0.0113148,-176.259,1.01232,100,0.0044913,1.56641e-06,1,-93.2908927388,0.0153456,127.81,-92.3182
