Bound,VarVanillaIw,Delta,MinVanillaIw,J,AvgRet,MinNormIw,VarDiscRet,AvgVanillaIw,IterType,MaxNormIw,VanillaAvgRet,AvgNormIw,ESSRenyi,VarJ,BatchSize,ESSClassic,AvgEpLen,AvgDiscRet,MaxVanillaIw,EpsThisIter,VarNormIw,eRenyi2,VarRet
-121.755,16.5699,0.9,4.3265e-30,-79.0705,-316.368276557,2.46721e-32,22064.8357928,1.7536,1,0.0969522,-316.368276557,0.01,10.6113291637,60.5426,100,15.7865430258,388.84,-316.368276557,17.0015,100,0.000538839,9.42389,22064.8357928
-110.55,0.663541,0.9,9.87277e-07,-92.5196,-104.901143407,1.04997e-08,10125.666727,0.940292,1,0.026257,-104.901143407,0.01,59.4735497655,105.628,100,57.3729779116,142.09,-104.901143407,2.46892,100,7.50486e-05,1.68142,10125.666727
-93.155,1.17688,0.9,2.18234e-05,-72.544,-85.0577835353,1.92599e-07,6021.98224326,1.1331,1,0.0356485,-85.0577835353,0.01,45.5119111252,52.4585,100,52.4255125501,118.02,-85.0577835353,4.03933,100,9.16635e-05,2.19723,6021.98224326
-inf,2.45613e+07,0.9,0.247566,-80.7991,-85.0577835353,3.09594e-06,9140.13357285,799.648,,0.573032,-85.0577835353,0.01,nan,26.4373,200,2.56235155311,118.02,-97.6934095444,45822.4,100,0.00384108,nan,6021.98224326
-93.8424,3.58159,0.9,5.24983e-16,-73.1265,-103.215308057,2.52994e-18,11248.6562043,1.03754,1,0.0392323,-103.215308057,0.005,45.0519294878,79.7679,200,46.3985926442,138.78,-103.215308057,8.141,100,8.31778e-05,4.43932,11248.6562043
-106.968,,0.9,1.0,-93.0629,-93.0628518254,0.01,8133.00965008,1.0,2,0.01,-93.0628518254,0.01,200.0,89.7311,200,100.0,127.87,-93.0628518254,1.0,100,3.50449e-18,1.0,8133.00965008
-87.4371,1.97941,0.9,3.97503e-12,-70.9331,-83.4551221278,1.75355e-14,6086.47276307,1.13342,1,0.0325002,-83.4551221278,0.005,70.9819455936,37.6521,200,78.9542201456,116.08,-83.4551221278,7.3673,100,3.85204e-05,2.81762,6086.47276307
-107.043,,0.9,1.0,-93.1385,-93.1384552196,0.01,9323.82660575,1.0,2,0.01,-93.1384552196,0.01,200.0,96.076,200,100.0,127.07,-93.1384552196,1.0,100,3.50449e-18,1.0,9323.82660575
-91.4609,0.576291,0.9,0.648477,-79.8455,-75.59111136,0.00306544,3736.64189113,1.05772,1,0.0397034,-75.59111136,0.005,143.305975117,68.8656,200,132.228620391,106.89,-75.59111136,8.39905,100,1.28777e-05,1.39562,3736.64189113
-100.962,,0.9,1.0,-87.0577,-87.0576554714,0.01,7168.43877089,1.0,2,0.01,-87.0576554714,0.01,200.0,84.2422,200,100.0,119.98,-87.0576554714,1.0,100,3.50449e-18,1.0,7168.43877089
-86.4452,0.987725,0.9,1.05563e-06,-72.485,-82.2200905809,5.58421e-09,4882.9500256,0.945195,1,0.0192979,-82.2200905809,0.005,99.205362094,40.0122,200,95.2353806035,115.16,-82.2200905809,3.64806,100,2.76397e-05,2.01602,4882.9500256
-84.964,,0.9,1.0,-71.0592,-71.0592400809,0.01,2568.65707535,1.0,2,0.01,-71.0592400809,0.01,200.0,50.4279,200,100.0,101.16,-71.0592400809,1.0,100,3.50449e-18,1.0,2568.65707535
-78.0675,0.403328,0.9,0.000220119,-66.4362,-71.1131958905,1.13289e-06,1391.72950502,0.971496,1,0.0115568,-71.1131958905,0.005,142.913000861,20.433,200,140.330583576,101.71,-71.1131958905,2.24548,100,1.06836e-05,1.39945,1391.72950502
-96.5093,,0.9,1.0,-82.6045,-82.6045408875,0.01,6045.66557951,1.0,2,0.01,-82.6045408875,0.01,200.0,77.3641,200,100.0,114.84,-82.6045408875,1.0,100,3.50449e-18,1.0,6045.66557951
