MaxNormIw,eRenyi2,VanillaAvgRet,Delta,BatchSize,ESSClassic,MaxVanillaIw,VarJ,J,AvgVanillaIw,EpsThisIter,Bound,MinVanillaIw,VarVanillaIw,VarNormIw,AvgDiscRet,AvgRet,IterType,AvgNormIw,MinNormIw,VarRet,AvgEpLen,ESSRenyi,VarDiscRet
0.0616012,1.0,-126.517539579,0.4,100,38.0560187316,3.20656,4.55324,-108.151,0.520536,100,-167.507,1.04882e-06,0.445494,0.000164415,-126.517539579,-126.517539579,1,0.01,2.01488e-08,4841.67031171,42.58,99.9999761581,4841.67031171
0.0146394,1.03508,-109.296450066,0.4,100,95.734669835,1.43408,4.58227,-108.648,0.9796,100,-127.33,0.318292,0.0431864,4.50038e-06,-109.296450066,-109.296450066,1,0.01,0.0032492,36.1432012012,17.74,96.6107605623,36.1432012012
0.0125819,1.03175,-110.017313266,0.4,100,96.5230529425,1.24737,6.96076,-109.133,0.991402,100,-134.878,0.403451,0.0357626,3.63856e-06,-110.017313266,-110.017313266,1,0.01,0.0040695,121.16579503,19.24,96.9226739522,121.16579503
0.0120498,1.01637,-108.758363211,0.4,100,98.3537264245,1.20257,3.96456,-108.472,0.998003,100,-124.779,0.432806,0.01684,1.69074e-06,-108.758363211,-108.758363211,1,0.01,0.00433671,22.377701519,17.25,98.3894527771,22.377701519
0.0122658,1.02724,-107.875852844,0.4,100,96.9049373396,1.22041,3.38703,-107.439,0.994968,100,-123.489,0.49361,0.0319377,3.22615e-06,-107.875852844,-107.875852844,1,0.01,0.00496106,18.6397417395,16.88,97.3486372063,18.6397417395
0.0119939,1.00471,-107.459063317,0.4,100,99.5691224713,1.2065,3.11049,-107.393,1.00593,100,-121.764,0.797912,0.00442329,4.37131e-07,-107.459063317,-107.459063317,1,0.01,0.0079321,10.1191019827,16.97,99.5315545434,10.1191019827
0.012439,1.01155,-107.701353688,0.4,100,98.7291719834,1.24024,2.88624,-107.528,0.997056,100,-122.667,0.64985,0.0129253,1.30017e-06,-107.701353688,-107.701353688,1,0.01,0.00651769,9.88867943034,16.64,98.8586355622,9.88867943034
0.0142857,1.00468,-107.204315728,0.4,100,99.3511251736,1.43527,2.72208,-107.142,1.00469,100,-121.355,0.907063,0.00665899,6.59694e-07,-107.204315728,-107.204315728,1,0.01,0.00902827,7.43610252047,16.63,99.5341999427,7.43610252047
0.0132944,1.0091,-107.589781701,0.4,100,99.0847036153,1.32919,2.67661,-107.463,0.999817,100,-121.611,0.771147,0.00932741,9.33082e-07,-107.589781701,-107.589781701,1,0.01,0.00771288,7.59011316077,16.38,99.0982219254,7.59011316077
0.0108997,1.0016,-107.384838713,0.4,100,99.8768042328,1.09388,2.71329,-107.362,1.00359,100,-121.498,0.921861,0.00125467,1.24571e-07,-107.384838713,-107.384838713,1,0.01,0.00918562,7.52522178606,16.55,99.8406806765,7.52522178606
0.0118437,1.01159,-107.641858411,0.4,100,98.3536293446,1.18193,2.22078,-107.389,0.997942,100,-123.744,0.336387,0.0168387,1.69082e-06,-107.641858411,-107.641858411,1,0.01,0.00337081,10.990751863,16.24,98.8539173918,10.990751863
0.0125818,1.00385,-107.220870023,0.4,100,99.610871783,1.26453,2.56184,-107.167,1.00505,100,-121.361,0.886193,0.00398605,3.94609e-07,-107.220870023,-107.220870023,1,0.01,0.00881739,6.9445336228,16.13,99.6163244454,6.9445336228
0.0161563,1.01766,-107.274953007,0.4,100,98.1068141643,1.59993,3.02319,-107.151,0.990283,100,-121.403,0.649431,0.0191149,1.94919e-06,-107.274953007,-107.274953007,1,0.01,0.00655803,8.57368804594,16.31,98.2645521562,8.57368804594
0.0119923,1.00399,-107.395627449,0.4,100,99.4408163365,1.19775,2.83858,-107.336,0.998768,100,-122.312,0.71672,0.00566655,5.68053e-07,-107.395627449,-107.395627449,1,0.01,0.00717603,8.74978712809,17.07,99.6028286673,8.74978712809
0.0118302,1.00324,-107.112641829,0.4,100,99.5616183769,1.18024,2.36473,-107.068,0.997655,100,-121.034,0.771669,0.00442666,4.44749e-07,-107.112641829,-107.112641829,1,0.01,0.00773482,5.70317796061,16.8,99.6772843165,5.70317796061
0.0125856,1.00728,-106.761464149,0.4,100,99.2456206312,1.25455,3.0994,-106.661,0.996812,100,-120.707,0.686924,0.00762898,7.67785e-07,-106.761464149,-106.761464149,1,0.01,0.00689121,8.46247096142,17.29,99.2768275944,8.46247096142
0.0109767,1.00136,-107.352229187,0.4,100,99.8615129517,1.10005,2.46089,-107.33,1.00217,100,-121.848,0.891325,0.00140719,1.40111e-07,-107.352229187,-107.352229187,1,0.01,0.00889399,6.13564696685,16.6,99.8638459675,6.13564696685
0.0113666,1.00202,-107.168186723,0.4,100,99.8060833918,1.13621,2.78489,-107.14,0.999605,100,-121.601,0.873637,0.00196096,1.96251e-07,-107.168186723,-107.168186723,1,0.01,0.00873983,7.9572994434,17.56,99.7980865092,7.9572994434
0.0137629,1.00924,-108.110870584,0.4,100,98.3703602087,1.37222,3.0847,-107.963,0.997046,100,-123.567,0.612414,0.016635,1.67337e-06,-108.110870584,-108.110870584,1,0.01,0.00614228,11.0789228696,16.62,99.0840703073,11.0789228696
0.0109975,1.00395,-107.221300502,0.4,100,99.4747086148,1.08949,2.48985,-107.164,0.99067,100,-121.157,0.658032,0.00523481,5.33388e-07,-107.221300502,-107.221300502,1,0.01,0.00664229,6.37364337836,16.94,99.6067670222,6.37364337836
0.0108377,1.0028,-107.268250582,0.4,100,99.6843600734,1.08344,2.65746,-107.227,0.999692,100,-121.965,0.747786,0.00319639,3.19835e-07,-107.268250582,-107.268250582,1,0.01,0.00748016,7.49819574833,16.59,99.7207118982,7.49819574833
0.0109647,1.00387,-107.341630684,0.4,100,99.5805442918,1.09196,2.78929,-107.289,0.995885,100,-121.636,0.698773,0.00421971,4.25465e-07,-107.341630684,-107.341630684,1,0.01,0.0070166,8.20903977774,17.28,99.6149049102,8.20903977774
0.0114251,1.00394,-107.314969671,0.4,100,99.4491215872,1.13392,2.17233,-107.258,0.992477,100,-121.159,0.720404,0.00551132,5.59518e-07,-107.314969671,-107.314969671,1,0.01,0.00725864,4.8993702208,16.12,99.6073702212,4.8993702208
0.0111539,1.00295,-107.805481559,0.4,100,99.679620168,1.11635,2.8014,-107.764,1.00087,100,-121.939,0.789859,0.00325201,3.24638e-07,-107.805481559,-107.805481559,1,0.01,0.00789174,7.9855094322,17.29,99.7054575748,7.9855094322
0.0143112,1.00952,-107.504620295,0.4,100,98.5565933156,1.41115,2.6636,-107.368,0.986044,100,-121.767,0.602133,0.014383,1.47931e-06,-107.504620295,-107.504620295,1,0.01,0.00610656,7.80526147106,16.69,99.0568319226,7.80526147106
0.0105371,1.0012,-107.027164149,0.4,100,99.8355063069,1.04523,2.05563,-107.01,0.991956,100,-120.87,0.83715,0.0016377,1.66436e-07,-107.027164149,-107.027164149,1,0.01,0.00843939,4.32497562685,16.67,99.8800645006,4.32497562685
0.0116845,1.00278,-106.96811305,0.4,100,99.6865120073,1.17024,2.65506,-106.929,1.00153,100,-121.02,0.900288,0.00318638,3.17664e-07,-106.96811305,-106.96811305,1,0.01,0.0089891,7.28903528942,16.81,99.7227153378,7.28903528942
0.0120921,1.01538,-108.143236425,0.4,100,98.3169965666,1.20503,3.68407,-107.821,0.996541,100,-126.858,0.567247,0.0171717,1.72911e-06,-108.143236425,-108.143236425,1,0.01,0.00569216,28.6104733311,17.78,98.4856059185,28.6104733311
