AvgEpLen,MaxVanillaIw,VarNormIw,EpsThisIter,Bound,eRenyi2,VarRet,MaxNormIw,VarDiscRet,MinVanillaIw,AvgNormIw,VarJ,VanillaAvgRet,AvgRet,AvgDiscRet,Delta,VarVanillaIw,AvgVanillaIw,J,ESSClassic,IterType,MinNormIw,BatchSize,ESSRenyi
11.8,2.8218106e-33,0.009349793,100,389.55185,inf,10041.270214612372,0.9667109,10041.270214612372,,0.01,4.656421,107.9389303763378,107.9389303763378,107.9389303763378,1.0,,2.918981e-35,389.55185,inf,1,,100,
11.8,inf,nan,100,nan,nan,10041.270214612372,nan,13952.214659813375,3.5438243e+32,nan,nan,107.9389303763378,107.9389303763378,286.5801063251785,1.0,nan,inf,nan,nan,,nan,200,nan
18.37,9.878865e-30,0.0049999985,100,4998.1426,1457105400000.0,315532.52517552814,1.0,315532.52517552814,,0.005,,173.7153910196838,173.7153910196838,173.7153910196838,1.0,,4.9394326e-32,4998.1426,inf,1,,200,1.3725842994209142e-10
275.94,1.0,3.5044917e-18,100,2752.0405,1.0,4100835.1028791834,0.01,4100835.1028791834,1.0,0.009999998,2014.9011,2752.040419106565,2752.040419106565,2752.040419106565,1.0,,1.0,2752.0405,100.0,2,0.01,200,200.0
18.37,inf,nan,100,nan,1.0905402e-31,315532.52517552814,nan,3662348.4315211093,1.012262e+29,nan,nan,173.7153910196838,173.7153910196838,2725.788153862614,1.0,nan,inf,nan,nan,,nan,300,2.7509302306029437e+33
11.12,2.8850077e-24,0.0033333332,100,4998.1426,208718700.0,8391.09163290467,1.0,8391.09163290467,,0.0033333334,4.6462137e-08,101.13795885722669,101.13795885722669,101.13795885722669,1.0,,9.616692e-27,4998.1426,inf,1,,300,1.4373412360782003e-06
356.7,1.0,3.5044917e-18,100,3561.9185,1.0,3276830.1757470104,0.01,3276830.1757470104,1.0,0.009999998,1801.1279,3561.918600415102,3561.918600415102,3561.918600415102,1.0,,1.0,3561.9185,100.0,2,0.01,300,300.0
407.92,1.0,2.179301e-19,100,3818.5425,1.0,2476540.1339877197,0.005,2476540.1339877197,1.0,0.0049999994,1706.978,4075.166326049107,4075.166326049107,4075.166326049107,1.0,,1.0,3818.5425,200.00000010221265,2,0.005,300,300.0
11.12,inf,nan,100,nan,5.2009198e-20,8391.09163290467,nan,3459906.84335617,3.466195e+23,nan,nan,101.13795885722669,101.13795885722669,3478.67317960328,1.0,nan,inf,nan,nan,,nan,400,7.690947355558226e+21
12.6,6.10709e-05,0.0025000004,100,4998.1426,717728.5,24206.787422763377,1.0,24206.787422763377,,0.0025,0.00474015,115.94527820290938,115.94527820290938,115.94527820290938,1.0,9.324138e-12,1.5267726e-07,4998.1426,1.0,1,,400,0.0005573138031999566
421.46,1.0,3.5044917e-18,100,4211.339,1.0,2079081.714836948,0.01,2079081.714836948,1.0,0.009999998,1434.6744,4211.339175267163,4211.339175267163,4211.339175267163,1.0,,1.0,4211.339,100.0,2,0.01,400,400.0
388.67,1.0,2.179301e-19,100,4046.8943,1.0,2622095.4863360445,0.005,2622095.4863360445,1.0,0.0049999994,1534.3157,3882.449482891812,3882.449482891812,3882.449482891812,1.0,,1.0,4046.8943,200.00000010221265,2,0.005,400,400.0
419.02,1.0,5.4391416e-20,100,4093.545,1.0,2043063.6930267485,0.0033333334,2043063.6930267485,1.0,0.0033333336,1499.3265,4186.845352768909,4186.845352768909,4186.845352768909,1.0,,1.0,4093.545,299.999969473632,2,0.0033333334,400,400.0
12.6,inf,nan,100,nan,1.6428207e-14,24206.787422763377,nan,2190554.370918722,16374.409,nan,nan,115.94527820290938,115.94527820290938,4111.747143363705,1.0,nan,inf,nan,nan,,nan,500,3.043545700525278e+16
13.13,48.52199,2.7630174e-05,100,342.2862,inf,68633.18607275546,0.101550676,68633.18607275546,0.06722072,0.002,2011.7659,121.24176922669295,121.24176922669295,121.24176922669295,1.0,6.308052,0.9556213,342.2862,63.341430388684884,1,0.00014068485,500,
22.27,1.0,3.5044917e-18,100,212.59204,1.0,47284.4478324039,0.01,47284.4478324039,1.0,0.009999998,216.3599,212.59204515874637,212.59204515874637,212.59204515874637,1.0,,1.0,212.59204,100.0,2,0.01,500,500.0
34.94,1.0,2.179301e-19,100,276.0293,1.0,562193.4348983306,0.005,562193.4348983306,1.0,0.0049999994,552.9158,339.46653521263937,339.46653521263937,339.46653521263937,1.0,,1.0,276.0293,200.00000010221265,2,0.005,500,500.0
32.96,1.0,5.4391416e-20,100,290.54593,1.0,399490.4265328329,0.0033333334,399490.4265328329,1.0,0.0033333336,579.7102,319.57923360817114,319.57923360817114,319.57923360817114,1.0,,1.0,290.54593,299.999969473632,2,0.0033333334,500,500.0
21.43,1.0,5.434597e-20,100,268.96045,1.0,83823.28104844954,0.0025,83823.28104844954,1.0,0.0024999997,523.6334,204.20403066922768,204.20403066922768,204.20403066922768,1.0,,1.0,268.96045,400.0,2,0.0025,500,500.0
