delta,AvgDiscRet,VarDiscRet,BatchSize,VanillaAvgRet,AvgNormIw,J,MaxNormIw,VarVanillaIw,MinNormIw,MaxVanillaIw,AvgVanillaIw,MinVanillaIw,EpsThisIter,VarJ,renyi2,AvgRet,SamplesThisIter,AvgEpLen,VarRet,Bound,VarNormIw,ESSRenyi,ESSClassic,IterType
0.3,-373.205590836,10093.882762,100,-373.205590836,5.09684e-05,-34420.6,0.0251787,182640.0,,19333.3,39.1357,,109,2914.85,nan,-373.205590836,50000,458.71559633,10093.882762,-278.509,3.09779e-07,nan,1.39473796631,1
0.3,-382.885161821,5872.65182158,100,-382.885161821,5.29101e-05,-46721.3,0.009012,1089.83,,914.107,5.36679,,105,4083.8,nan,-382.885161821,50000,476.19047619,5872.65182158,-372.189,1.05927e-07,nan,0.677081534853,1
0.3,-405.171933337,1082.83110839,100,-405.171933337,5.50055e-05,-72177.8,0.000207655,0.0720504,2.20871e-05,3.7731,0.999449,0.401323,101,848.026,7.17254,-405.171933337,50000,495.04950495,1082.83110839,-464.443,2.18237e-10,0.0767367689024,0.668225967018,1
0.3,-370.897088225,8696.24001711,100,-370.897088225,5.14403e-05,-38385.2,0.0225743,96233.2,,11170.1,25.4536,,108,3471.0,nan,-370.897088225,50000,462.962962963,8696.24001711,-314.557,3.93039e-07,nan,2.33297209608,1
0.3,-377.177133267,7262.78859215,100,-377.177133267,5.24109e-05,-48596.0,0.0275341,1037.01,,1996.71,3.80073,,106,3918.85,nan,-377.177133267,50000,471.698113208,7262.78859215,-340.816,1.97193e-07,nan,5.89818156757,1
0.3,-379.284041727,6487.59242618,100,-379.284041727,5.24109e-05,-44829.8,0.0187109,6409.7,,2878.16,8.06195,,106,2294.28,nan,-379.284041727,50000,471.698113208,6487.59242618,-331.882,2.70894e-07,nan,3.56732512311,1
0.3,-383.312099866,6790.75494726,100,-383.312099866,5.24109e-05,-37034.9,0.0342765,1.35671e+07,,158108.0,241.756,,106,2968.78,nan,-383.312099866,50000,471.698113208,6790.75494726,-326.744,6.37638e-07,nan,3.22245688735,1
0.3,-394.303320612,2841.49744699,100,-394.303320612,5.39374e-05,-65075.4,0.000457251,1.25926,5.1952e-09,9.32206,1.09963,0.000105916,103,2074.04,nan,-394.303320612,50000,485.436893204,2841.49744699,-431.488,3.0297e-09,nan,0.532875088903,1
0.3,-362.540878692,9746.72674292,100,-362.540878692,5.0505e-05,-38429.1,0.0103841,7381.49,,2372.06,11.5369,,110,2453.03,nan,-362.540878692,50000,454.545454545,9746.72674292,-283.518,1.4146e-07,nan,2.90256464123,1
0.3,-388.253536471,5534.6224168,100,-388.253536471,5.34188e-05,-55243.7,0.00282435,18.4704,1.14011e-30,79.9311,1.51179,3.22659e-26,104,4452.74,nan,-388.253536471,50000,480.769230769,5534.6224168,-390.352,2.30612e-08,nan,0.662383777416,1
0.3,-357.893707598,12697.0221462,100,-357.893707598,4.91642e-05,-35439.5,0.00750339,2837.35,,1600.66,10.488,,113,2592.39,nan,-357.893707598,50000,442.477876106,12697.0221462,-253.086,6.23487e-08,nan,1.69359458228,1
0.3,-376.752853471,7584.02165301,100,-376.752853471,5.19211e-05,-43761.2,0.0181945,4166.91,,2418.92,6.9028,,107,2449.79,nan,-376.752853471,50000,467.289719626,7584.02165301,-315.233,2.35749e-07,nan,3.65019036046,1
0.3,-361.122462372,10214.9234287,100,-361.122462372,5.05051e-05,-42892.1,0.00526454,441.551,,455.182,4.36676,,110,2553.36,nan,-361.122462372,50000,454.545454545,10214.9234287,-287.688,5.90652e-08,nan,2.37041639401,1
0.3,-370.842926613,9299.31219085,100,-370.842926613,5.09684e-05,-46273.2,0.00819367,618.363,,702.562,4.37026,,109,2888.6,nan,-370.842926613,50000,458.71559633,9299.31219085,-309.691,8.41068e-08,nan,3.4189214193,1
0.3,-382.924717179,6878.46509507,100,-382.924717179,5.24109e-05,-50294.2,0.00371558,339.375,,283.575,4.00003,,106,4268.51,nan,-382.924717179,50000,471.698113208,6878.46509507,-367.965,5.82636e-08,nan,0.52077337619,1
0.3,-392.592792533,3695.07488569,100,-392.592792533,5.39374e-05,-60027.6,0.0019558,6.7382,4.6224e-10,44.8948,1.23812,1.06106e-05,103,3391.87,nan,-392.592792533,50000,485.436893204,3695.07488569,-414.212,1.27879e-08,nan,0.586426565396,1
0.3,-339.857688872,16120.9678869,100,-339.857688872,4.74834e-05,-31672.0,0.00206561,496.584,,273.67,6.291,,117,2860.08,nan,-339.857688872,50000,427.35042735,16120.9678869,-216.199,2.82902e-08,nan,1.74049527927,1
0.3,-386.550502361,5705.97132985,100,-386.550502361,5.291e-05,-53828.2,0.0240016,521.907,,1082.0,2.38519,,105,2969.16,nan,-386.550502361,50000,476.19047619,5705.97132985,-375.35,2.56816e-07,nan,2.21697171265,1
