renyi2,J,delta,Bound,VarRet,SamplesThisIter,AvgRet,VarDiscRet,MinNormIw,ESSRenyi,VarNormIw,EpsThisIter,AvgDiscRet,AvgVanillaIw,IterType,AvgNormIw,ESSClassic,AvgEpLen,MaxNormIw,VarJ,BatchSize,VarVanillaIw,MaxVanillaIw,MinVanillaIw,VanillaAvgRet
nan,-72161.5,0.5,-443.234,143.840532054,50000,-403.377386398,143.840532054,2.59663e-05,nan,2.2072e-10,100,-403.377386398,1.01397,1,5.55556e-05,0.880164416841,500.0,0.000105046,193.117,100,0.0735248,1.91724,0.473922,-403.377386398
nan,-27705.7,0.5,-185.255,11111.0954457,50000,-368.802999063,11111.0954457,,nan,4.17035e-06,111,-368.802999063,6.35277e+19,1,5.005e-05,10.9823936269,450.45045045,0.086988,1841.32,100,inf,1.10412e+23,,-368.802999063
15.5993,-73392.7,0.5,-449.389,35.2284949882,50000,-408.250416085,35.2284949882,3.08783e-05,1.68006970273e-05,4.32798e-11,100,-408.250416085,0.974796,1,5.55556e-05,0.725218603826,500.0,0.000105341,95.4066,100,0.0133247,1.84834,0.541802,-408.250416085
nan,nan,0.5,nan,9845.0140901,50000,-369.752629545,9845.0140901,,nan,3.75121e-06,111,-369.752629545,1.62239e+18,1,5.00501e-05,10.8903634276,450.45045045,0.0821572,nan,100,inf,2.66316e+21,,-369.752629545
nan,nan,0.5,nan,9050.45097752,50000,-362.514451767,9050.45097752,,nan,8.94155e-07,111,-362.514451767,43.553,1,5.00501e-05,10.7746125972,450.45045045,0.0399064,nan,100,677079.0,34726.1,,-362.514451767
nan,-19175.3,0.5,-146.054,23673.8927047,50000,-303.57465156,23673.8927047,,nan,2.11322e-08,132,-303.57465156,11.113,1,4.20875e-05,2.36637154204,378.787878788,0.00160629,3099.98,100,1473.34,424.134,,-303.57465156
nan,nan,0.5,nan,11007.2548951,50000,-358.131154873,11007.2548951,,nan,2.65663e-06,112,-358.131154873,4.0245e+18,1,4.96032e-05,10.3953745875,446.428571429,0.0678622,nan,100,inf,5.50593e+21,,-358.131154873
nan,-22792.0,0.5,-160.91,17209.4430942,50000,-318.772039781,17209.4430942,,nan,5.23097e-08,123,-318.772039781,41.7447,1,4.51671e-05,5.80010637244,406.504065041,0.00385571,1350.72,100,44682.7,3563.55,,-318.772039781
nan,-39886.2,0.5,-254.059,11158.1117626,50000,-351.928197186,11158.1117626,,nan,4.98537e-08,113,-351.928197186,13.3141,1,4.91642e-05,1.06572545678,442.477876106,0.00314926,1697.15,100,3656.14,852.848,,-351.928197186
nan,nan,0.5,nan,19472.2710912,50000,-295.861022908,19472.2710912,,nan,1.86587e-08,130,-295.861022908,6.75114,1,4.2735e-05,1.52806863886,384.615384615,0.00234515,nan,100,465.659,370.478,,-295.861022908
nan,-16479.2,0.5,-124.363,23275.2447002,50000,-293.383103949,23275.2447002,,nan,6.63e-08,134,-293.383103949,38.4719,1,4.14594e-05,8.92217625552,373.134328358,0.00704192,1764.61,100,57089.4,6534.5,,-293.383103949
nan,-24644.9,0.5,-184.96,15822.6764091,50000,-309.610942113,15822.6764091,,nan,2.71644e-08,123,-309.610942113,9.93624,1,4.51671e-05,2.28275954834,406.504065041,0.00322942,1251.83,100,1314.62,710.435,,-309.610942113
nan,nan,0.5,nan,17552.7459223,50000,-284.582450438,17552.7459223,,nan,1.27915e-08,131,-284.582450438,3.90166,1,4.24088e-05,2.73610743271,381.679389313,0.00140317,nan,100,108.27,129.093,,-284.582450438
nan,-19932.4,0.5,-147.822,18501.017521,50000,-305.507017993,18501.017521,,nan,8.68496e-08,125,-305.507017993,62.8105,1,4.44444e-05,2.09186841415,400.0,0.0055788,1723.9,100,173459.0,7884.16,,-305.507017993
nan,-13181.5,0.5,-107.633,27285.6373885,50000,-237.049674485,27285.6373885,,nan,1.05515e-08,166,-237.049674485,6.35764,1,3.34672e-05,1.93319636304,301.204819277,0.00181423,1707.24,100,380.773,344.642,,-237.049674485
nan,-18637.2,0.5,-128.782,25201.6589476,50000,-253.399459329,25201.6589476,,nan,1.10947e-08,156,-253.399459329,5.40816,1,3.56125e-05,4.18790139856,320.512820513,0.00330356,1353.51,100,255.863,501.682,,-253.399459329
nan,-15961.2,0.5,-111.199,21981.8138392,50000,-182.392368295,21981.8138392,,nan,2.09302e-09,208,-182.392368295,2.10228,1,2.67094e-05,3.71623439711,240.384615385,0.000342168,1113.65,100,12.9665,26.9317,,-182.392368295
nan,-17417.9,0.5,-130.446,20981.1135178,50000,-252.982345438,20981.1135178,,nan,1.49901e-08,144,-252.982345438,5.71116,1,3.85802e-05,5.20088609061,347.222222222,0.00408329,1296.16,100,328.491,604.463,,-252.982345438
