MaxVanillaIw,MaxNormIw,BatchSize,VarNormIw,ESSClassic,eRenyi2,VarDiscRet,AvgNormIw,VarVanillaIw,VarJ,J,Bound,AvgDiscRet,AvgRet,MinVanillaIw,AvgVanillaIw,VarRet,MinNormIw,ESSRenyi,AvgEpLen
84.79109,0.89568543,100,0.008043709,1.2401917793273691,40.819733,12369.93182061497,0.01,72.085106,394.97116,689.42926,739.2594,184.50096623515583,215.6018611185439,,0.94666153,30539.976892376162,,2.449795563782679,22.57
124.610085,0.9075652,100,0.008230609,1.2123709020691977,35.244408,38341.58092976232,0.01,155.161,244.09769,841.4941,1474.6838,488.5938425349673,753.2594100016157,,1.3730153,194218.26638050578,,2.8373295696230483,76.33
15.385524,0.099051036,100,0.00041675277,19.508945820117273,6.077254,19793.415329671847,0.010000002,10.055069,30.64517,857.2155,1773.4991,699.8404293009162,1314.9795697816276,6.029519e-16,1.5532925,248314.2338372473,3.8817663e-18,16.454800636331715,132.31
2.94683,0.027434079,100,5.2126234e-05,65.96089973045419,1.6169986,2709.994301985287,0.01,0.60143083,7.9715247,863.44476,1893.2659,847.0796454260503,1905.8798309905642,0.0076242564,1.0741494,60425.11107323983,7.097948e-05,61.84297431645723,190.78
1.4509087,0.014513103,100,1.2156818e-05,89.25762814978228,1.1254818,290.6698643122166,0.01,0.121500894,2.9581552,865.4154,1919.24,862.8237880745588,1981.8820420872978,0.042721428,0.9997232,8662.87343300462,0.00042733256,88.85083356758963,198.25
1.3235743,0.013066521,100,5.9771914e-06,94.41317520265652,1.062708,253.25007101223838,0.01,0.061330125,3.0807903,865.58075,1922.5415,863.743070793356,1987.8133997654916,0.116617195,1.0129508,7297.682648472828,0.0011512622,94.09922396201934,198.81
1.1199592,0.011272984,100,1.229608e-06,98.79731886209998,1.0108021,5.422448676641506,0.01,0.012136497,1.4500101,865.79706,1925.2566,865.6668095782926,1997.624053517524,0.4885475,0.9934896,264.66036131069797,0.00491749,98.93132896728864,199.79
1.1874377,0.011787459,100,1.0588934e-06,98.96257968073334,1.0124274,19.070612542463866,0.01,0.01074567,2.7485476,865.7189,1924.8218,865.5563405647808,1997.1179234803467,0.6347815,1.0073737,786.5230399739766,0.0063013504,98.77250965134583,199.73
1.3209288,0.013539055,100,7.412524e-06,93.16329132945529,1.0490184,139.87018520719408,0.01,0.070558324,2.4986393,865.5619,1922.5608,864.4077581585484,1990.717635476645,0.1743295,0.9756432,4121.862424412069,0.001786816,95.32721410613236,199.12
1.0032201,0.010032395,100,6.006522e-10,99.99942015734489,1.000005,0.0009662568066950912,0.009999999,6.006284e-06,0.030779678,865.9977,1927.0508,865.997650190101,1999.9366397094727,0.98789823,0.9999807,0.0131981914488183,0.009879173,99.99949932349067,200.0
1.0032592,0.010031808,100,2.1542436e-10,99.99979402275785,1.0000013,0.0005126955721462457,0.010000002,2.1545936e-06,0.022506867,865.9989,1927.0575,865.9988352498867,1999.9433579921722,0.99435073,1.0000781,0.004614844228750702,0.009942731,99.99986886995345,200.0
1.001602,0.010016378,100,7.432688e-11,99.99991607371635,1.0000006,0.0006557438429440493,0.01,7.432148e-07,0.025466988,865.99664,1927.0494,865.9966175896303,1999.9352694892884,0.9961827,0.9999643,0.007320408637763952,0.0099621825,99.99994039539075,200.0
1.2372499,0.012449305,100,4.393466e-06,95.83176027514055,1.0455388,123.11677411957271,0.01,0.043394223,1.9613799,865.7318,1923.8406,864.6036080772496,1991.9324936338328,0.15641072,0.9938305,3829.7461067349946,0.0015738169,95.64446734921097,199.22
1.0029,0.010027278,100,2.6966315e-10,99.99974827368669,1.0000023,0.0006226198845617336,0.01,2.697547e-06,0.024786545,865.99756,1927.0531,865.9975443462905,1999.939030380249,0.99388856,1.0001718,0.006581378520277212,0.009937179,99.99977350286287,200.0
