Bound,AvgRet,renyi2,ESSRenyi,EpsThisIter,VarDiscRet,BatchSize,MaxNormIw,AvgVanillaIw,MaxVanillaIw,J,AvgDiscRet,MinVanillaIw,VarVanillaIw,VarNormIw,VanillaAvgRet,delta,IterType,VarRet,SamplesThisIter,AvgNormIw,MinNormIw,ESSClassic,AvgEpLen,VarJ
202.825,-90.2393064493,nan,nan,100,28470.62828,100,0.199435,4.32868e+20,1.59709e+24,67374.2,-90.2393064493,,inf,1.07475e-05,-90.2393064493,0.5,1,28470.62828,50000,5.4054e-05,,4.99997971183,500.0,93.5076
26.4048,-185.318993669,nan,nan,100,57340.3596046,100,0.00297085,11.6786,641.864,41686.8,-185.318993669,7.24474e-28,1605.87,3.44022e-08,-185.318993669,0.5,1,57340.3596046,50000,5.40541e-05,3.35321e-33,0.636828486226,500.0,1305.23
-69.1987,-203.930288543,nan,nan,100,44977.5843768,100,0.00117016,5.71856,123.795,15515.8,-203.930288543,6.17875e-06,239.569,2.14049e-08,-203.930288543,0.5,1,44977.5843768,50000,5.40541e-05,5.84039e-11,0.419734953692,500.0,1644.44
178.93,-97.1945070161,nan,nan,100,38980.9853415,100,0.175917,5.33608e+06,1.73661e+10,63894.7,-97.1945070161,,8.30079e+16,8.51786e-06,-97.1945070161,0.5,1,38980.9853415,50000,5.40541e-05,,4.90826305345,500.0,1627.41
-54.6426,-197.748252759,nan,nan,100,23232.465458,100,0.102538,33.346,63255.6,14965.5,-197.748252759,1.50704e-11,1.08633e+06,2.85451e-06,-197.748252759,0.5,1,23232.465458,50000,5.4054e-05,2.44292e-17,4.97597551495,500.0,1797.39
-46.8192,-167.004409595,nan,nan,100,34728.5561008,100,0.00148315,4.84844,133.033,11836.2,-167.004409595,9.14758e-07,139.655,1.73583e-08,-167.004409595,0.5,1,34728.5561008,50000,5.40541e-05,1.01984e-11,1.17011353082,500.0,1106.74
-35.3578,-93.6086341354,nan,nan,100,21157.119247,100,0.000637968,2.84419,33.5682,8436.31,-93.6086341354,5.32626e-07,24.5681,8.87386e-09,-93.6086341354,0.5,1,21157.119247,50000,5.40541e-05,1.01226e-11,0.951585348787,500.0,732.371
92.8905,-111.856924071,nan,nan,100,39909.2430198,100,0.185353,5.58957e+19,1.91668e+23,62475.4,-111.856924071,,inf,9.31333e-06,-111.856924071,0.5,1,39909.2430198,50000,5.40541e-05,,4.98369399576,500.0,223.374
-92.4166,-154.787145962,nan,nan,100,17934.9213558,100,0.000955513,3.55497,62.8411,1208.16,-154.787145962,3.73015e-06,55.8132,1.29039e-08,-154.787145962,0.5,1,17934.9213558,50000,5.40541e-05,5.67177e-11,1.16612044519,500.0,803.351
-64.1036,-122.235765483,nan,nan,100,9831.31114398,100,0.000867978,4.47469,71.8528,1618.17,-122.235765483,2.30724e-10,96.2677,1.40479e-08,-122.235765483,0.5,1,9831.31114398,50000,5.40541e-05,2.78713e-15,0.588515138834,500.0,691.284
21.2622,-77.2357184672,nan,nan,100,10125.3181812,100,0.0318932,78.9721,46595.4,19766.8,-77.2357184672,2.39384e-26,859444.0,4.02649e-07,-77.2357184672,0.5,1,10125.3181812,50000,5.40541e-05,1.63851e-32,3.52301427392,500.0,835.983
4.38718,-82.9003346593,nan,nan,100,19811.1873502,100,0.00152938,6.20148,175.462,21209.3,-82.9003346593,3.13174e-09,311.114,2.36366e-08,-82.9003346593,0.5,1,19811.1873502,50000,5.40541e-05,2.72972e-14,0.424236322839,500.0,1235.67
-28.6997,-95.1935958988,nan,nan,100,10959.4577724,100,0.0022896,6.92139,293.174,10829.2,-95.1935958988,,441.99,2.69577e-08,-95.1935958988,0.5,1,10959.4577724,50000,5.40541e-05,,0.573781815148,500.0,1639.81
30.84,-62.1636858017,nan,nan,100,22334.5770462,100,0.000952401,4.50387,79.3556,23344.8,-62.1636858017,6.35609e-08,108.439,1.56195e-08,-62.1636858017,0.5,1,22334.5770462,50000,5.40541e-05,7.62837e-13,0.527295218861,500.0,1069.66
-10.4794,-122.198338886,nan,nan,100,55969.6420397,100,0.000876287,3.53859,57.3652,24472.0,-122.198338886,1.22844e-07,51.6676,1.20563e-08,-122.198338886,0.5,1,55969.6420397,50000,5.40541e-05,1.87651e-12,0.880722581536,500.0,1317.03
5.23019,-196.783826611,nan,nan,100,35692.9080549,100,0.0435096,23.0623,18563.5,25573.3,-196.783826611,1.14459e-33,99726.0,5.47846e-07,-196.783826611,0.5,1,35692.9080549,50000,5.40541e-05,2.68271e-39,6.1088433091,500.0,857.476
86.8895,-76.9262901123,nan,nan,100,42305.2597355,100,0.19553,685.586,2.47997e+06,43427.7,-76.9262901123,2.56097e-11,1.66187e+09,1.03307e-05,-76.9262901123,0.5,1,42305.2597355,50000,5.4054e-05,2.01916e-18,4.99999292024,500.0,2033.32
74.67,-32.8100199621,nan,nan,100,19984.9960144,100,0.0046666,9.97029,860.756,29945.2,-32.8100199621,6.49898e-08,1332.67,3.9171e-08,-32.8100199621,0.5,1,19984.9960144,50000,5.40541e-05,3.52343e-13,1.3014498364,500.0,1051.19
228.058,-25.1224208434,nan,nan,100,34455.7119464,100,0.199298,4.07142e+12,1.50113e+16,67573.9,-25.1224208434,,6.08902e+28,1.07328e-05,-25.1224208434,0.5,1,34455.7119464,50000,5.40541e-05,,4.99993963364,500.0,1184.08
44.954,-53.8941567753,nan,nan,100,16210.8061324,100,0.00106257,6.98723,137.351,21569.0,-53.8941567753,1.32348e-08,347.712,2.08098e-08,-53.8941567753,0.5,1,16210.8061324,50000,5.40541e-05,1.02386e-13,0.480360584603,500.0,543.96
37.4474,-56.1264578533,nan,nan,100,11600.420403,100,0.00350814,11.4529,743.3,21687.0,-56.1264578533,2.08719e-10,1765.74,3.93328e-08,-56.1264578533,0.5,1,11600.420403,50000,5.40541e-05,9.85088e-16,1.51257901476,500.0,733.653
210.951,-22.9438740069,nan,nan,100,28392.3454831,100,0.2,4.6544e+18,1.72213e+22,67329.8,-22.9438740069,,inf,1.08085e-05,-22.9438740069,0.5,1,28392.3454831,50000,5.40541e-05,,5.00000034524,500.0,981.434
