AvgRet,eRenyi2,AvgVanillaIw,MinNormIw,VarJ,Delta,AvgNormIw,BatchSize,AvgDiscRet,MinVanillaIw,VarDiscRet,EpsThisIter,MaxVanillaIw,VanillaAvgRet,IterType,VarNormIw,Bound,VarVanillaIw,MaxNormIw,J,ESSRenyi,VarRet,AvgEpLen,ESSClassic
-128.287298725,1.04917,0.97163,0.00398098,38.2202,0.1,0.01,100,-128.287298725,0.386804,4581.01101113,100,1.4613,-128.287298725,1,6.30787e-06,-272.318,0.0595504,0.0150397,-120.154,95.3134366752,4581.01101113,61.44,94.1222155884
-121.131977038,1.02899,0.991793,0.00478276,34.9624,0.1,0.01,100,-121.131977038,0.474351,3174.56724542,100,1.93117,-121.131977038,1,4.66101e-06,-266.73,0.0458481,0.0194715,-116.222,97.1829979153,3174.56724542,48.67,95.5891396329
-109.4194265,1.00634,0.998949,0.00772419,6.52683,0.1,0.01,100,-109.4194265,0.771607,46.0966626032,100,1.13152,-109.4194265,1,7.00181e-07,-150.919,0.0069871,0.0113271,-109.157,99.3700033559,46.0966626032,18.81,99.3115711586
-116.761828893,1.0063,0.995315,0.00850221,46.1439,0.1,0.01,100,-116.761828893,0.846238,2628.598177,100,1.18506,-116.761828893,1,6.65862e-07,-266.015,0.00659638,0.0119064,-115.777,99.374217624,2628.598177,47.62,99.345072369
-123.441218892,1.02741,0.990924,0.00489791,39.4382,0.1,0.01,100,-123.441218892,0.485346,3305.41565722,100,1.54384,-123.441218892,1,3.80432e-06,-269.049,0.0373558,0.0155798,-118.97,97.3318750854,3305.41565722,43.15,96.3704188372
-115.696350381,1.01518,1.00045,0.0053451,25.6724,0.1,0.01,100,-115.696350381,0.534749,1862.45885563,100,1.26133,-115.696350381,1,1.61143e-06,-261.691,0.0161287,0.0126077,-113.136,98.504329332,1862.45885563,30.27,98.4297556479
-112.954304441,1.00801,1.00601,0.00664955,23.9045,0.1,0.01,100,-112.954304441,0.668951,1205.44464291,100,1.16172,-112.954304441,1,8.63992e-07,-245.637,0.00874407,0.0115478,-111.779,99.2056788651,1205.44464291,28.68,99.1519227036
-109.331723713,1.00634,0.9992,0.00726827,4.95731,0.1,0.01,100,-109.331723713,0.726245,33.5391128164,100,1.16704,-109.331723713,1,7.8508e-07,-153.541,0.00783823,0.0116798,-109.038,99.3698856441,33.5391128164,17.56,99.2287870677
-111.144625241,1.00371,1.00166,0.00799305,21.5717,0.1,0.01,100,-111.144625241,0.800631,583.503118619,100,1.20214,-111.144625241,1,4.18774e-07,-210.386,0.00420165,0.0120015,-110.771,99.6307231849,583.503118619,30.33,99.5871256095
-107.726125662,1.00222,1.00486,0.00841562,4.03322,0.1,0.01,100,-107.726125662,0.845653,17.5539406307,100,1.14654,-107.726125662,1,2.55302e-07,-146.953,0.0025779,0.01141,-107.637,99.778274677,17.5539406307,18.09,99.7479325376
-108.467762359,1.00322,0.991682,0.00809966,3.93714,0.1,0.01,100,-108.467762359,0.803229,16.9200456211,100,1.15806,-108.467762359,1,4.39473e-07,-146.302,0.00432192,0.0116777,-108.345,99.6785634969,16.9200456211,18.17,99.566801644
-112.933032973,1.00816,0.995503,0.00661607,28.8355,0.1,0.01,100,-112.933032973,0.658631,1540.03683093,100,1.20285,-112.933032973,1,1.20706e-06,-261.032,0.0119623,0.0120829,-111.649,99.190980471,1540.03683093,25.1,98.8191119427
