AvgRet,J,Bound,Delta,ESSClassic,VarJ,AvgNormIw,VarNormIw,AvgDiscRet,MinVanillaIw,VanillaAvgRet,AvgEpLen,EpsThisIter,eRenyi2,ESSRenyi,MaxNormIw,VarVanillaIw,VarRet,BatchSize,MaxVanillaIw,IterType,VarDiscRet,AvgVanillaIw,MinNormIw
-316.368276557,-64.1107,-64.1107,1.0,inf,,0.01,0.01,-316.368276557,,-316.368276557,388.84,100,3.83384e+11,2.60835271804e-10,1.0,,22064.8357928,100,1.16556e-34,1,22064.8357928,1.16556e-36,
-62.4229338652,-57.664,-57.664,1.0,16.0085556092,21.8387,0.01,0.000529966,-62.4229338652,1.89471e-16,-62.4229338652,90.35,100,inf,,0.193492,10.3951,1343.95751749,100,27.099,1,1343.95751749,1.40052,1.35286e-18
-62.4229338652,-61.9785,nan,1.0,1.02497941105,0.152338,0.01,0.00975383,-58.347838102,0.0369017,-62.4229338652,90.35,100,nan,nan,0.987665,2.78528e+29,1343.95751749,200,5.27784e+15,,65.5169697653,5.34376e+13,6.90557e-18
-60.5199971803,-55.9276,-55.9276,1.0,14.6889435544,13.2222,0.005,0.000316977,-60.5199971803,,-60.5199971803,87.2,100,inf,,0.147599,8.11028,1348.52428142,200,23.6095,1,1348.52428142,0.799787,
-68.729072202,-68.7291,-68.7291,1.0,100.0,50.3869,0.01,3.50449e-18,-68.729072202,1.0,-68.729072202,98.92,100,1.0,200.0,0.01,,2564.48381751,200,1.0,2,2564.48381751,1.0,0.01
-60.5199971803,nan,nan,1.0,nan,nan,nan,nan,-60.8839590335,0.0423559,-60.5199971803,87.2,100,nan,nan,nan,nan,1348.52428142,300,inf,,55.1985127369,inf,nan
-58.8418049286,-57.9659,-57.9659,1.0,33.7757351088,26.7693,0.00333333,8.7872e-05,-58.8418049286,,-58.8418049286,85.75,100,inf,,0.12565,9.04505,57.3159568697,300,40.3127,1,57.3159568697,1.06945,
-62.5710421515,-62.571,-62.571,1.0,100.0,36.1987,0.01,3.50449e-18,-62.5710421515,1.0,-62.5710421515,90.48,100,1.0,300.0,0.01,,1323.58138724,300,1.0,2,1323.58138724,1.0,0.01
-62.516504427,-62.5438,-62.5438,1.0,200.000000102,36.2488,0.005,2.1793e-19,-62.516504427,1.0,-62.516504427,90.62,100,1.0,300.0,0.005,,1330.91927568,300,1.0,2,1330.91927568,1.0,0.005
-58.8418049286,nan,nan,1.0,nan,nan,nan,nan,-62.4427665609,0.0248061,-58.8418049286,85.75,100,nan,nan,nan,nan,57.3159568697,400,inf,,1338.24205309,inf,nan
-62.4015846407,-58.037,-58.037,1.0,166.953013636,10.0076,0.0025,8.74614e-06,-62.4015846407,7.95511e-14,-62.4015846407,90.39,100,inf,,0.0228444,1.35544,1345.26442697,400,8.99314,1,1345.26442697,0.984173,2.02076e-16
-68.187967751,-68.188,-68.188,1.0,100.0,50.2736,0.01,3.50449e-18,-68.187967751,1.0,-68.187967751,97.81,100,1.0,400.0,0.01,,2552.96431273,400,1.0,2,2552.96431273,1.0,0.01
-62.9317287251,-65.5598,-65.5598,1.0,200.000000102,43.9146,0.005,2.1793e-19,-62.9317287251,1.0,-62.9317287251,91.16,100,1.0,400.0,0.005,,1329.03393227,400,1.0,2,1329.03393227,1.0,0.005
-59.2684910411,-63.4627,-63.4627,1.0,299.999969474,36.1877,0.00333333,5.43914e-20,-59.2684910411,1.0,-59.2684910411,87.04,100,1.0,400.0,0.00333333,,45.7223634733,400,1.0,2,45.7223634733,1.0,0.00333333
-62.4015846407,-58.8996,nan,1.0,1.01594739955,1.57577,0.0025,0.00246066,-62.4413757724,0.111196,-62.4015846407,90.39,100,nan,nan,0.992091,3.95053e+23,1345.26442697,500,1.25705e+13,,1336.53858734,3.16769e+10,8.77579e-15
-63.5500602545,-51.0897,-51.0897,1.0,1.0,2.22214e-12,0.002,0.002,-63.5500602545,,-63.5500602545,92.6,100,8853.38,0.0564756191333,1.0,4.9266e-12,1330.69760899,500,4.96316e-05,1,1330.69760899,9.92633e-08,
-62.115349651,-62.1153,-62.1153,1.0,100.0,36.5785,0.01,3.50449e-18,-62.115349651,1.0,-62.115349651,89.25,100,1.0,500.0,0.01,,1351.50059137,500,1.0,2,1351.50059137,1.0,0.01
-58.220862437,-60.1681,-60.1681,1.0,200.000000102,26.399,0.005,2.1793e-19,-58.220862437,1.0,-58.220862437,84.84,100,1.0,500.0,0.005,,48.7302279063,500,1.0,2,48.7302279063,1.0,0.005
-60.0268752065,-60.121,-60.121,1.0,299.999969474,22.0213,0.00333333,5.43914e-20,-60.0268752065,1.0,-60.0268752065,88.22,100,1.0,500.0,0.00333333,,61.5971752398,500,1.0,2,61.5971752398,1.0,0.00333333
-57.7770036785,-59.535,-59.535,1.0,400.0,19.4106,0.0025,5.4346e-20,-57.7770036785,1.0,-57.7770036785,84.35,100,1.0,500.0,0.0025,,48.6411117112,500,1.0,2,48.6411117112,1.0,0.0025
-57.3768704003,-48.4226,-48.4226,1.0,1.0,3.09463e-15,0.002,0.002,-57.3768704003,,-57.3768704003,83.7,100,3652.41,0.136895961609,1.0,0.0711089,49.0816268383,500,5.96276,1,49.0816268383,0.0119255,
-61.63487306,-61.6349,-61.6349,1.0,100.0,36.5065,0.01,3.50449e-18,-61.63487306,1.0,-61.63487306,88.66,100,1.0,500.0,0.01,,1346.18703099,500,1.0,2,1346.18703099,1.0,0.01
