eRenyi2,VarVanillaIw,VarJ,EpsThisIter,VarNormIw,MaxVanillaIw,IterType,BatchSize,VarDiscRet,Bound,MaxNormIw,AvgRet,AvgEpLen,VanillaAvgRet,J,MinVanillaIw,AvgNormIw,AvgVanillaIw,ESSClassic,MinNormIw,VarRet,ESSRenyi,AvgDiscRet,Delta
1.02269,0.0232116,2.5642,100,2.33582e-06,1.28178,1,100,6.76336453204,-112.277,0.0128582,-106.493434871,18.53,-106.493434871,-106.369,0.571185,0.01,0.996857,97.7397973484,0.00572986,6.76336453204,97.7814042294,-106.493434871,0.8
1.30322,1.9745,9.82115,100,0.000145976,13.9804,1,100,7.7503218019,-112.03,0.120208,-106.731892909,17.63,-106.731892909,-105.545,0.31508,0.01,1.16302,40.897009628,0.00270915,7.7503218019,76.733062299,-106.731892909,0.8
1.03285,0.0578067,2.37856,100,5.75426e-06,2.57868,1,100,5.26833635688,-112.219,0.0257279,-106.633375692,19.58,-106.633375692,-106.469,0.532263,0.01,1.00229,94.6103403534,0.00531046,5.26833635688,96.8195892876,-106.633375692,0.8
1.05443,0.0723119,2.65282,100,7.66234e-06,1.5005,1,100,7.55099112331,-112.456,0.0154459,-106.921955572,18.19,-106.921955572,-106.578,0.140949,0.01,0.971459,92.949172888,0.0014509,7.55099112331,94.8381937776,-106.921955572,0.8
1.00772,0.00801782,3.1077,100,8.18214e-07,1.12084,1,100,10.351612116,-112.402,0.0113226,-106.724373892,18.92,-106.724373892,-106.678,0.645101,0.01,0.989908,99.1964731069,0.00651678,10.351612116,99.2340322035,-106.724373892,0.8
1.26723,0.591044,11.3802,100,5.37426e-05,6.03037,1,100,11.5245472212,-111.609,0.0575034,-106.251645473,22.31,-106.251645473,-105.207,0.261865,0.01,1.0487,65.2719527101,0.00249705,11.5245472212,78.91212265,-106.251645473,0.8
1.01255,0.0179164,3.00825,100,1.81448e-06,1.2228,1,100,8.03056756256,-112.44,0.0123057,-106.825498251,20.04,-106.825498251,-106.753,0.596185,0.01,0.993686,98.2353499269,0.00599974,8.03056756256,98.760101927,-106.825498251,0.8
1.02383,0.0211096,3.02291,100,2.15972e-06,1.50369,1,100,8.47168026061,-112.628,0.0152096,-106.847261487,20.3,-106.847261487,-106.712,0.465817,0.01,0.988648,97.9066299807,0.00471166,8.47168026061,97.6721186223,-106.847261487,0.8
1.06535,0.103813,3.72076,100,1.02112e-05,2.58933,1,100,10.0518270011,-111.814,0.0256803,-106.343767877,22.84,-106.343767877,-105.988,0.479842,0.01,1.0083,90.8190143657,0.00475894,10.0518270011,93.8656927184,-106.343767877,0.8
1.0936,0.0834282,4.7489,100,9.34957e-06,2.08674,1,100,9.83194697224,-111.95,0.0220906,-106.51375667,21.2,-106.51375667,-106.068,0.267366,0.01,0.944627,91.5281069369,0.00283039,9.83194697224,91.4411289567,-106.51375667,0.8
1.06214,0.0590764,3.6242,100,5.67207e-06,1.77959,1,100,8.96607303322,-111.801,0.0174375,-106.121226954,25.89,-106.121226954,-105.788,0.432384,0.01,1.02055,94.6831903506,0.00423676,8.96607303322,94.149484808,-106.121226954,0.8
1.11113,0.134499,4.52761,100,1.51837e-05,2.7371,1,100,13.6011347054,-112.378,0.0290818,-106.390906936,27.41,-106.390906936,-105.835,0.265999,0.01,0.941175,86.9324331142,0.00282624,13.6011347054,89.9983252599,-106.390906936,0.8
23.1981,66.7338,98.1679,100,0.00560939,81.3612,1,100,38.6947455791,-95.2999,0.745937,-105.761820741,27.54,-105.761820741,-67.4502,1.68935e-16,0.01,1.09072,1.76887978501,1.54883e-18,38.6947455791,4.31069376626,-105.761820741,0.8
nan,6.62682e+29,73.6232,100,0.00491165,5.91943e+15,,200,8830.61707232,-inf,0.509614,-105.761820741,27.54,-105.761820741,-96.8351,0.0122909,0.01,1.16155e+14,2.0150989745,1.05814e-18,38.6947455791,nan,-125.448019062,0.8
1.43979,0.33666,11.767,100,1.01758e-05,3.37958,1,200,30.6809686661,-110.162,0.0185802,-106.206642616,27.4,-106.206642616,-104.528,0.0254869,0.005,0.909456,142.349183578,0.000140121,30.6809686661,138.908708421,-106.206642616,0.8
1.0,,7.13654,100,3.50449e-18,1.0,2,200,51.4446975502,-109.93,0.01,-104.166983707,29.92,-104.166983707,-104.167,1.0,0.01,1.0,100.0,0.01,51.4446975502,200.0,-104.166983707,0.8
