entropy,EpLenMean,EpisodesSoFar,optimgain,meankl,DiscEpRewMean,EpThisIter,Step_size,entloss,EpRewMean,ev_tdlam_before,surrgain,TimeElapsed,TimestepsSoFar
0.4189424,500.0,100,4.8818056e-05,0.001812627,-416.2195672786236,100,0.5,,-416.21956733256576,,4.8818056e-05,45.71896004676819,50000
0.4189424,500.0,200,0.0005614322,0.0081122685,-415.7380513346195,100,1.0,,-415.7380512063205,,0.0005614322,89.9141149520874,100000
0.4189424,500.0,300,0.0002673172,0.009673517,-411.15764772772786,100,1.0,,-411.1576477219164,,0.0002673172,135.07162809371948,150000
0.4189424,500.0,400,0.0006136862,0.009974696,-399.8494496810436,100,1.0,,-399.84944966107605,,0.0006136862,181.57639145851135,200000
0.4189424,500.0,500,0.00041459914,0.009905555,-385.18341879963873,100,1.0,,-385.18341878712175,,0.00041459914,227.27020263671875,250000
0.4189424,500.0,600,0.00061526184,0.009819145,-395.65710098445413,100,1.0,,-395.65710098341106,,0.00061526184,272.33281111717224,300000
0.4189424,500.0,700,0.0010159583,0.00999456,-401.17055227577686,100,1.0,,-401.1705521927774,,0.0010159583,314.16338562965393,350000
0.4189424,500.0,800,0.0014908505,0.009923347,-388.0380017030239,100,1.0,,-388.0380017185211,,0.0014908505,361.0053400993347,400000
0.4189424,488.14,900,0.008188525,0.009925282,-356.6786732125282,100,1.0,,-365.3189672574401,,0.008188525,406.7231504917145,448814
0.4189424,468.08,1000,0.004564847,0.009966106,-322.7346649312973,100,1.0,,-345.06517674893144,,0.004564847,450.69924688339233,495622
0.4189424,434.48,1100,0.0019704052,0.009946826,-276.4721597468853,100,1.0,,-318.89923513919115,,0.0019704052,492.60092186927795,539070
0.4189424,345.32,1200,0.002774712,0.009946945,-168.27349855720996,100,1.0,,-250.72471248865128,,0.002774712,531.9702150821686,573602
0.4189424,459.14,1300,0.009134366,0.009955632,-310.0518070942164,100,1.0,,-335.52456694200635,,0.009134366,573.2235834598541,619516
0.4189424,427.48,1400,0.0022642016,0.010019889,-268.2587066787481,100,1.0,,-311.74266872256993,,0.0022642016,614.6511828899384,662264
0.4189424,353.06,1500,0.0019561793,0.009976026,-179.70229482233523,100,1.0,,-254.77466011852027,,0.0019561793,650.5715796947479,697570
0.4189424,261.89,1600,0.0029052868,0.009961672,-98.5911647951603,100,1.0,,-187.57621726348995,,0.0029052868,679.288328409195,723759
0.4189424,248.29,1700,0.0016193934,0.010024747,-89.50305426478386,100,1.0,,-178.24194878026844,,0.0016193934,712.094199180603,748588
0.4189424,217.72,1800,0.004435088,0.009999199,-69.72066384851932,100,1.0,,-156.36383191764355,,0.004435088,740.5722532272339,770360
0.4189424,223.73,1900,0.0011663794,0.009952876,-69.03953168570996,100,1.0,,-161.3260919739306,,0.0011663794,766.3175840377808,792733
