EpThisIter,meankl,surrgain,EpRewMean,ev_tdlam_before,entloss,EpisodesSoFar,optimgain,TimestepsSoFar,EpLenMean,entropy,Step_size,TimeElapsed,DiscEpRewMean
100,0.008723396,0.00027576508,-416.16024868145587,,,100,0.00027576508,50000,500.0,0.4189424,1.0,128.48974418640137,-416.1602487236261
100,0.009202628,0.0012733532,-410.70539171382785,,,200,0.0012733532,100000,500.0,0.4189424,1.0,238.7513473033905,-410.70539166271686
100,0.009207573,0.0011791696,-414.33368881076575,,,300,0.0011791696,150000,500.0,0.4189424,1.0,353.97395062446594,-414.3336887860298
100,0.009918944,0.0007679254,-402.76044023498895,,,400,0.0007679254,200000,500.0,0.4189424,1.0,469.5865070819855,-402.7604402422905
100,0.009311616,0.0006887131,-409.0901876087487,,,500,0.0006887131,250000,500.0,0.4189424,1.0,581.6733973026276,-409.0901875758171
100,0.009919534,0.0010292474,-406.3132588122785,,,600,0.0010292474,300000,500.0,0.4189424,1.0,695.1718013286591,-406.3132588684559
100,0.009912944,0.0013399051,-391.407641928643,,,700,0.0013399051,350000,500.0,0.4189424,1.0,806.0356421470642,-391.4076419478655
100,0.009974441,0.00017040252,-377.57155607268214,,,800,0.00017040252,399748,497.48,0.4189424,1.0,912.215188741684,-375.7510122740269
100,0.010014645,0.00047288925,-393.9150824598968,,,900,0.00047288925,449748,500.0,0.4189424,1.0,1023.6537842750549,-393.91508251070974
100,0.0095942635,0.00045588196,-402.4940865153074,,,1000,0.00045588196,499748,500.0,0.4189424,1.0,1139.174857378006,-402.49408653974535
100,0.0099494215,0.0005277905,-396.9427927032113,,,1100,0.0005277905,549748,500.0,0.4189424,1.0,1262.8468511104584,-396.94279272139073
100,0.009924336,0.000624538,-386.4039291545749,,,1200,0.000624538,599739,499.91,0.4189424,1.0,1382.8701770305634,-386.33318812251093
100,0.010062821,0.001862464,-353.10014972627164,,,1300,0.001862464,647241,475.02,0.4189424,1.0,1482.0778250694275,-334.1183446335792
100,0.00997282,0.002673523,-285.91162188366053,,,1400,0.002673523,686632,393.91,0.4189424,1.0,1582.4726958274841,-222.79427029907703
100,0.010004372,0.00827766,-269.3109308026731,,,1500,0.00827766,723949,373.17,0.4189424,1.0,1679.7084665298462,-199.09294216632844
100,0.010006034,0.008263687,-240.18558218315243,,,1600,0.008263687,757414,334.65,0.4189424,1.0,1762.71515250206,-155.94958025872708
100,0.010012221,0.015037961,-234.22460068807007,,,1700,0.015037961,789964,325.5,0.4189424,1.0,1842.3036065101624,-153.4062916082144
100,0.009999263,0.015965762,-228.10944136455655,,,1800,0.015965762,821617,316.53,0.4189424,1.0,1923.5419132709503,-146.10475428342818
100,0.0100392895,0.007102799,-218.9104585841298,,,1900,0.007102799,852125,305.08,0.4189424,1.0,1995.0480604171753,-135.1500356847048
100,0.009945324,0.0018681347,-181.5349961529672,,,2000,0.0018681347,877470,253.45,0.4189424,1.0,2077.1270864009857,-93.11664202809334
100,0.010016386,0.009044462,-172.2342818032205,,,2100,0.009044462,901349,238.79,0.4189424,1.0,2135.3208301067352,-82.11577552616596
100,0.009958127,0.0070411293,-173.95882460892201,,,2200,0.0070411293,925426,240.77,0.4189424,1.0,2210.2103068828583,-84.49407511651516
100,0.009902967,0.002775022,-168.15252826422454,,,2300,0.002775022,948730,233.04,0.4189424,1.0,2264.79053235054,-78.97909972786903
100,0.009958135,0.00091531494,-147.85049898326398,,,2400,0.00091531494,969216,204.86,0.4189424,1.0,2320.0192997455597,-64.14640832543373
100,0.00997819,6.119263e-05,-125.22466699585318,,,2500,6.119263e-05,986661,174.45,0.4189424,1.0,2371.348638534546,-40.868071985244754
100,0.010006505,0.011159505,-141.50993383586408,,,2600,0.011159505,1006432,197.71,0.4189424,1.0,2457.6311089992523,-55.83942963719368
100,0.00998987,0.010493082,-142.08208807885646,,,2700,0.010493082,1026256,198.24,0.4189424,1.0,2512.943106651306,-58.28934777855873
100,0.010015993,0.0042031407,-142.14334762334823,,,2800,0.0042031407,1045974,197.18,0.4189424,1.0,2578.821233034134,-57.87741424381733
100,0.010010857,0.005433904,-137.4014218875766,,,2900,0.005433904,1064855,188.81,0.4189424,1.0,2636.5117087364197,-54.420060012936595
100,0.010008258,0.007320481,-134.69902900874615,,,3000,0.007320481,1083537,186.82,0.4189424,1.0,2696.3462357521057,-48.15467874228954
100,0.010000802,0.010012735,-130.84992709711193,,,3100,0.010012735,1101811,182.74,0.4189424,1.0,2771.7009949684143,-47.37336779892445
100,0.0099420585,0.0043615284,-133.7639748519659,,,3200,0.0043615284,1120351,185.4,0.4189424,1.0,2826.8236961364746,-50.80819892287254
100,0.010011636,0.0038277954,-144.25140567526222,,,3300,0.0038277954,1140412,200.61,0.4189424,1.0,2884.4328212738037,-58.83109045267105
