EpThisIter,entropy,EpLenMean,meankl,DiscEpRewMean,ev_tdlam_before,EpisodesSoFar,surrgain,TimestepsSoFar,Step_size,optimgain,entloss,TimeElapsed,EpRewMean
100,0.4189424,500.0,0.0051088436,-416.2049943137169,,100,0.000347984,50000,1.0,0.000347984,,21.710962533950806,-416.2049942557514
100,0.4189424,500.0,0.009160801,-416.05165748000144,,200,0.00011364472,100000,1.0,0.00011364472,,43.99420213699341,-416.0516574600339
100,0.4189424,500.0,0.0047527542,-416.4160644310713,,300,0.0011398983,150000,1.0,0.0011398983,,70.62944746017456,-416.4160644312203
100,0.4189424,500.0,0.0083728535,-416.2679938554764,,400,0.0012845856,200000,1.0,0.0012845856,,101.58920001983643,-416.2679938426614
100,0.4189424,500.0,0.00888702,-411.7419299119711,,500,0.00038666686,250000,1.0,0.00038666686,,131.90178680419922,-411.74192994445565
100,0.4189424,500.0,0.009671707,-411.26715959727767,,600,0.00032166045,300000,1.0,0.00032166045,,164.9524474143982,-411.26715957805516
100,0.4189424,500.0,0.0096804015,-415.2554292500019,,700,0.0010543683,350000,1.0,0.0010543683,,193.8613133430481,-415.2554292486608
100,0.4189424,500.0,0.005690021,-416.32235661566256,,800,0.00013186126,400000,1.0,0.00013186126,,224.51656675338745,-416.322356671989
100,0.4189424,500.0,0.007735503,-416.45076122164727,,900,0.0002672467,450000,1.0,0.0002672467,,254.91118049621582,-416.45076122626665
100,0.4189424,500.0,0.007879113,-415.0884472113848,,1000,0.00035862884,500000,1.0,0.00035862884,,282.6966826915741,-415.0884472389519
100,0.4189424,500.0,0.009783265,-410.90614633142945,,1100,0.00049608643,550000,1.0,0.00049608643,,313.27268958091736,-410.90614626929164
100,0.4189424,500.0,0.0074673365,-415.28560320198534,,1200,0.0005834714,600000,1.0,0.0005834714,,345.99998569488525,-415.2856031534076
100,0.4189424,500.0,0.009211501,-415.88434317588803,,1300,0.0009227341,650000,1.0,0.0009227341,,375.455215215683,-415.8843431593478
100,0.4189424,500.0,0.009648932,-407.3085245245695,,1400,0.00047886232,700000,1.0,0.00047886232,,403.451815366745,-407.3085245628655
100,0.4189424,500.0,0.009950611,-401.575838701129,,1500,0.0003952365,750000,1.0,0.0003952365,,434.5839698314667,-401.5758386902511
100,0.4189424,500.0,0.009880949,-393.27501474618913,,1600,0.0010745839,800000,1.0,0.0010745839,,464.4575705528259,-393.2750148130953
100,0.4189424,500.0,0.009763727,-399.77694320201874,,1700,0.0020255249,850000,1.0,0.0020255249,,494.5672388076782,-399.7769431166351
100,0.4189424,500.0,0.009757501,-394.4076911711693,,1800,0.0006335196,900000,1.0,0.0006335196,,521.5599446296692,-394.40769110783936
