ev_tdlam_before,surrgain,entropy,TimestepsSoFar,EpLenMean,DiscEpRewMean,EpisodesSoFar,optimgain,TimeElapsed,EpRewMean,Step_size,entloss,meankl,EpThisIter
,0.000728096,0.4189424,50000,500.0,-416.18472821474074,100,0.000728096,29.195501565933228,-416.1847282963991,1.0,,0.008842112,100
,0.0006504697,0.4189424,100000,500.0,-409.9838063001633,200,0.0006504697,94.79134202003479,-409.98380630001424,1.0,,0.009512113,100
,0.0005229254,0.4189424,150000,500.0,-403.9925516438484,300,0.0005229254,210.9823019504547,-403.9925515803695,1.0,,0.009917475,100
,0.0011699176,0.4189424,200000,500.0,-409.85724806964396,400,0.0011699176,281.0561134815216,-409.8572480456531,1.0,,0.009125456,100
,3.18042e-05,0.4189424,250000,500.0,-410.1043511211872,500,3.18042e-05,366.4602496623993,-410.10435106724503,0.5,,0.002327461,100
,0.0007416937,0.4189424,300000,500.0,-407.7957189011574,600,0.0007416937,440.0543670654297,-407.79571890443566,1.0,,0.0095076,100
,0.00080965424,0.4189424,350000,500.0,-402.7861204904318,700,0.00080965424,517.0570316314697,-402.786120480299,1.0,,0.009921194,100
,1.9587707e-05,0.4189424,400000,500.0,-392.73035979866984,800,1.9587707e-05,604.5750594139099,-392.7303598095477,1.0,,0.01000458,100
,0.0014405799,0.4189424,450000,500.0,-401.84530412614345,900,0.0014405799,664.7749652862549,-401.8453040936589,1.0,,0.009972729,100
,0.0010651419,0.4189424,500000,500.0,-389.47407082498074,1000,0.0010651419,723.8219983577728,-389.47407083138825,1.0,,0.009994856,100
,0.00027743806,0.4189424,550000,500.0,-399.6912351113558,1100,0.00027743806,803.0201604366302,-399.69123513564466,1.0,,0.009960989,100
,0.00093583646,0.4189424,600000,500.0,-385.69624000370504,1200,0.00093583646,873.8591706752777,-385.69624000385403,1.0,,0.010015226,100
,0.00215458,0.4189424,646413,464.13,-316.3716076540947,1300,0.00215458,933.2010455131531,-342.5431404954195,1.0,,0.010000866,100
,0.008597262,0.4189424,683300,368.87,-195.05507548511028,1400,0.008597262,991.6871201992035,-266.59416837379337,1.0,,0.010008955,100
