MaxVanillaIw,VarVanillaIw,AvgEpLen,AvgVanillaIw,renyi2,MinVanillaIw,VanillaAvgRet,Bound,MinNormIw,AvgDiscRet,delta,SamplesThisIter,VarJ,IterType,ESSClassic,J,VarNormIw,ESSRenyi,MaxNormIw,EpsThisIter,AvgRet,AvgNormIw,VarRet,BatchSize,VarDiscRet
5.31056e+17,2.89112e+32,450.45045045,5.89874e+14,nan,,-367.912270879,nan,,-367.912270879,0.5,50000,nan,1,5.90070720441,nan,2.08141e-06,nan,0.0450595,111,-367.912270879,5.00501e-05,8912.64006365,100,8912.64006365
3.14395e+22,inf,450.45045045,3.25258e+19,nan,,-364.386686459,-184.956,,-364.386686459,0.5,50000,1789.32,1,7.08459709639,-26839.1,1.99828e-06,nan,0.0483785,111,-364.386686459,5.00501e-05,10696.8450183,100,10696.8450183
2.61556e+19,inf,446.428571429,1.46668e+16,nan,,-359.910071897,-229.086,,-359.910071897,0.5,50000,1624.07,1,10.9942628645,-31792.6,4.2695e-06,nan,0.0884583,112,-359.910071897,4.96032e-05,9395.8245472,100,9395.8245472
9.22268e+18,inf,450.45045045,9.81354e+15,nan,,-361.303180822,-213.877,,-361.303180822,0.5,50000,1680.38,1,5.88674957475,-29494.4,2.27368e-06,nan,0.0470366,111,-361.303180822,5.00501e-05,9611.35909206,100,9611.35909206
517.847,103.299,490.196078431,1.37388,nan,2.33344e-23,-393.02423576,-357.926,9.2507e-28,-393.02423576,0.5,50000,4339.16,1,1.05937400119,-49990.8,1.62349e-07,nan,0.0205295,102,-393.02423576,5.44662e-05,2589.66788371,100,2589.66788371
2.07924e+23,inf,454.545454545,1.64543e+20,nan,,-368.516942014,-201.796,,-368.516942014,0.5,50000,1784.64,1,8.67182881305,-30032.3,2.36973e-06,nan,0.0638205,110,-368.516942014,5.05051e-05,9629.51732,100,9629.51732
6.22193e+23,inf,446.428571429,3.08627e+20,nan,,-345.725651683,-183.684,,-345.725651683,0.5,50000,1758.58,1,10.0000002211,-26934.0,4.9581e-06,nan,0.1,112,-345.725651683,4.96032e-05,11478.2264815,100,11478.2264815
4512.52,76428.5,409.836065574,46.565,nan,,-330.187047738,-165.747,,-330.187047738,0.5,50000,2209.92,1,1.93606517712,-28711.8,7.30923e-08,nan,0.00441293,122,-330.187047738,4.55373e-05,16955.5779122,100,16955.5779122
3.52471e+20,inf,442.477876106,2.74543e+17,nan,,-352.697684408,-173.636,,-352.697684408,0.5,50000,2098.48,1,7.93272530076,-26108.1,2.46688e-06,nan,0.0631194,113,-352.697684408,4.91642e-05,12914.9667704,100,12914.9667704
154585.0,2.17359e+07,416.666666667,224.574,nan,,-336.605941525,-165.132,,-336.605941525,0.5,50000,1667.52,1,19.7907834811,-23730.1,9.23741e-07,nan,0.031868,120,-336.605941525,4.62963e-05,16483.6870292,100,16483.6870292
2.95578e+21,inf,450.45045045,1.57427e+18,nan,,-352.864011852,nan,,-352.864011852,0.5,50000,nan,1,9.96500914588,nan,4.433e-06,nan,0.0939718,111,-352.864011852,5.00501e-05,8453.7285065,100,8453.7285065
