MinVanillaIw,VanillaAvgRet,ESSClassic,EpsThisIter,AvgRet,MaxVanillaIw,J,VarNormIw,AvgEpLen,IterType,BatchSize,SamplesThisIter,Bound,VarRet,AvgDiscRet,ESSRenyi,VarVanillaIw,MaxNormIw,VarDiscRet,delta,VarJ,AvgVanillaIw,MinNormIw,AvgNormIw,renyi2
0.188862,-406.614899727,1.4382401329,100,-406.614899727,1.91799,-72868.0,1.69272e-10,500.0,1,100,50000,-446.977,99.887976596,-406.614899727,nan,0.0557979,0.000105641,99.887976596,0.5,173.637,1.00866,1.04023e-05,5.55556e-05,nan
,-321.991063904,1.63636834169,122,-321.991063904,236.939,-28613.4,1.86544e-08,409.836065574,1,100,50000,-196.8,14969.0097433,-321.991063904,nan,328.158,0.00178643,14969.0097433,0.5,1176.59,6.03973,,4.55373e-05,nan
0.941992,-409.671942841,0.572694988609,100,-409.671942841,1.05449,-73738.8,9.33031e-13,500.0,1,100,50000,-450.769,0.902347928414,-409.671942841,0.516206315225,0.000302702,5.85443e-05,0.902347928414,0.5,12.7409,1.00066,5.22983e-05,5.55556e-05,5.26642
0.966274,-410.06334789,0.563844242472,100,-410.06334789,1.06565,-73810.1,5.85658e-13,500.0,1,100,50000,-451.151,0.514352004816,-410.06334789,0.518022374336,0.000189555,5.92337e-05,0.514352004816,0.5,9.72597,0.999479,5.37099e-05,5.55556e-05,5.26291
0.887223,-409.476224078,0.588904752742,100,-409.476224078,1.15894,-73695.9,4.33566e-12,500.0,1,100,50000,-450.533,3.47494851703,-409.476224078,0.516230915659,0.00141139,6.42336e-05,3.47494851703,0.5,25.9485,1.00236,4.91741e-05,5.55556e-05,5.26637
0.973943,-410.18778159,0.569483903633,100,-410.18778159,1.05057,-73832.8,4.43684e-13,500.0,1,100,50000,-451.274,0.428620194667,-410.18778159,0.53919435136,0.000143453,5.8426e-05,0.428620194667,0.5,8.83518,0.998954,5.41646e-05,5.55556e-05,5.22285
0.944568,-409.74391605,0.568409110008,100,-409.74391605,1.07291,-73752.2,7.24717e-13,500.0,1,100,50000,-450.859,0.684136181206,-409.74391605,0.539527937752,0.000234415,5.96559e-05,0.684136181206,0.5,11.1346,0.999163,5.252e-05,5.55556e-05,5.22223
0.273692,-406.963193147,0.785786835825,100,-406.963193147,1.82877,-72984.7,1.26149e-10,500.0,1,100,50000,-447.034,86.0404474923,-406.963193147,0.171362881925,0.0424402,9.97041e-05,86.0404474923,0.5,174.249,1.019,1.49216e-05,5.55556e-05,6.36914
0.947378,-409.789434927,0.564177731091,100,-409.789434927,1.05715,-73760.1,8.50387e-13,500.0,1,100,50000,-450.896,0.819627074742,-409.789434927,0.65111305002,0.000275405,5.87435e-05,0.819627074742,0.5,12.1914,0.999781,5.26436e-05,5.55556e-05,5.03424
0.935493,-409.854286205,0.565538838502,100,-409.854286205,1.06418,-73771.7,8.85209e-13,500.0,1,100,50000,-450.953,0.751569659481,-409.854286205,0.651969627543,0.000288357,5.8962e-05,0.751569659481,0.5,11.7222,1.0027,5.1832e-05,5.55556e-05,5.03293
0.929595,-409.736165774,0.57083607274,100,-409.736165774,1.0857,-73749.5,1.25923e-12,500.0,1,100,50000,-450.824,1.12043425064,-409.736165774,0.655196462963,0.000406588,6.04209e-05,1.12043425064,0.5,14.1587,0.998278,5.17333e-05,5.55556e-05,5.02799
0.967468,-410.06233056,0.563364303334,100,-410.06233056,1.06001,-73809.7,6.39353e-13,500.0,1,100,50000,-451.157,0.574680239038,-410.06233056,0.656063037151,0.000207647,5.88188e-05,0.574680239038,0.5,10.2353,1.0012,5.36839e-05,5.55556e-05,5.02667
0.969988,-410.360443872,0.56339210241,100,-410.360443872,1.05582,-73864.2,3.46186e-13,500.0,1,100,50000,-451.45,0.291365547144,-410.360443872,0.665901892866,0.00011095,5.89769e-05,0.291365547144,0.5,7.28219,0.994573,5.41822e-05,5.55556e-05,5.01178
0.97095,-410.41243017,0.559860045429,100,-410.41243017,1.07589,-73873.9,1.60838e-13,500.0,1,100,50000,-451.526,0.168113781327,-410.41243017,0.664705560773,5.20201e-05,5.98243e-05,0.168113781327,0.5,5.51004,0.999123,5.39891e-05,5.55556e-05,5.01358
0.959122,-410.066050316,0.563294642585,100,-410.066050316,1.05969,-73810.3,6.91863e-13,500.0,1,100,50000,-451.177,0.621778381484,-410.066050316,0.664339882188,0.000223836,5.89149e-05,0.621778381484,0.5,10.6032,0.999269,5.33235e-05,5.55555e-05,5.01413
0.917053,-409.956661455,0.572200437886,100,-409.956661455,1.33377,-73787.2,2.29333e-12,500.0,1,100,50000,-451.041,2.29501548408,-409.956661455,0.664276247938,0.000728907,7.48131e-05,2.29501548408,0.5,23.1893,0.990446,5.14389e-05,5.55556e-05,5.01423
0.688458,-408.265125795,0.631826876568,100,-408.265125795,1.38424,-73422.4,2.87612e-11,500.0,1,100,50000,-449.073,23.6511698055,-408.265125795,0.666391715007,0.00935441,7.67549e-05,23.6511698055,0.5,76.3295,1.00192,3.81745e-05,5.55556e-05,5.01105
0.70205,-407.887176604,0.65208221119,100,-407.887176604,1.32364,-73357.3,2.82767e-11,500.0,1,100,50000,-448.695,22.4410357577,-407.887176604,0.689045432987,0.00947025,7.23276e-05,22.4410357577,0.5,69.5901,1.0167,3.8362e-05,5.55556e-05,4.97762
0.937346,-409.839086988,0.56749089814,100,-409.839086988,1.06185,-73769.4,7.0532e-13,500.0,1,100,50000,-450.912,0.620387908283,-409.839086988,0.70679403828,0.000228234,5.9029e-05,0.620387908283,0.5,10.6048,0.999367,5.21078e-05,5.55556e-05,4.95219
0.911783,-409.311493358,0.568847153884,100,-409.311493358,1.04695,-73674.6,7.05019e-13,500.0,1,100,50000,-450.585,0.634780726783,-409.311493358,0.712037315901,0.000230808,5.78631e-05,0.634780726783,0.5,10.5496,1.0052,5.03925e-05,5.55556e-05,4.9448
0.950416,-410.061537119,0.567214549137,100,-410.061537119,1.20004,-73809.2,9.47342e-13,500.0,1,100,50000,-451.108,0.867559937097,-410.061537119,0.70956578831,0.000301775,6.72371e-05,0.867559937097,0.5,13.4504,0.991552,5.32507e-05,5.55556e-05,4.94827
0.863612,-410.734463679,0.59216392899,100,-410.734463679,1.15364,-73924.8,3.21716e-12,500.0,1,100,50000,-452.244,2.72528496914,-410.734463679,0.708672128627,0.00102859,6.45186e-05,2.72528496914,0.5,20.7706,0.993374,4.82985e-05,5.55556e-05,4.94953
0.960338,-410.198821552,0.563974334602,100,-410.198821552,1.08235,-73834.6,4.97862e-13,500.0,1,100,50000,-451.288,0.474016896953,-410.198821552,0.727264656598,0.000160965,6.01946e-05,0.474016896953,0.5,9.30958,0.99894,5.34087e-05,5.55556e-05,4.92364
0.907623,-410.222216228,0.578319324071,100,-410.222216228,1.08398,-73835.3,2.03534e-12,500.0,1,100,50000,-451.531,1.73286801685,-410.222216228,0.72402253202,0.000655814,6.03879e-05,1.73286801685,0.5,17.3046,0.997239,5.05631e-05,5.55556e-05,4.9281
0.954135,-410.205118041,0.563195393561,100,-410.205118041,1.05456,-73835.9,4.42735e-13,500.0,1,100,50000,-451.291,0.397111894492,-410.205118041,0.722302887117,0.000143015,5.86749e-05,0.397111894492,0.5,8.53785,0.998497,5.30873e-05,5.55556e-05,4.93048
