VarianceInit,MinIW,ReturnStepMax,MinIWNorm,TimeElapsed,LearnableVariance,OptimizationReturnMin,OptimizationReturnMean,ReturnStepMaxmin,EmpiricalD2,ReturnMeanIW,MaxIWNorm,MeanIWNorm,ESSRenyi,OptimizationReturnMax,MeanEntropy,TimestepsSoFar,Bound,InitialReturnMean,StdIW,InitialBound,EpLenMean,InitialReturnMax,InitialReturnMin,ESSClassic,StdIWNorm,MeanIW,EpThisIter,EpisodesSoFar,Iteration,EpRewMean,InitialReturnStd,MaxIW,J_sample_variance
-0.6,8.009751e-06,0.25863406,8.009751e-08,19.28511929512024,,,13.973833,0.05800304,111865.36,1216.519,116.62811,1.1684408,0.0008939318,25.747578,1.6378663,50000,960.4332,-1.3394283,1160.414,-2.1050913,500.0,10.434316,-15.313261,1.0037063,11.604137,116.844086,100,100,1,-1.3394281682730582,5.191003,11662.812,904952200.0
-0.6,2.9773248e-06,0.25253654,2.9773247e-08,44.80276870727539,,,13.7817955,0.06670374,3802.7,159.56621,10.191993,0.10952889,0.026297105,27.339634,1.6378663,100000,106.58168,3.6265078,101.39677,2.76729,500.0,17.184345,-10.155288,1.1533769,1.0139676,10.952892,100,200,2,3.6265080331324966,6.0771427,1019.1993,6603014.5
-0.6,1.19013175e-05,0.2831627,1.1901317e-07,73.25100088119507,,,13.063645,0.05981134,35444.65,1262.55,106.68697,1.0699341,0.0028213004,26.152925,1.6378663,150000,1076.2748,6.6990786,1061.492,5.7096605,500.0,19.78836,-6.3645654,1.0057514,10.614919,106.99341,100,300,3,6.6990787708118935,6.039738,10668.697,376240670.0
-0.6,0.00018705062,0.38337523,1.8705063e-06,103.65990328788757,,,10.191178,0.13114831,4022.8367,219.12195,26.583828,0.27599484,0.024858082,20.486044,1.6378663,200000,157.40715,9.165592,264.42682,8.19257,500.0,19.460459,-1.0255853,1.0776687,2.6442683,27.599482,100,400,4,9.165592155105548,4.8342032,2658.3828,5533043.5
-0.6,0.00035859062,0.23737903,3.5859061e-06,139.20642709732056,,,10.768933,0.004151106,282.49765,69.94564,5.3856416,0.06078444,0.35398525,19.509634,1.6378663,250000,57.217667,6.4047375,53.551994,5.6474657,500.0,15.145438,-4.364196,1.271962,0.53551996,6.078444,100,500,5,6.404737367848738,4.606064,538.56415,782424.3
-0.6,7.948176e-08,0.25121263,7.9481755e-10,197.76918601989746,,,16.305681,0.051053777,56457.86,743.9582,65.83471,0.6668259,0.0017712326,28.782803,1.6378663,300000,498.11255,8.216205,654.97015,7.1815386,500.0,20.693325,-8.089477,1.0258967,6.5497017,66.682594,100,600,6,8.216204110829732,5.536769,6583.4707,160160500.0
-0.6,5.361112e-06,0.2587099,5.3611117e-08,262.96032977104187,,,13.167576,0.042950064,46430.38,1283.574,125.797195,1.2745161,0.0021537624,26.271166,1.6378663,350000,1009.78,12.309223,1251.5359,11.038583,500.0,25.412813,-0.8583529,1.0264162,12.515359,127.45163,100,700,7,12.309223376175469,5.12833,12579.72,186999380.0
-0.6,3.2927205e-06,0.23593593,3.2927204e-08,333.87979078292847,,,12.344793,0.015219957,40678.312,808.99255,74.03972,0.7428678,0.0024583123,23.162971,1.6378663,400000,591.1825,10.780462,736.66156,9.70053,500.0,21.59864,-1.5643309,1.006684,7.366615,74.28679,100,800,8,10.780462963276225,4.4983053,7403.972,84960090.0
-0.6,7.52355e-05,0.237621,7.5235494e-07,407.0794379711151,,,8.074128,0.004104063,8711.212,705.90656,30.43372,0.30704346,0.011479459,18.179249,1.6378663,450000,595.1139,13.636018,302.7857,12.448961,500.0,23.74114,5.5618916,1.0178547,3.027857,30.704346,100,900,9,13.636018541506841,3.5580199,3043.372,28417412.0
-0.6,0.000103070575,0.23415323,1.0307057e-06,478.3421986103058,,,9.843051,0.015995055,10705.224,388.82684,23.152975,0.24175036,0.009341234,20.2396,1.6378663,500000,258.9485,14.708957,230.37534,13.453681,500.0,25.105503,4.8659043,1.0891955,2.3037534,24.175032,100,1000,10,14.708955790787007,4.105875,2315.2976,6946015.0
