EpisodesSoFar,EpLenMean,InitialReturnMean,ReturnMeanIW,MeanEntropy,StdIWNorm,MeanIW,VarianceInit,MinIWNorm,J_sample_variance,MeanIWNorm,Bound,ReturnStepMaxmin,OptimizationReturnMean,TimeElapsed,LearnableVariance,EpRewMean,ESSRenyi,InitialReturnStd,ReturnStepMax,Iteration,MaxIWNorm,StdIW,MaxIW,TimestepsSoFar,EpThisIter,InitialReturnMax,EmpiricalD2,ESSClassic,InitialReturnMin,MinIW,InitialBound,OptimizationReturnMax,OptimizationReturnMin
100,500.0,-0.58975595,21.164482,1.6378663,0.2528185,3.3101096,-0.6,9.838637e-07,250528.55,0.033101093,10.462829,0.04613471,11.499812,70.02510380744934,,-0.5897559635669427,0.31905073,5.3503027,0.27583668,1,2.527585,25.28185,252.7585,50000,100,11.682377,313.42978,1.6853316,-12.089567,9.838637e-05,-1.1942343,23.771944,
200,500.0,2.714946,238.81828,1.6378663,1.838463,19.850277,-0.6,1.2649569e-07,15732745.0,0.1985028,161.74982,0.04414518,11.611805,160.27392601966858,,2.7149459751440315,0.008024561,5.5288677,0.27842093,2,18.469269,183.84631,1846.9269,100000,100,13.807575,12461.741,1.1523638,-8.896859,1.264957e-05,2.0245671,22.704433,
300,500.0,3.9315991,273.83884,1.6378663,1.8712116,19.568966,-0.6,1.4026308e-07,26383972.0,0.19568962,172.65353,0.023951024,16.856752,241.34123396873474,,3.931599095163599,0.009120584,6.750025,0.3039011,3,18.81096,187.12119,1881.0961,150000,100,19.326748,10964.21,1.0818471,-12.925154,1.4026308e-05,2.9652617,32.2519,
400,500.0,4.2604218,23.881397,1.6378663,0.076656014,1.5926843,-0.6,8.722203e-06,69769.06,0.015926844,15.442918,0.08563344,16.187716,321.37297224998474,,4.2604215926763445,1.975514,6.702386,0.27080008,4,0.7206365,7.6656017,72.06365,200000,100,23.72107,50.619736,4.1382093,-11.927295,0.0008722204,3.0743678,35.648365,
500,500.0,7.52612,261.24225,1.6378663,1.1472603,11.916195,-0.6,2.5980242e-07,15362552.0,0.119161956,210.41231,0.03819312,19.271599,398.6402187347412,,7.526119373984261,0.056133803,7.128471,0.26299515,5,11.5335655,114.726036,1153.3566,250000,100,24.085842,1781.4578,1.067311,-11.745481,2.5980244e-05,6.321827,35.83132,
600,500.0,12.152444,966.34753,1.6378663,6.588505,66.95284,-0.6,9.438265e-09,187428240.0,0.66952837,664.1359,0.01207456,18.370949,464.14590072631836,,12.152442859836338,0.002401295,6.7905254,0.20987967,6,66.22361,658.8506,6622.3613,300000,100,29.618557,41644.2,1.0221213,-6.218508,9.4382654e-07,10.671515,35.837067,
700,500.0,13.840642,369.72675,1.6378663,1.617233,16.624905,-0.6,5.910593e-07,20579152.0,0.16624902,263.04822,0.055592477,19.34227,540.776748418808,,13.84064391996406,0.021272365,7.2625237,0.2667309,7,16.257072,161.72331,1625.7073,350000,100,31.118227,4700.9346,1.0457016,-5.501627,5.910593e-05,12.284733,36.619854,
800,500.0,15.636066,297.63382,1.6378663,1.1050774,11.717875,-0.6,2.4629983e-06,9460035.0,0.11717874,255.42824,0.07360132,17.477295,618.3961024284363,,15.636067363029508,0.12043228,6.43981,0.27157775,8,11.109751,110.50775,1110.9751,400000,100,29.293503,830.34216,1.1118764,-1.841227,0.00024629984,14.171392,31.13473,
900,500.0,15.892876,39482.574,1.6378663,143.46619,1442.4095,-0.6,6.0212646e-10,131729820000.0,14.424095,21018.512,0.022262692,13.68919,711.794682264328,,15.892876362770274,7.388506e-07,6.0227413,0.27447534,9,1441.8945,14346.619,144189.45,450000,100,31.742092,135345360.0,1.0007144,2.2036872,6.021265e-08,14.305772,29.538404,
1000,500.0,18.43677,548.479,1.6378663,1.8324131,19.463621,-0.6,6.1157857e-09,28094834.0,0.19463623,421.132,0.00068672,18.55904,795.3151898384094,,18.436769752543444,0.015373265,6.802445,0.224694,10,18.416046,183.24129,1841.6046,500000,100,31.579252,6504.799,1.1156505,-0.12227142,6.1157857e-07,16.857807,31.701523,
1100,500.0,18.374409,1753.442,1.6378663,4.952117,50.092194,-0.6,2.034477e-07,415618400.0,0.500922,1398.5492,0.015385315,24.2321,884.8922805786133,,18.374406774942873,0.002445235,8.414488,0.23931004,11,49.773808,495.21167,4977.381,550000,100,35.098415,40895.867,1.0128316,-5.8576922,2.034477e-05,16.619486,40.95611,
1200,500.0,21.948128,212.06981,1.6378663,0.6404921,7.0068645,-0.6,2.8942993e-06,2775480.0,0.07006865,151.47485,0.005512923,16.96505,969.5401051044464,,21.948127571497768,0.09510569,7.5786457,0.21737404,12,6.4412,64.049225,644.12,600000,100,37.374016,1051.4618,1.1826415,4.9830775,0.00028942994,20.079426,32.390938,
1300,500.0,23.515137,2116.0676,1.6378663,6.7361345,67.83164,-0.6,1.4562995e-07,496858200.0,0.6783163,1828.6802,0.002280444,25.225418,1055.6498641967773,,23.51513797746476,0.003927647,6.8720026,0.2620799,13,67.70199,673.61346,6770.199,650000,100,36.02169,25460.535,1.003833,-1.7102808,1.4562996e-05,21.714054,37.73197,
1400,500.0,22.389927,9097.526,1.6378663,33.454597,336.36453,-0.6,1.0415677e-07,4591393000.0,3.3636453,8300.389,0.058857113,15.481821,1128.340223312378,,22.389926320424284,0.0005148075,5.888102,0.23358421,14,336.2327,3345.4602,33623.27,700000,100,36.173084,194247.36,1.0007843,6.9081035,1.0415677e-05,20.581272,29.26498,
1500,500.0,23.364819,1145.7823,1.6378663,7.9170623,84.15441,-0.6,3.1931694e-07,3384793.5,0.8415442,925.4213,0.0023132414,11.9443445,1208.0805752277374,,23.364818133297977,0.00560055,4.6318803,0.23843512,15,79.51093,791.70624,7951.0938,750000,100,32.98224,17855.389,1.1172394,11.420474,3.1931693e-05,21.715704,21.561764,
1600,500.0,22.050406,1098.6571,1.6378663,3.582935,36.26419,-0.6,1.2537234e-08,49968372.0,0.36264193,961.0912,0.08075914,11.28669,1286.4395201206207,,22.050403806745727,0.014333025,4.7397847,0.29830104,16,36.012264,358.29352,3601.2263,800000,100,32.93896,6976.8945,1.0140321,10.763715,1.2537234e-06,20.403456,22.175247,
1700,500.0,21.816128,1401.5479,1.6378663,5.832774,59.114155,-0.6,1.11413605e-07,88201390.0,0.5911415,1110.3738,0.05332479,14.081865,1361.9477343559265,,21.81612865512787,0.0029978212,4.84419,0.23961382,17,58.62612,583.2774,5862.6123,850000,100,31.88493,33357.56,1.0167041,7.7342644,1.1141361e-05,20.221882,24.150665,
1800,500.0,20.92754,1248.4763,1.6378663,3.9432561,39.86371,-0.6,6.942215e-08,81627880.0,0.398637,894.9869,0.058768183,12.338335,1436.7262444496155,,20.927540149337446,0.0023348795,4.634581,0.2855952,18,39.633476,394.32562,3963.348,900000,100,34.16164,42828.76,1.0116482,8.589204,6.9422154e-06,19.219458,25.572437,
1900,500.0,24.128345,980.7711,1.6378663,3.4805999,35.44906,-0.6,3.7650892e-07,35921944.0,0.35449055,763.1655,0.013239533,13.443662,1495.0458090305328,,24.12834535643978,0.0066428455,4.8637705,0.23973614,19,34.98553,348.06003,3498.5532,950000,100,35.471302,15053.79,1.0266428,10.684683,3.7650894e-05,22.354778,24.78662,
2000,500.0,21.652588,185.36247,1.6378663,0.65137327,7.0323515,-0.6,6.01589e-07,913483.06,0.07032352,129.51312,0.010173067,9.324213,1566.0396900177002,,21.65258833037072,0.07698042,4.660499,0.22382359,20,6.5489264,65.13732,654.89264,1000000,100,30.991186,1299.0316,1.1521487,12.328376,6.01589e-05,20.103027,18.662811,
