ESSClassic,StdIWNorm,StdIW,Bound,EpRewMean,ReturnStepMaxmin,InitialReturnMin,TimeElapsed,J_sample_variance,ReturnMeanIW,TimestepsSoFar,MinIWNorm,MaxIW,EpThisIter,ESSRenyi,MinIW,MeanIW,OptimizationReturnMax,InitialReturnStd,InitialReturnMean,MeanEntropy,VarianceInit,OptimizationReturnMin,EpisodesSoFar,Iteration,LearnableVariance,InitialReturnMax,MeanIWNorm,OptimizationReturnMean,EmpiricalD2,InitialBound,ReturnStepMax,MaxIWNorm,EpLenMean
1.183694,1.1573464,115.734634,82.65698,-1.6784879615617831,0.0015236139,-16.285902,213.81873726844788,8987627.0,114.87946,50000,2.7454414e-08,1162.6769,100,0.06386246,2.7454414e-06,12.666854,29.776289,6.0027556,-1.678488,1.6378663,-0.6,,100,1,,13.490387,0.12666854,14.607414,1565.8651,-2.492783,0.253726,11.626768,500.0
8.388924,0.060658578,6.065858,5.836529,0.49025654468802515,0.0014332384,-12.984093,447.07071352005005,16760.06,9.7309885,100000,4.5192883e-06,37.67855,100,2.9198995,0.00045192882,1.8355718,26.293575,5.0312753,0.49025658,1.6378663,-0.6,,200,2,,13.309483,0.018355716,13.474348,34.247753,-0.17521757,0.20458806,0.3767855,500.0
4.4903765,0.07787351,7.7873526,8.398506,2.2777800050495665,0.06411871,-12.905605,633.2365612983704,33298.22,12.619195,150000,3.23207e-05,74.985306,100,3.2752278,0.00323207,1.6885254,28.182463,5.587144,2.2777798,1.6378663,-0.6,,300,3,,15.276857,0.016885253,15.183385,30.532227,1.5139372,0.29858074,0.749853,500.0
1.7909428,0.53094745,53.09474,45.911568,4.219187682455777,0.10303244,-10.643673,794.2682027816772,1335376.8,74.82097,200000,2.4850075e-07,527.2159,100,0.081881315,2.4850076e-05,7.1699586,27.18847,5.407223,4.2191877,1.6378663,-0.6,,400,4,,16.544798,0.071699575,14.86286,1221.2799,3.3919477,0.28022614,5.2721586,500.0
1.6214237,0.5736398,57.36398,33.93347,6.360659803732323,0.065723926,-6.473165,955.4799389839172,475849.06,47.423843,250000,1.9798977e-06,574.4237,100,1.0593024,0.00019798978,7.364399,34.242397,6.6498833,6.360659,1.6378663,-0.6,,500,5,,27.769232,0.07364398,12.833824,94.40174,4.972198,0.30106926,5.744237,500.0
1.3412265,0.73920655,73.920654,115.56572,10.651088004122268,0.030554935,-2.2557614,1110.1163005828857,2207085.5,146.60088,300000,3.1291208e-07,740.78107,100,0.13085741,3.129121e-05,8.618843,24.709213,5.5252247,10.651088,1.6378663,-0.6,,600,6,,22.453451,0.08618843,12.906849,764.19055,9.528416,0.23439252,7.4078107,500.0
1.548357,0.8089237,80.89238,109.37843,11.66671845033714,0.018792927,-1.5375012,1257.0822687149048,2114714.8,157.5227,350000,7.811951e-09,810.0889,100,0.06480224,7.811951e-07,10.144524,26.048986,5.409972,11.6667185,1.6378663,-0.6,,700,7,,24.511486,0.101445235,13.20422,1543.1566,10.441144,0.20163894,8.100889,500.0
1.0166833,8.0289345,802.8935,966.6615,12.297988178636523,0.008436859,-8.107795,1410.8350961208344,357683740.0,1243.8997,400000,3.3950595e-08,8069.9536,100,0.0018517963,3.3950596e-06,81.37103,31.968296,5.660057,12.297988,1.6378663,-0.6,,800,8,,23.8605,0.8137103,20.405783,54001.62,11.104964,0.311482,80.69953,500.0
4.05866,0.09836028,9.836028,23.959358,11.405774797181623,0.0027590245,-7.81242,1618.1729853153229,62752.066,30.556812,450000,3.7740697e-06,97.7844,100,2.8066773,0.00037740698,2.0230575,29.918036,5.6212626,11.405775,1.6378663,-0.6,,900,9,,22.105616,0.020230573,19.218195,35.62932,10.300494,0.251213,0.977844,500.0
1.0150056,32.6731,3267.3096,3982.175,12.839811506334435,0.022734374,-2.297555,1843.1429595947266,3175970800.0,4910.4688,500000,1.8529406e-07,32839.844,100,0.00018710471,1.8529407e-05,330.85663,27.693111,5.6456017,12.83981,1.6378663,-0.6,,1000,10,,25.395557,3.3085666,15.137365,534460.06,11.570032,0.28977555,328.39844,500.0
