InitialReturnMin,OptimizationReturnMin,VarianceInit,ReturnStepMaxmin,MaxIWNorm,MeanIWNorm,OptimizationReturnMax,LearnableVariance,TimeElapsed,MeanEntropy,EpisodesSoFar,MeanIW,StdIWNorm,ReturnStepMax,EmpiricalD2,MinIWNorm,InitialReturnStd,InitialReturnMean,InitialReturnMax,MaxIW,MinIW,ESSRenyi,OptimizationReturnMean,J_sample_variance,EpRewMean,InitialBound,EpThisIter,EpLenMean,Iteration,StdIW,TimestepsSoFar,ReturnMeanIW,ESSClassic,Bound
-0.1548608,,-0.6,0.086135045,0.788737,0.023440752,27.203615,,886.7657890319824,1.6378663,1700,2.3440757,0.08558715,0.3139041,48.159107,6.8653094e-06,5.6103506,14.696856,27.048754,78.8737,0.00068653096,2.0764503,14.851715,15843.436,14.696854825084626,13.344417,100,500.0,17,8.558716,850000,37.02035,6.9777117,27.634872
1.2724781,,-0.6,0.033346817,202.72041,2.0291204,25.07433,,946.1917657852173,1.6378663,1800,202.91199,20.170237,0.24698368,187597.78,6.2911867e-09,5.8094726,16.396645,26.346807,20272.041,6.291187e-07,0.00053305534,15.1241665,2076139400.0,16.396644295008485,15.079304,100,500.0,18,2017.0236,900000,4817.59,1.0018909,4247.016
0.25239298,,-0.6,0.022812635,285.65646,2.8676293,30.669125,,1027.3208718299866,1.6378663,1900,286.763,28.421429,0.2460737,1161214.6,1.0415105e-10,5.6089125,17.164703,30.921518,28565.648,1.0415105e-08,8.611672e-05,16.912312,1663889400.0,17.16470360671119,15.618629,100,500.0,19,2842.1426,950000,4160.439,1.0077568,2494.3926
4.6045113,,-0.6,0.09609547,67.7653,0.7087791,23.822826,,1107.3111383914948,1.6378663,2000,70.87792,6.742891,0.30140665,40208.85,2.107143e-09,5.8487167,17.242674,28.427338,6776.53,2.1071429e-07,0.0024870145,12.6381645,117530840.0,17.242674459141995,15.821305,100,500.0,20,674.2892,1000000,1436.9679,1.0928417,1151.9534
-1.945398,,-0.6,0.09680678,28.825996,0.29586837,27.930384,,1197.5479996204376,1.6378663,2100,29.586834,2.8675358,0.26620302,13512.553,9.141069e-09,5.2448144,15.438294,25.984985,2882.5996,9.14107e-07,0.007400526,17.383692,31846712.0,15.438294993383755,14.139046,100,500.0,21,286.75357,1050000,516.269,1.0533684,365.2397
-3.9466991,,-0.6,0.0019690394,2.7084138,0.034127936,32.13086,,1273.8643281459808,1.6378663,2200,3.4127932,0.26928848,0.2717236,93.47715,1.1592157e-05,6.3470483,13.286627,28.184162,270.8414,0.0011592157,1.0697801,17.233324,478290.78,13.28662599068875,11.877417,100,500.0,22,26.928852,1100000,69.314285,1.5807546,55.689556
3.3901315,,-0.6,0.011547372,3.1909902,0.052946344,25.14088,,1351.2877750396729,1.6378663,2300,5.294634,0.32949227,0.25941518,270.0931,1.9621666e-06,5.450567,17.317379,28.531012,319.09903,0.00019621666,0.37024269,13.927247,616568.9,17.317378220265624,15.890828,100,500.0,23,32.949226,1150000,135.77455,2.517153,112.329895
3.0313687,,-0.6,0.0023204833,8.419986,0.08875475,27.78787,,1427.265477180481,1.6378663,2400,8.875477,0.83743364,0.24511293,1065.2582,6.2625854e-06,6.59078,19.435802,30.819239,841.9986,0.00062625855,0.093873955,16.404434,3184705.2,19.43580265729902,17.89484,100,500.0,24,83.74337,1200000,212.85701,1.110789,162.56264
0.3831685,,-0.6,0.007074639,67.731636,0.6811216,31.106058,,1510.4712934494019,1.6378663,2500,68.11215,6.738843,0.22186938,26504.178,6.00445e-07,6.1692853,19.725306,31.489227,6773.1636,6.00445e-05,0.00377299,19.342136,83393576.0,19.7253052908584,18.150843,100,500.0,25,673.8842,1250000,947.6616,1.0112638,691.33765
7.8193336,,-0.6,0.009928316,65.29547,0.65781015,25.913492,,1589.9471669197083,1.6378663,2600,65.78101,6.496391,0.21826673,40534.324,1.325125e-07,5.1807513,20.228994,33.732826,6529.5474,1.32512505e-05,0.0024670449,12.409659,59075760.0,20.22899398158138,18.54235,100,500.0,26,649.63904,1300000,1285.8835,1.0149078,946.30975
