MeanEntropy,StdIWNorm,ReturnMeanIW,EpThisIter,MinIW,OptimizationReturnMean,Iteration,ReturnStepMax,ESSRenyi,InitialReturnStd,InitialBound,OptimizationReturnMin,EmpiricalD2,TimeElapsed,InitialReturnMin,MeanIW,TimestepsSoFar,OptimizationReturnMax,InitialReturnMax,EpLenMean,MaxIW,J_sample_variance,Bound,ReturnStepMaxmin,EpRewMean,EpisodesSoFar,LearnableVariance,StdIW,ESSClassic,InitialReturnMean,MaxIWNorm,MeanIWNorm,VarianceInit,MinIWNorm
1.6378663,2.0660222,205.35841,100,7.123432e-07,13.865423,1,0.2747229,0.015972404,5.960887,-2.146215,,6260.7983,77.27225375175476,-15.249179,21.722475,50000,27.346403,12.097224,500.0,2076.6577,26886562.0,145.02869,0.030018687,-1.383755888675251,100,,206.60223,1.0933871,-1.3837559,20.766577,0.21722473,-0.6,7.1234316e-09
1.6378663,2.702873,318.3373,100,3.828901e-06,14.917339,2,0.22012337,0.0057326076,6.0878644,-0.4484385,,17444.068,201.10068345069885,-14.614506,27.4317,100000,29.639946,15.025441,500.0,2716.7454,51201290.0,219.1123,0.02032134,0.3028335402171351,200,,270.2873,1.0195386,0.3028336,27.167454,0.27431703,-0.6,3.828901e-08
1.6378663,4.5371623,696.9187,100,2.2167026e-07,13.086226,3,0.2601559,0.000680251,5.4477615,5.4243126,,147004.56,435.59878945350647,-6.7593803,45.827736,150000,24.810055,18.050674,500.0,4560.241,100678310.0,350.8767,0.002687484,6.326846126632228,300,,453.71625,1.0099036,6.326846,45.60241,0.4582773,-0.6,2.2167026e-09
1.6378663,1.6796498,384.87558,100,1.9726333e-05,12.992182,4,0.27711898,0.025420316,6.222675,7.622514,,3933.8616,663.2692368030548,-4.272533,18.126257,200000,26.215246,21.942713,500.0,1688.9911,19597512.0,316.06268,0.029109806,8.719649210352769,400,,167.96501,1.1511978,8.719649,16.88991,0.18126257,-0.6,1.9726332e-07
1.6378663,0.32620263,95.30543,100,2.0753476e-05,17.877155,5,0.28968814,0.23248655,6.4549985,9.742151,,430.13242,848.2387139797211,-7.002696,5.2128835,250000,29.648853,22.646156,500.0,307.6037,797684.9,71.82178,0.0482042,10.87446015086615,500,,32.620266,2.4901721,10.87446,3.076037,0.052128825,-0.6,2.0753475e-07
1.6378663,1.5986805,375.21652,100,0.00028087848,15.879081,6,0.26478815,0.019741746,6.292705,12.683433,,5065.408,1007.6985464096069,-1.7027652,18.574759,300000,31.56045,29.857685,500.0,1602.1974,12324795.0,268.96545,0.010295063,14.176317053976446,600,,159.86807,1.3319851,14.176317,16.021973,0.18574756,-0.6,2.8087848e-06
1.6378663,178.62845,41290.727,100,7.1165505e-06,14.2642355,7,0.2578673,1.2429266e-05,5.0281596,17.914335,,8045527.5,1167.8974504470825,5.0604877,1795.4304,350000,23.147274,28.207762,500.0,179528.5,103786410000.0,37290.21,0.030835524,19.32472465554609,700,,17862.846,1.0001621,19.324724,1795.2849,17.954306,-0.6,7.11655e-08
1.6378663,9.825892,2242.9878,100,1.0063854e-07,12.191159,8,0.28336933,0.0003685274,5.2321877,15.325225,,271350.25,1318.641883611679,4.4910035,99.106544,400000,22.647806,27.13881,500.0,9875.734,321901100.0,1536.14,0.08564375,16.682164679288555,800,,982.58936,1.007082,16.682165,98.75734,0.9910654,-0.6,1.0063853e-09
1.6378663,19.49601,2061.6526,100,2.4014946e-07,16.014704,9,0.24889451,0.00026718064,5.6498537,19.33808,,374278.62,1468.7647457122803,4.971528,197.01465,450000,27.991486,32.963013,500.0,19595.229,113318910.0,1053.3418,0.025481328,20.986231858800565,900,,1949.601,1.0108647,20.98623,195.95229,1.9701467,-0.6,2.4014946e-09
1.6378663,11.991411,4358.8853,100,1.2920729e-05,15.26568,10,0.2425763,0.0052971994,5.9362273,22.400341,,18877.9,1639.9721086025238,9.123154,153.06123,500000,30.646725,39.76988,500.0,11489.62,510579840.0,4085.6724,0.038629994,24.388833328070877,1000,,1199.141,1.6031387,24.388832,114.8962,1.5306122,-0.6,1.292073e-07
