VarianceInit,OptimizationReturnMean,MinIWNorm,ReturnStepMaxmin,MeanEntropy,J_sample_variance,InitialReturnMean,Bound,TimeElapsed,InitialReturnStd,MeanIW,InitialBound,ESSRenyi,OptimizationReturnMax,ReturnMeanIW,MeanIWNorm,LearnableVariance,MinIW,InitialReturnMin,MaxIWNorm,ReturnStepMax,EpLenMean,EpThisIter,Iteration,MaxIW,EpisodesSoFar,OptimizationReturnMin,StdIW,EmpiricalD2,ESSClassic,TimestepsSoFar,InitialReturnMax,StdIWNorm,EpRewMean
-0.6,12.769091,4.44495e-08,0.06979442,1.6378663,7806199.0,-1.5757712,32.63726,217.73134660720825,5.888607,16.442408,-2.2930145,0.09306857,25.008926,56.147923,0.16442409,,4.4449503e-06,-14.344862,15.499985,0.26424867,500.0,100,1,1549.9985,100,,154.20406,1074.4766,1.1241634,50000,10.664064,1.5420406,-1.5757711511896986
-0.6,11.774828,3.9559584e-08,0.084582,1.6378663,19953896.0,3.315118,175.96283,447.378942489624,5.288588,21.897451,2.5151289,0.0069222893,24.45949,272.11502,0.2189745,,3.9559586e-06,-8.459709,21.165833,0.34370998,500.0,100,2,2116.5833,200,,210.54164,14446.088,1.0701346,100000,15.999781,2.1054165,3.3151181096222713
-0.6,11.95802,7.2097657e-09,0.030062288,1.6378663,358905100.0,4.944783,1188.0476,634.8267650604248,5.0571756,77.24164,4.050837,0.0026261746,24.892149,1362.4889,0.7724165,,7.209766e-07,-7.013237,76.080055,0.2660129,500.0,100,3,7608.006,300,,756.891,38078.2,1.0307106,150000,17.878912,7.56891,4.944783136626797
-0.6,10.791871,8.01388e-09,0.032998413,1.6378663,128664856.0,6.731255,501.14264,795.7918055057526,4.683192,96.59448,5.8946395,0.0011827217,20.7929,744.41003,0.96594465,,8.0138807e-07,-4.0606184,96.30096,0.26170722,500.0,100,4,9630.096,400,,958.15344,84550.74,1.0061041,200000,16.732283,9.581534,6.731254156367581
-0.6,9.695597,7.6031476e-10,0.033416614,1.6378663,9766516000.0,7.177952,7673.4556,951.4282789230347,4.49836,722.62506,6.245641,0.00032727447,21.163836,8188.8076,7.226249,,7.6031476e-08,-2.5176451,712.06934,0.21545963,500.0,100,5,71206.94,500,,7084.558,305553.94,1.0296876,250000,18.64619,70.84557,7.17795157159008
-0.6,9.906083,1.4401611e-07,0.074267596,1.6378663,6621806.5,9.507096,222.80753,1101.3254840373993,4.169064,18.81255,8.612385,0.07812404,18.293207,254.81787,0.18812552,,1.4401611e-05,-0.39898732,18.245663,0.30978462,500.0,100,6,1824.5663,600,,181.49173,1280.0157,1.0630172,300000,17.89422,1.8149172,9.507095981778596
-0.6,10.711487,3.1816064e-05,0.08063313,1.6378663,384312.28,6.510248,45.11262,1249.2569856643677,4.4341316,4.3936687,5.667773,0.6873032,21.050741,55.274708,0.043936685,,0.0031816063,-4.201237,3.3863993,0.2627034,500.0,100,7,338.63992,700,,33.771233,145.4962,1.6644522,350000,16.849504,0.33771235,6.510248274169599
-0.6,12.122424,1.2207526e-06,0.028655425,1.6378663,984748.5,6.758462,63.331,1410.482507944107,5.2744083,4.788729,5.794065,0.25629574,24.651894,82.38056,0.04788728,,0.00012207526,-5.3639636,4.026775,0.2633884,500.0,100,8,402.67752,800,,40.026672,390.17426,1.4111376,400000,19.28793,0.4002667,6.758461961122643
-0.6,16.136683,2.6411353e-05,0.008978307,1.6378663,217365.64,9.099844,21.682505,1622.1174235343933,5.3681993,5.32041,7.881426,0.7865544,31.4052,35.42077,0.053204097,,0.0026411354,-7.0368404,3.1071446,0.2511763,500.0,100,9,310.71448,900,,32.892376,127.13679,2.549664,450000,24.368359,0.3289237,9.099844086850768
-0.6,13.382648,1.5125835e-06,0.114372164,1.6378663,2462462.5,6.0803013,112.93648,1848.5800049304962,5.191749,12.877716,5.2553515,0.1494124,23.801329,134.27841,0.12877715,,0.00015125835,-7.3023467,6.908603,0.35386115,500.0,100,10,690.86035,1000,,88.02556,669.2885,2.0953822,500000,16.498981,0.88025564,6.080301298140028
-0.6,10.357089,4.8764788e-09,0.033517733,1.6378663,708647300.0,8.819174,2128.5605,2124.1873285770416,4.456828,141.58925,7.8944345,0.0008338564,20.032703,2448.799,1.4158924,,4.8764787e-07,-1.5379149,141.0701,0.24042208,500.0,100,11,14107.011,1100,,1403.5785,119924.73,1.0073721,550000,18.49479,14.035783,8.81917418394865
-0.6,10.319392,1.2686761e-10,0.17720892,1.6378663,485726700.0,7.9821944,1344.533,2413.983079433441,4.841337,105.5421,7.0526757,0.00022885964,20.927551,1958.9639,1.0554212,,1.2686761e-08,-2.3371983,105.30615,0.42503142,500.0,100,12,10530.615,1200,,1047.7596,436949.03,1.0044855,600000,18.590353,10.477597,7.982193510157567
-0.6,18.760239,8.40345e-07,0.05966392,1.6378663,511721.28,8.470513,38.682724,2697.265472650528,6.1670628,5.820888,7.4436793,0.3799855,30.826405,55.34049,0.058208887,,8.40345e-05,-10.289724,3.1745102,0.26965138,500.0,100,13,317.45102,1300,,34.858032,263.16794,2.7128649,650000,20.53668,0.34858036,8.470513102952435
-0.6,10.747035,2.3944635e-06,0.07074435,1.6378663,51995.586,8.290553,17.327206,2981.078868627548,5.237863,1.4928994,7.2395577,1.6260381,23.476385,25.569258,0.014928997,,0.00023944637,-2.456482,0.9721632,0.30060977,500.0,100,14,97.216324,1400,,9.66136,61.499176,2.3320441,700000,21.019903,0.09661359,8.29055322745421
-0.6,17.661339,2.7209502e-08,0.021448389,1.6378663,1710848300.0,9.849127,2328.109,3226.5693628787994,6.0577316,171.56601,8.837433,0.0004360873,28.046074,2812.5735,1.7156597,,2.7209503e-06,-7.812213,170.47684,0.24901132,500.0,100,15,17047.684,1500,,1696.1249,229311.88,1.0128052,750000,20.233862,16.961248,9.849126155811005
-0.6,10.771887,1.5786799e-09,0.08811873,1.6378663,155812320.0,13.743031,1043.4374,3457.832100391388,4.2204657,71.570076,12.66942,0.0006325078,18.501053,1470.325,0.71570086,,1.5786799e-07,2.971144,70.8533,0.27775896,500.0,100,16,7085.3306,1600,,704.9149,158100.83,1.0203184,800000,21.472197,7.04915,13.743031553196186
