EpThisIter,OptimizationReturnMean,ReturnStepMaxmin,MeanEntropy,StdIWNorm,TimestepsSoFar,EpisodesSoFar,ESSRenyi,MinIWNorm,Bound,InitialReturnMin,EpRewMean,InitialReturnMax,OptimizationReturnMin,ESSClassic,ReturnStepMax,EpLenMean,InitialReturnStd,MeanIW,VarianceInit,InitialBound,EmpiricalD2,TimeElapsed,OptimizationReturnMax,StdIW,MaxIWNorm,MaxIW,MinIW,ReturnMeanIW,Iteration,LearnableVariance,MeanIWNorm,J_sample_variance,InitialReturnMean
100,23.22351,0.061640486,1.6378663,44.554268,750000,1500,0.00018896778,1.0138342e-08,7643.687,-11.729621,11.493891406959417,22.775883,,1.0012178,0.2724783,500.0,4.9001594,448.0626,-0.6,10.355098,529190.75,1153.7577574253082,34.505505,4455.427,447.78998,44779.0,1.0138342e-06,8472.108,15,,4.480625,18854687000.0,11.493892
100,9.65157,0.06372255,1.6378663,6.872737,800000,1600,0.00081297266,6.328332e-09,1242.7966,3.854579,13.506149374042058,23.715591,,1.0440539,0.2718122,500.0,3.9437346,70.59439,-0.6,12.320371,123005.37,1239.9578557014465,19.861012,687.27374,69.08221,6908.221,6.3283323e-07,1658.6747,16,,0.7059438,188295950.0,13.50615
100,12.928305,0.036556557,1.6378663,29.82996,850000,1700,0.00017401896,5.938993e-10,4172.4185,2.099851,15.02815594216813,24.55116,,1.0012431,0.24294302,500.0,4.2976947,299.99057,-0.6,13.800597,574650.0,1314.1547610759735,22.45131,2982.9963,299.80426,29980.428,5.9389933e-08,5102.977,17,,2.9999053,1999484800.0,15.028155
100,13.145975,0.0463811,1.6378663,0.43905804,900000,1800,0.41039848,1.5458912e-07,74.929565,0.96001095,14.105985987039698,24.088257,,2.14683,0.19271095,500.0,3.7793546,6.503293,-0.6,12.901573,243.66562,1397.7324731349945,23.128246,43.9058,4.373823,437.38232,1.5458912e-05,93.730194,18,,0.06503293,339890.62,14.105985
100,11.218367,0.0052351356,1.6378663,11.937659,950000,1900,0.001430676,1.1032246e-07,1146.5833,3.3129513,14.531317705638248,23.789883,,1.0035357,0.21964179,500.0,4.0234933,120.19206,-0.6,13.341823,69897.03,1471.871511220932,20.47693,1193.766,119.980095,11998.01,1.1032246e-05,1461.0623,19,,1.2019205,112641530.0,14.531319
100,8.448932,0.05118893,1.6378663,5.024834,1000000,2000,0.0024837232,7.7079426e-10,517.2901,5.4523993,13.901331337416236,21.264769,,1.1145908,0.27613556,500.0,3.6130638,53.34741,-0.6,12.838093,40262.137,1555.5508110523224,15.812369,502.48346,50.46365,5046.365,7.707943e-08,730.6334,20,,0.53347397,17690524.0,13.901332
100,9.918096,0.16014251,1.6378663,0.6989858,1050000,2100,0.09169569,2.134449e-07,127.30919,3.0961158,13.014211995942278,20.189404,,1.7594094,0.37470055,500.0,3.4603362,9.354193,-0.6,12.004742,1090.5638,1629.5764598846436,17.093288,69.89858,6.6943297,669.433,2.1344491e-05,160.64561,21,,0.09354193,1129378.0,13.014213
100,8.537738,0.081258684,1.6378663,1.1757357,1100000,2200,0.23316704,9.620436e-07,193.94162,5.540672,14.078409947234862,21.816092,,1.2019546,0.35934582,500.0,3.2076635,12.968196,-0.6,12.987604,428.87708,1712.486807346344,16.27542,117.57357,11.821818,1182.1819,9.620436e-05,216.53148,22,,0.12968196,1836198.5,14.078411
100,11.530132,0.024285465,1.6378663,0.024286792,1150000,2300,22.44815,0.00026987796,20.761143,5.036526,16.56665667165584,23.717974,,25.04898,0.28184265,500.0,3.4968808,1.4040302,-0.6,15.380757,4.45471,1794.5536170005798,18.681448,2.4286792,0.18177484,18.177485,0.026987797,23.264122,23,,0.0140403025,760.74225,16.566656
100,8.472952,0.055540472,1.6378663,23.555094,1200000,2400,0.000664468,2.1609246e-08,2932.552,7.72945,16.202402364455896,26.254002,,1.0022875,0.31000826,500.0,3.3414943,237.01097,-0.6,14.889702,150496.34,1871.708102941513,18.524551,2355.5095,236.74031,23674.031,2.1609246e-06,3441.799,24,,2.3701098,261879380.0,16.202404
