Iteration,MinIW,ESSClassic,OptimizationReturnMean,EpLenMean,VarianceInit,OptimizationReturnMin,EpThisIter,TimeElapsed,EpisodesSoFar,MeanEntropy,ReturnMeanIW,InitialBound,EmpiricalD2,MaxIWNorm,InitialReturnMax,StdIWNorm,MaxIW,ESSRenyi,ReturnStepMaxmin,MinIWNorm,InitialReturnMean,J_sample_variance,TimestepsSoFar,LearnableVariance,MeanIW,OptimizationReturnMax,EpRewMean,ReturnStepMax,StdIW,MeanIWNorm,Bound,InitialReturnMin,InitialReturnStd
1,0.009493514,7.887663,17.200031,500.0,-0.6,,100,24.975861072540283,100,1.6378663,3.170867,-2.247254,8.789994,0.34930202,9.795941,0.036273204,34.930202,11.376572,0.07974967,9.493514e-05,-1.3211926,8559.494,50000,,1.061454,28.317165,-1.3211927141485882,0.25343674,3.6273203,0.0106145395,0.4252875,-18.521225,5.5099683
2,1.492062e-09,1.0005476,12.886897,500.0,-0.6,,100,51.35492920875549,200,1.6378663,23431.838,-0.10066962,33555760.0,4083.1106,13.731812,406.26324,408311.06,2.9801142e-06,0.07227735,1.492062e-11,0.58592105,545077130000.0,100000,,4084.2288,26.032787,0.5859210705256364,0.2850514,40626.33,40.84229,19454.602,-12.300976,5.788086
3,8.746831e-06,1.1187857,15.152196,500.0,-0.6,,100,82.88114094734192,300,1.6378663,152.95067,3.0471697,1840.7667,10.640099,21.760818,1.0581565,1064.0099,0.05432519,0.019810334,8.74683e-08,4.135211,7118396.0,150000,,11.255543,32.7778,4.135210967774732,0.2481167,105.81565,0.11255544,106.26919,-11.016985,5.8012657
4,9.07101e-08,1.0001525,11.380618,500.0,-0.6,,100,121.91294169425964,400,1.6378663,36583.918,4.6808796,254002830.0,4118.02,19.46431,409.7375,411802.03,3.936964e-07,0.032515973,9.07101e-10,5.654094,362529720000.0,200000,,4118.3345,25.190832,5.65409466152564,0.25385538,40973.754,41.183346,21073.328,-5.7265224,5.1552825
5,5.3781616e-07,1.2864462,18.39373,500.0,-0.6,,100,176.04947185516357,500,1.6378663,127.43806,5.2109866,2670.2363,8.578844,16.78195,0.8542309,857.8844,0.03744987,0.017386943,5.3781615e-09,6.0500836,4937714.0,250000,,9.751751,29.125595,6.050084069172411,0.25420496,85.42308,0.09751748,84.07826,-12.343645,5.337864
6,2.2040517e-06,1.0088575,12.409075,500.0,-0.6,,100,247.0068109035492,600,1.6378663,2651.7,7.200723,80274.05,144.72638,19.580164,14.399487,14472.639,0.0012457327,0.032448083,2.2040517e-08,8.179731,1060898560.0,300000,,145.3663,23.80951,8.179730983040821,0.23756272,1439.9487,1.4536629,2374.3208,-4.2293444,5.2408285
7,9.351447e-07,1.002145,9.786478,500.0,-0.6,,100,324.2674129009247,700,1.6378663,7708.95,9.61643,23575.652,408.64313,22.32318,40.659046,40864.312,0.004241664,0.02098538,9.351447e-09,10.732589,5353947000.0,350000,,409.0813,21.377068,10.732589712866261,0.22656241,4065.9045,4.0908127,7537.5713,0.9461118,4.785889
8,7.486404e-05,6.8835983,20.363825,500.0,-0.6,,100,402.9150676727295,800,1.6378663,43.974854,14.243101,57.549297,0.7797819,27.141348,0.083804764,77.97819,1.7376406,0.04574305,7.486404e-07,15.600167,46179.902,400000,,2.2785752,31.905006,15.600167024441824,0.22804974,8.380477,0.022785755,33.67997,-4.7636576,5.08931
9,2.18635e-07,1.1669593,14.068951,500.0,-0.6,,100,483.9850845336914,900,1.6378663,2897.7024,15.747737,431273.38,117.63031,26.936863,11.733353,11763.031,0.00023187148,0.07725632,2.18635e-09,17.094578,578639940.0,450000,,127.49668,23.911236,17.094578525916017,0.28842133,1173.3352,1.2749668,2013.2114,3.0256276,4.7002535
10,3.090609e-06,1.0020323,24.260857,500.0,-0.6,,100,568.9154899120331,1000,1.6378663,4722.649,15.123541,69887.05,223.72499,30.286518,22.260128,22372.5,0.0014308803,0.001623556,3.090609e-08,16.637869,4129449200.0,500000,,223.95222,37.909508,16.63786719044768,0.21573171,2226.013,2.2395222,4322.3193,-7.62299,6.3395066
11,4.0770938e-05,1.1801322,12.098568,500.0,-0.6,,100,665.9365358352661,1100,1.6378663,454.72116,15.95447,1970.811,18.402054,29.69825,1.8305464,1840.2054,0.050740533,0.00845179,4.0770936e-07,17.439384,10945867.0,550000,,20.004324,24.357433,17.439384125227235,0.22270705,183.05464,0.20004325,388.80023,5.3408155,5.4927926
12,2.7299898e-10,1.000117,18.226658,500.0,-0.6,,100,739.4154992103577,1200,1.6378663,102098.49,18.572834,103009950.0,2858.7002,35.71371,284.43692,285870.03,9.7078e-07,0.05454524,2.7299898e-12,20.35852,921645600000.0,600000,,2858.8674,33.58185,20.358520694962614,0.2975876,28443.693,28.588675,83974.89,2.1318624,6.541124
13,4.949744e-07,1.0003787,21.169243,500.0,-0.6,,100,821.2770760059357,1300,1.6378663,118441.91,20.550726,153770780.0,4332.725,36.25746,431.0999,433272.5,6.503186e-07,0.06588592,4.949744e-09,22.363604,1282630200000.0,650000,,4333.5454,35.063103,22.363601115162624,0.31478503,43109.99,43.335453,95961.49,1.1943588,6.7623234
14,1.6132253e-07,1.1560745,21.865232,500.0,-0.6,,100,907.2809655666351,1400,1.6378663,6581.498,20.63401,818538.4,217.74583,32.711044,21.694368,21774.584,0.00012216899,0.008488148,1.6132253e-09,22.26956,3751106300.0,700000,,234.61996,32.306713,22.26956297033883,0.20948446,2169.437,2.3462,5101.763,0.40433082,5.99874
