InitialBound,OptimizationReturnMin,MinIW,InitialReturnMin,ReturnStepMaxmin,EpisodesSoFar,TimestepsSoFar,VarianceInit,EpLenMean,StdIWNorm,MeanIW,LearnableVariance,EpRewMean,ReturnMeanIW,MeanIWNorm,J_sample_variance,TimeElapsed,ESSRenyi,MaxIWNorm,MaxIW,OptimizationReturnMean,MeanEntropy,InitialReturnMax,Bound,InitialReturnStd,MinIWNorm,OptimizationReturnMax,EpThisIter,ReturnStepMax,ESSClassic,InitialReturnMean,Iteration,StdIW,EmpiricalD2
-2.996672,,9.322401e-07,-14.863858,0.072850585,100,50000,-0.6,500.0,7.1449122,71.96808,,-2.253478787809478,509.89062,0.7196808,249982690.0,73.82453393936157,0.0012513322,71.81064,7181.064,12.610379,1.6378663,9.313246,299.79584,5.5894523,9.322401e-09,24.177105,100,0.26983947,1.0043889,-2.2534788,1,714.4912,79914.83
-0.17358631,,0.0002736653,-13.965782,0.034652546,200,100000,-0.6,500.0,13.46418,136.23753,,0.604636003654051,1233.6808,1.3623754,976141300.0,143.91512060165405,0.00093125063,135.32878,13532.879,14.570417,1.6378663,15.5644455,978.663,6.2163973,2.736653e-06,29.530228,100,0.26065668,1.0134673,0.604636,2,1346.4182,107382.48
3.307373,,7.77858e-05,-13.263612,0.023362353,300,150000,-0.6,500.0,7.439065,75.212364,,4.21839544690703,1016.0772,0.7521237,402396960.0,219.86848306655884,0.0040588854,74.769806,7476.9805,17.482006,1.6378663,18.220444,873.0807,6.6311035,7.7785796e-07,31.484055,100,0.21180335,1.0118703,4.218395,3,743.9065,24637.305
5.1401944,,0.0004947685,-6.196794,0.008851364,400,200000,-0.6,500.0,0.48330024,5.33399,,5.9984317830798535,86.355545,0.053339895,1289380.8,301.3962359428406,0.1581186,4.8605056,486.05057,12.195226,1.6378663,17.164745,64.77234,5.511027,4.947685e-06,23.36154,100,0.2301864,1.2034063,5.998431,4,48.33003,632.43665
6.869955,,8.122776e-06,-4.5390987,0.025714591,500,250000,-0.6,500.0,7.791241,78.8979,,7.916821472370056,1253.9869,0.78897893,256727630.0,385.9750452041626,0.0046177697,78.30959,7830.9595,12.45592,1.6378663,20.937325,1099.9323,5.7943563,8.122776e-08,25.476423,100,0.21864955,1.0150485,7.916822,5,779.124,21655.475
9.180548,,7.873724e-07,-0.3138513,0.019641548,600,300000,-0.6,500.0,34.71108,349.18024,,10.308922600831432,7405.2983,3.4918017,5642288600.0,468.40745782852173,0.000113333226,348.8626,34886.26,10.622775,1.6378663,22.567492,6345.3745,5.7371974,7.873724e-09,22.881342,100,0.2260067,1.0018216,10.308924,6,3471.108,882353.75
10.914129,,1.966598e-05,1.9011803,0.067611486,700,350000,-0.6,500.0,1.9153407,19.892883,,12.098076584330762,285.90045,0.19892883,5869755.5,549.932975769043,0.026463347,19.255268,1925.5269,10.196896,1.6378663,23.678959,213.12076,4.813544,1.966598e-07,21.777779,100,0.29423672,1.0671947,12.098076,7,191.53409,3778.8115
10.027575,,1.941828e-07,-4.78953,0.031258166,800,400000,-0.6,500.0,111.29919,1118.8762,,11.141092895908148,22215.834,11.188764,76041590000.0,626.2778742313385,1.3170445e-05,1118.6016,111860.16,15.930622,1.6378663,22.270348,19147.541,5.360452,1.941828e-09,27.059877,100,0.21458255,1.0004911,11.141091,8,11129.918,7592758.0
9.684264,,0.001022815,-5.93502,0.063550994,900,450000,-0.6,500.0,0.3292423,4.290577,,10.745404406741539,64.947624,0.042905763,538767.6,710.3097293376923,0.24843067,3.2933068,329.3307,16.680424,1.6378663,21.222795,43.6579,5.48108,1.022815e-05,27.157816,100,0.2883604,1.6698854,10.745404,9,32.92423,402.5268
9.170838,,4.4494245e-06,-5.1479836,0.060195044,1000,500000,-0.6,500.0,41.821434,420.44806,,10.22844806953737,6765.5244,4.20448,7975984600.0,801.7619817256927,0.00067351,420.32254,42032.254,15.3764305,1.6378663,21.152197,6358.0,5.284933,4.4494243e-08,26.30018,100,0.2706965,1.0005972,10.228449,10,4182.144,148475.89
