MaxIWNorm,MeanEntropy,ESSClassic,InitialReturnMin,InitialReturnStd,ReturnStepMaxmin,ReturnMeanIW,Iteration,EpThisIter,MinIW,EmpiricalD2,StdIWNorm,OptimizationReturnMax,OptimizationReturnMean,ReturnStepMax,StdIW,TimeElapsed,EpRewMean,LearnableVariance,InitialReturnMax,ESSRenyi,EpLenMean,EpisodesSoFar,VarianceInit,InitialReturnMean,OptimizationReturnMin,MaxIW,TimestepsSoFar,MeanIW,J_sample_variance,MeanIWNorm,MinIWNorm,Bound,InitialBound
281.88885,1.6378663,1.0007563,-11.826324,5.1538854,0.014136359,1592.6649,1,100,4.702362e-08,658967.1,28.047482,22.329935,11.180071,0.2435031,2804.7483,36.12389254570007,-0.6462544204390025,,10.503611,0.00015175264,500.0,100,-0.6,-0.6462546,,28188.887,50000,281.99542,2437680600.0,2.819954,4.702362e-10,1112.6534,-1.2375706
44.084282,1.6378663,1.0177867,-8.764026,5.2778015,0.023073435,402.78748,2,100,7.714363e-06,21231.04,4.385961,24.451633,11.6624155,0.25201675,438.59607,85.60178899765015,2.8983905370335172,,15.687609,0.004710085,500.0,200,-0.6,2.8983905,,4408.428,100000,44.474857,62178940.0,0.4447486,7.714363e-08,288.4964,2.11401
2.048203,1.6378663,1.7984481,-10.786654,5.4547715,0.04707566,30.117342,3,100,0.00016451855,86.969795,0.20375596,29.198673,17.639786,0.27333957,20.375599,147.96910119056702,6.853130935408311,,18.412018,1.1498245,500.0,300,-0.6,6.8531303,,204.82031,150000,2.7574024,206366.12,0.027574018,1.6451855e-06,21.53204,5.9325294
42.79789,1.6378663,1.017535,-7.633622,5.6893344,0.037692204,598.7401,4,100,2.5829644e-05,4886.6567,4.2579684,29.12497,14.061588,0.24289832,425.7969,221.04189038276672,6.4279662071038945,,21.491346,0.02046389,500.0,400,-0.6,6.427966,,4279.789,200000,43.171585,85108216.0,0.43171594,2.5829644e-07,523.62286,5.353399
13.137954,1.6378663,1.0573889,-4.1983347,4.993728,0.10484567,180.82686,5,100,0.00024253473,2466.715,1.3068786,23.01033,12.30633,0.31091648,130.68785,286.1694793701172,8.107994596861708,,18.811995,0.040539745,500.0,500,-0.6,8.107994,,1313.7954,250000,13.510172,5377659.5,0.13510174,2.4253472e-06,134.111,7.167394
3.2749536,1.6378663,1.3481562,1.8616674,5.181719,0.063484624,61.75736,6,100,0.003172482,142.45694,0.3254445,22.27268,10.540301,0.29906353,32.544445,358.5757911205292,12.401968652883603,,24.134348,0.7019665,500.0,600,-0.6,12.401968,,327.49536,300000,3.804472,240017.19,0.03804472,3.172482e-05,47.354546,11.1952505
168.47836,1.6378663,1.0113721,-0.19404365,5.6063533,0.019945592,3290.4102,7,100,6.9208636e-06,350903.6,16.762512,24.315115,13.222167,0.22715202,1676.2513,436.99377369880676,13.028123003324287,,24.12107,0.00028497857,500.0,700,-0.6,13.028123,,16847.836,350000,169.43452,1100456100.0,1.6943451,6.920863e-08,2575.9788,11.822069
212.80807,1.6378663,1.0023866,-4.200064,6.1634736,0.039397866,4719.017,8,100,2.9313359e-08,429874.88,21.173883,31.932375,15.837444,0.25913766,2117.3884,517.2100186347961,11.637380212428395,,27.732311,0.00023262583,500.0,800,-0.6,11.637381,,21280.809,400000,213.06189,3146608600.0,2.1306188,2.9313357e-10,3809.8848,10.250764
38.961384,1.6378663,1.0502143,1.9468567,5.703662,0.0005656481,1146.8706,9,100,2.5023146e-06,43117.375,3.8758132,29.107344,15.757045,0.27039054,387.58136,586.4909424781799,17.70390034705489,,31.054201,0.0023192507,500.0,900,-0.6,17.7039,,3896.1384,450000,39.92955,111323410.0,0.39929545,2.5023146e-08,824.45465,16.15119
15.51291,1.6378663,1.2144655,1.1556902,5.9501433,0.023021787,348.6999,10,100,6.047752e-07,5864.266,1.5432363,32.05925,17.644274,0.3316056,154.32364,664.985933303833,18.799962675417987,,33.21494,0.017052433,500.0,1000,-0.6,18.799963,,1551.291,500000,17.111116,9461748.0,0.17111117,6.047752e-09,221.52238,17.139214
