EpThisIter,MinIWNorm,MaxIWNorm,ReturnStepMaxmin,EpLenMean,InitialReturnMax,MeanEntropy,InitialReturnMean,MaxIW,ReturnMeanIW,MinIW,EpisodesSoFar,EmpiricalD2,TimestepsSoFar,InitialBound,ESSRenyi,InitialReturnMin,InitialReturnStd,LearnableVariance,MeanIWNorm,Iteration,ReturnStepMax,ESSClassic,MeanIW,EpRewMean,Bound,StdIWNorm,VarianceInit,J_sample_variance,TimeElapsed,StdIW,OptimizationReturnMean,OptimizationReturnMin,OptimizationReturnMax
100,5.226215e-06,0.601887,0.103617325,500.0,19.155676,1.6378663,-1.6908487,60.188698,9.918722,0.0005226215,100,31.173107,50000,-2.6486325,3.2078931,-14.54599,5.296314,,0.017386097,1,0.28166023,4.686046,1.7386098,-1.6908487170700985,4.571139,0.07841101,-0.6,39055.035,73.27148509025574,7.841101,12.855142,,33.701668
100,8.937115e-12,4276.501,0.004096359,500.0,12.757361,1.6378663,-0.22546783,427650.12,41815.08,8.9371155e-10,200,411808860.0,100000,-0.86333597,2.428311e-07,-11.357292,4.991707,,42.765823,2,0.23319925,1.0000383,4276.583,-0.22546781262995716,28870.773,425.50632,-0.6,819320260000.0,167.3729226589203,42550.637,11.131824,,24.114655
100,2.6293799e-06,17.317442,0.055122375,500.0,19.163443,1.6378663,5.738297,1731.7441,333.47107,0.000262938,300,6900.287,150000,4.7801247,0.01449215,-14.522741,6.7404823,,0.18235882,3,0.28059283,1.107919,18.235884,5.738296987187075,253.87766,1.7228742,-0.6,32856824.0,398.0263862609863,172.28745,20.26104,,33.686184
100,5.7510185e-08,16.047503,0.0067368746,500.0,27.732277,1.6378663,10.244043,1604.7504,311.09167,5.7510188e-06,400,6273.5723,200000,8.857429,0.015939882,-3.6497483,5.855993,,0.16675718,4,0.2156105,1.0796643,16.675722,10.24404202074938,201.2637,1.5961843,-0.6,13069794.0,632.5971233844757,159.61844,13.89379,,31.382025
100,2.9579043e-08,10.030359,0.03591959,500.0,22.846237,1.6378663,13.758327,1003.03595,207.87778,2.9579044e-06,500,4131.4404,250000,12.616013,0.024204632,-1.5877776,4.8496475,,0.110395096,5,0.22174935,1.2076122,11.039512,13.758325529312947,134.45422,0.9984995,-0.6,4541917.0,821.7601239681244,99.84996,15.346104,,24.434015
100,3.250747e-07,23.38673,0.11078268,500.0,21.210253,1.6378663,10.268778,2338.673,404.89725,3.250747e-05,600,3981.5562,300000,9.208267,0.025115808,-5.7776217,5.5675077,,0.23971392,6,0.35260546,1.050566,23.97139,10.268778838533583,337.97937,2.3264203,-0.6,28652520.0,985.6631145477295,232.64203,16.046402,,26.987875
100,2.1330338e-08,239.12308,0.052054137,500.0,23.462383,1.6378663,11.260057,23912.309,4669.477,2.1330338e-06,700,1304728.1,350000,10.086936,7.664432e-05,-3.7317514,6.028783,,2.3964677,7,0.26653856,1.0043844,239.64679,11.260056472945767,3329.4854,23.791925,-0.6,3088038000.0,1144.6139843463898,2379.1926,14.991809,,27.194134
100,2.8271032e-09,37.738728,0.030596212,500.0,24.407917,1.6378663,12.551823,3773.8728,758.56415,2.8271032e-07,800,21553.29,400000,11.331429,0.0046396633,-0.74687445,5.9210505,,0.40160328,8,0.21409996,1.1303531,40.160324,12.551823571626237,579.39734,3.7559657,-0.6,56378864.0,1306.9254927635193,375.5966,13.298697,,25.15479
100,7.704636e-08,29.912355,0.037011802,500.0,25.622038,1.6378663,12.438859,2991.2356,554.343,7.704636e-06,900,5920.5444,450000,11.157756,0.016890338,-3.5789082,6.1775727,,0.3066049,9,0.27833983,1.0505675,30.66049,12.438858970300391,455.76852,2.9755948,-0.6,42491576.0,1462.837555885315,297.5595,16.017767,,29.200947
100,7.831133e-08,23.77486,0.0064540505,500.0,26.086737,1.6378663,14.613852,2377.486,537.9615,7.831133e-06,1000,11401.398,500000,13.309515,0.008770854,-2.9986606,6.468322,,0.23944159,10,0.21459532,1.0142893,23.94416,14.61385132934371,398.6879,2.365402,-0.6,36809796.0,1625.0104076862335,236.5402,17.612513,,29.085398
