OptimizationReturnMin,StdIWNorm,TimestepsSoFar,Bound,MinIW,InitialReturnMax,MinIWNorm,ESSRenyi,InitialReturnMin,InitialReturnMean,OptimizationReturnMean,EpRewMean,ESSClassic,StdIW,MeanEntropy,EpThisIter,OptimizationReturnMax,InitialReturnStd,Iteration,ReturnStepMax,MaxIW,ReturnMeanIW,LearnableVariance,MeanIW,InitialBound,EpLenMean,TimeElapsed,VarianceInit,MaxIWNorm,MeanIWNorm,EpisodesSoFar,EmpiricalD2,ReturnStepMaxmin,J_sample_variance
,4.23819,850000,1196.1749,1.5583071e-05,44.92627,1.558307e-07,0.0054094163,18.613182,32.172325,13.559144,32.17232671611755,1.0282367,423.81903,1.6378663,100,26.313087,5.103085,17,0.2229658,4260.068,1501.5933,,43.198765,29.926012,500.0,1352.7902953624725,-0.6,42.600677,0.43198764,1700,18486.283,0.0032441765,48631212.0
,37.405968,900000,11835.764,4.365248e-07,46.601192,4.3652477e-09,0.00016565886,16.645235,34.403664,17.758423,34.40365881686142,1.0029193,3740.5967,1.6378663,100,29.955957,5.823009,18,0.31091326,37594.953,13646.102,,376.49802,32.0736,500.0,1432.8612296581268,-0.6,375.94952,3.76498,1800,603650.2,0.028646022,5468247600.0
,0.75430095,950000,230.09439,0.00013247631,46.624397,1.3247632e-06,0.17573588,18.771938,34.27814,15.506203,34.27814098054912,1.2585293,75.43011,1.6378663,100,27.852459,5.399485,19,0.27844745,758.3471,285.7044,,8.515821,31.94692,500.0,1510.8527255058289,-0.6,7.583471,0.08515822,1900,569.03577,0.023591578,1289827.1
,6.091449,1000000,1396.2959,1.0457475e-06,45.25184,1.0457474e-08,0.006516216,12.860521,33.70319,20.842669,33.703189218623585,1.0114628,609.1449,1.6378663,100,32.39132,5.8327956,20,0.22107482,6122.4697,1676.5865,,61.574818,31.440598,500.0,1595.6532316207886,-0.6,61.224697,0.61574817,2000,15346.33,0.010167256,77691890.0
,10.389763,1050000,3524.3792,4.027717e-08,49.16834,4.0277168e-10,0.00045418798,18.418356,37.768223,19.349867,37.76822219342048,1.0115843,1038.9762,1.6378663,100,30.749983,6.2114215,21,0.26095024,10442.668,4677.9326,,105.030266,35.309807,500.0,1677.9794127941132,-0.6,104.426674,1.0503026,2100,220173.16,0.021757334,749817700.0
,3.3765788,1100000,1026.9009,8.777925e-06,50.355812,8.777925e-08,0.0038589395,15.492272,37.855663,22.363386,37.85565925207521,1.0424497,337.6579,1.6378663,100,34.86354,5.5317907,22,0.24259426,3393.777,1432.2094,,34.656124,35.337868,500.0,1759.8264009952545,-0.6,33.93777,0.34656128,2200,25913.855,0.027287826,77066950.0
,34.968235,1150000,12673.572,3.043792e-07,49.22259,3.0437919e-09,0.00012384026,20.427814,38.055588,17.627771,38.05558491876471,1.0022485,3496.8232,1.6378663,100,28.794777,5.641523,23,0.20698816,35144.793,14885.157,,351.84286,35.594456,500.0,1842.0090346336365,-0.6,351.44794,3.5184283,2300,807491.8,0.019099087,5964667000.0
,2056.388,1200000,687619.0,1.8381929e-09,51.538498,1.838193e-11,9.837438e-08,25.471321,40.39898,14.927661,40.39898118409054,1.0000029,205638.8,1.6378663,100,26.067177,5.14296,24,0.21227027,2066747.6,769779.06,,20667.506,37.822056,500.0,1921.920819759369,-0.6,20667.477,206.67502,2400,1016524860.0,0.030156448,6201846000000.0
,10.218011,1250000,2995.8696,1.8363664e-06,49.294914,1.8363664e-08,0.0005417386,26.251886,39.712833,13.460946,39.71283421090918,1.0278311,1021.801,1.6378663,100,23.043028,4.702786,25,0.24294609,10270.344,4054.824,,104.12875,37.24809,500.0,2006.5434851646423,-0.6,102.70344,1.0412874,2500,184590.88,0.006501496,178533340.0
,407.31943,1300000,137025.88,6.736847e-09,48.865604,6.736847e-11,4.9076215e-07,31.240482,39.841118,8.600637,39.84111939960491,1.0000508,40731.95,1.6378663,100,17.625122,4.271837,26,0.26987407,409371.56,171902.77,,4093.8196,37.397842,500.0,2084.7241213321686,-0.6,4093.7156,40.938198,2600,203764690.0,0.05860713,210196960000.0
,19.878435,1350000,6112.204,6.695679e-08,49.017128,6.6956785e-10,9.457822e-05,27.770704,38.686672,10.915966,38.68667075331969,1.0057757,1987.8435,1.6378663,100,21.246424,4.8673267,27,0.26424658,19979.137,8632.33,,200.36775,36.235813,500.0,2166.0927624702454,-0.6,199.79137,2.0036776,2700,1057325.9,0.054696277,970697660.0
,1.4708481,1400000,440.2544,6.777329e-05,45.673916,6.777329e-07,0.061671305,21.981407,36.99772,15.016313,36.99771952632791,1.099397,147.0848,1.6378663,100,23.692509,4.915583,28,0.21012445,1478.7996,532.2139,,15.507635,34.714027,500.0,2259.872658729553,-0.6,14.787995,0.15507637,2800,1621.4996,0.010690987,3386618.2
,0.87131435,1450000,276.2657,2.9826066e-05,46.71872,2.9826066e-07,0.046955068,18.95385,34.312363,15.358513,34.31236341540189,1.4121721,87.13143,1.6378663,100,27.76487,5.619556,29,0.309574,873.34424,384.06592,,10.428144,31.976427,500.0,2338.584848880768,-0.6,8.733442,0.10428145,2900,2129.6956,0.05903852,2421821.2
,0.8834023,1500000,323.81128,7.359311e-05,45.275124,7.359311e-07,0.17979525,20.057615,36.436325,16.378708,36.43632339974392,1.1344362,88.34023,1.6378663,100,25.217508,5.4029317,30,0.248738,888.31604,377.19888,,9.462939,34.172565,500.0,2403.3087663650513,-0.6,8.883161,0.09462939,3000,556.18823,0.02386418,3239401.8
