StdIWNorm,ReturnStepMax,InitialReturnMin,MinIWNorm,InitialReturnMax,StdIW,InitialReturnMean,ReturnStepMaxmin,OptimizationReturnMax,MeanEntropy,InitialBound,LearnableVariance,EpRewMean,InitialReturnStd,Bound,ESSClassic,EmpiricalD2,EpThisIter,TimeElapsed,MinIW,EpisodesSoFar,ReturnMeanIW,J_sample_variance,MaxIWNorm,MeanIWNorm,TimestepsSoFar,VarianceInit,OptimizationReturnMean,Iteration,MaxIW,EpLenMean,ESSRenyi,MeanIW,OptimizationReturnMin
1.7742233,0.27296767,-14.750431,1.2653148e-05,13.94295,177.42232,-0.8074844,0.0720669,28.693382,1.6378663,-1.545006,,-0.8074844407056244,5.8704934,76.42388,1.0840706,1241.9757,100,192.66153502464294,0.0012653148,100,102.415375,13299536.0,17.836376,0.18573932,50000,-0.6,13.942946,1,1783.6376,500.0,0.080516875,18.573933,
9.696191,0.28211212,-14.207492,1.7576857e-08,15.688015,969.6191,1.304095,0.05272521,29.895508,1.6378663,0.51969427,,1.3040950736366472,5.659625,784.3122,1.0094069,95917.46,100,438.1098072528839,1.7576857e-06,200,1027.2454,583425700.0,97.45452,0.97912323,100000,-0.6,15.511587,2,9745.452,500.0,0.001042563,97.912315,
0.21813685,0.28410736,-8.227671,4.5328998e-06,18.308308,21.813683,5.29582,0.020885319,26.535978,1.6378663,4.380405,,5.295820668456913,4.853368,17.395184,2.0518293,141.48868,100,647.463987827301,0.00045329,300,28.28396,158772.88,2.1915412,0.031571947,150000,-0.6,13.523493,3,219.15413,500.0,0.70677036,3.157195,
0.99351174,0.2636192,-4.98532,6.710372e-07,21.540056,99.35118,7.9552097,0.050317332,26.525375,1.6378663,6.878207,,7.955210064989766,4.9449697,71.339325,1.1485876,2483.3726,100,817.271698474884,6.710372e-05,400,125.010086,2800437.0,9.990674,0.10709362,200000,-0.6,12.94053,4,999.0674,500.0,0.04026782,10.709363,
14.90528,0.23326819,-3.090001,2.646888e-08,23.285004,1490.5283,9.874503,0.023192719,26.375004,1.6378663,8.710253,,9.874503043535531,5.3688197,1016.4092,1.0034811,124688.18,100,976.0790021419525,2.646888e-06,500,1427.52,356433800.0,149.8063,1.5006686,250000,-0.6,12.964504,5,14980.631,500.0,0.00080200064,150.06688,
0.6463233,0.26144525,-1.1456047,6.28347e-06,20.96938,64.63233,10.8797865,0.014916554,22.114985,1.6378663,9.831317,,10.879786374768402,3.9937596,55.5865,1.2689186,1401.8383,100,1137.8230020999908,0.00062834704,600,94.84236,853528.2,6.49808,0.0732723,300000,-0.6,12.025392,6,649.808,500.0,0.071334906,7.3272285,
45.692036,0.22913784,1.857281,1.0058303e-08,22.858658,4569.204,12.879239,0.019261703,21.001377,1.6378663,11.736306,,12.879239231584359,4.438056,7658.309,1.0058773,1524218.4,100,1291.7966001033783,1.0058303e-06,700,9069.365,6714089000.0,459.23428,4.6058345,350000,-0.6,11.021958,7,45923.43,500.0,6.56074e-05,460.58344,
1008.1582,0.25821927,3.886748,2.9300768e-09,27.072506,100815.83,16.015661,0.025933385,23.185759,1.6378663,14.662036,,16.01566161311008,4.375776,180266.36,1.0000169,2130099.5,100,1452.8109633922577,2.930077e-07,800,182241.95,2042420800000.0,10132.372,101.32459,400000,-0.6,12.128915,8,1013237.25,500.0,4.6946163e-05,10132.459,
0.9444279,0.33546698,6.9621716,5.849241e-07,31.164268,94.442795,18.603489,0.098147765,24.202097,1.6378663,17.045273,,18.603487722094613,4.249195,179.73193,1.1470293,858.11115,100,1662.1734898090363,5.8492413e-05,900,225.37752,2163956.8,9.496689,0.101732835,450000,-0.6,11.6413145,9,949.66895,500.0,0.11653502,10.173285,
4.251155,0.2820486,7.496632,1.895747e-08,28.673971,425.1155,19.195484,0.00042638183,21.17734,1.6378663,17.761786,,19.1954856431359,4.649189,357.61856,1.0205339,58776.336,100,1893.5416133403778,1.895747e-06,1000,705.202,14428420.0,42.729458,0.43166628,500000,-0.6,11.698855,10,4272.946,500.0,0.001701365,43.166626,
