VarRet,VarNormIw,VarVanillaIw,AvgVanillaIw,VanillaAvgRet,MaxVanillaIw,MaxNormIw,Delta,VarDiscRet,AvgEpLen,AvgNormIw,EpsThisIter,IterType,VarJ,Bound,MinNormIw,AvgRet,ESSRenyi,BatchSize,MinVanillaIw,ESSClassic,J,eRenyi2,AvgDiscRet
6060.48697289,3.23596e-06,0.0338598,1.02292,-83.160471012,1.5023,0.0146865,0.3,6060.48697289,115.69,0.01,100,1,65.1167,-145.326,0.00585275,-83.160471012,95.7848254172,100,0.598687,96.8958266968,-80.2214,1.04401,-83.160471012
4922.22571967,2.03612e-07,0.00199785,0.990557,-78.1291266575,1.17771,0.0118894,0.3,4922.22571967,109.12,0.01,100,1,68.3603,-141.74,0.00955157,-78.1291266575,99.6792386332,100,0.946137,99.7988625249,-77.9193,1.00322,-78.1291266575
3767.07510892,5.55398e-08,0.000556706,1.00118,-74.9230152096,1.03333,0.0103212,0.3,3767.07510892,105.27,0.01,100,1,60.806,-138.627,0.00897861,-74.9230152096,99.9498380639,100,0.898918,99.9450108632,-74.8918,1.0005,-74.9230152096
138.904146153,1.00309e-06,0.00989401,0.993151,-65.9399164756,1.24082,0.0124938,0.3,138.904146153,95.78,0.01,100,1,11.6445,-82.6311,0.0074269,-65.9399164756,99.0336068877,100,0.737603,99.0167048627,-65.7918,1.00976,-65.9399164756
6127.53148146,1.77479e-06,0.0175078,0.993214,-81.4229956123,1.37454,0.0138393,0.3,6127.53148146,112.46,0.01,100,1,72.4489,-144.329,0.00654635,-81.4229956123,97.7824186479,100,0.650193,98.2732717461,-79.8915,1.02268,-81.4229956123
10377.7799519,9.94666e-07,0.0101221,1.00878,-96.5327324852,1.52604,0.0151276,0.3,10377.7799519,130.79,0.01,100,1,99.5913,-159.879,0.00856097,-96.5327324852,98.8238598264,100,0.863614,99.0248788293,-95.7757,1.0119,-96.5327324852
8242.91448514,3.41656e-06,0.0345751,1.00598,-90.9932627837,1.5245,0.0151544,0.3,8242.91448514,124.73,0.01,100,1,83.2118,-153.441,0.00735815,-90.9932627837,96.4369541973,100,0.740212,96.7282650876,-88.5549,1.03695,-90.9932627837
138.260574388,1.4058e-05,0.151858,1.03934,-64.6616369221,3.83472,0.0368958,0.3,138.260574388,93.9,0.01,100,1,11.6072,-81.1699,0.00781707,-64.6616369221,95.4377182618,100,0.812458,87.782883459,-63.9074,1.0478,-64.6616369221
138.260574388,2.87973e-06,0.0299901,1.0205,-64.6616369221,1.23083,0.0120611,0.3,6106.13164278,93.9,0.01,100,,82.4788,-148.006,0.00255537,-64.6616369221,194.569903067,200,0.260775,97.2280876787,-83.4044,1.02791,-82.5573367049
3797.6780487,1.89784e-07,0.00772621,1.00884,-74.1126295644,1.1376,0.00563815,0.3,3797.6780487,104.52,0.005,100,1,41.7167,-114.255,0.00313959,-74.1126295644,198.501596677,200,0.63347,198.5006245,-69.029,1.00755,-74.1126295644
