BatchSize,MinNormIw,VarNormIw,VarDiscRet,J,Bound,VarVanillaIw,ESSRenyi,AvgVanillaIw,Delta,EpsThisIter,AvgEpLen,IterType,MinVanillaIw,MaxNormIw,MaxVanillaIw,AvgRet,AvgDiscRet,ESSClassic,AvgNormIw,VarRet,VarJ,eRenyi2,VanillaAvgRet
100,1.27404e-24,0.000322,24805.661666,-88.4281,-171.345,6.8602,16.8741152695,1.45962,0.6,100,366.19,1,1.85962e-22,0.0606108,8.84688,-297.610369948,-297.610369948,23.8788565485,0.01,24805.661666,61.1644,5.92624,-297.610369948
100,3.93649e-08,0.000111013,11081.0923953,-75.6345,-123.093,0.940777,51.5054995389,0.92057,0.6,100,156.75,1,3.62381e-06,0.0313853,2.88924,-116.331097761,-116.331097761,47.6411332489,0.01,11081.0923953,36.7741,1.94154,-116.331097761
100,0.00263224,9.50454e-06,5950.46268949,-87.129,-122.883,0.0956453,90.7462614233,1.00315,0.6,100,124.73,1,0.264054,0.0276515,2.77387,-90.2668662891,-90.2668662891,91.3997085303,0.01,5950.46268949,70.6284,1.10197,-90.2668662891
100,0.000346631,2.95408e-05,7017.8407633,-77.825,-116.912,0.352934,75.9315995306,1.09304,0.6,100,125.78,1,0.0378881,0.0181332,1.98203,-91.5932622783,-91.5932622783,77.3721831556,0.01,7017.8407633,45.188,1.31697,-91.5932622783
100,0.000187776,5.0064e-05,7130.1310232,-79.2338,-117.879,0.479218,77.6769712992,0.978372,0.6,100,121.61,1,0.0183714,0.0409576,4.00718,-88.7684807038,-88.7684807038,66.8612810108,0.01,7130.1310232,58.5744,1.28738,-88.7684807038
100,0.00690618,1.39648e-05,10158.8506551,-97.1232,-132.985,0.141538,90.2148890237,1.00675,0.6,100,137.14,1,0.695277,0.0345462,3.47793,-101.331465679,-101.331465679,87.8540464715,0.01,10158.8506551,89.2273,1.10846,-101.331465679
100,0.00659055,2.93856e-06,10212.4328996,-99.077,-133.619,0.0302575,97.2260592387,1.01473,0.6,100,135.46,1,0.668761,0.0195624,1.98505,-100.057560979,-100.057560979,97.1730740434,0.01,10212.4328996,99.5774,1.02853,-100.057560979
100,0.00671954,2.71134e-06,4820.15216759,-83.2258,-117.968,0.0291637,96.1083411251,1.03712,0.6,100,117.71,1,0.696898,0.0172521,1.78925,-84.7190530185,-84.7190530185,97.3859547426,0.01,4820.15216759,60.7488,1.04049,-84.7190530185
100,0.000865551,1.94286e-05,12158.6918793,-99.7269,-137.347,0.185802,81.9671230912,0.977922,0.6,100,142.32,1,0.0846441,0.0259058,2.53338,-106.204228141,-106.204228141,83.8684737692,0.01,12158.6918793,100.576,1.22,-106.204228141
100,0.000814567,2.89861e-05,7036.17948683,-79.1002,-118.184,0.318135,75.9433819207,1.04764,0.6,100,124.81,1,0.0853371,0.0262509,2.75014,-90.3073893791,-90.3073893791,77.702347526,0.01,7036.17948683,53.412,1.31677,-90.3073893791
100,0.00449395,4.08265e-06,4892.81746587,-81.2785,-116.141,0.040076,95.4284138554,0.990766,0.6,100,115.87,1,0.445246,0.0131912,1.30694,-82.9496114402,-82.9496114402,96.1151778373,0.01,4892.81746587,62.6327,1.04791,-82.9496114402
100,0.00258359,1.55766e-05,10147.6126868,-94.9954,-132.3,0.160546,83.357584578,1.01523,0.6,100,137.15,1,0.262294,0.0247643,2.51414,-101.093511333,-101.093511333,86.6394580812,0.01,10147.6126868,89.6202,1.19965,-101.093511333
100,0.00125182,1.34463e-05,2571.67393535,-70.7773,-106.99,0.135554,88.4603934852,1.00405,0.6,100,108.57,1,0.125689,0.0157506,1.58144,-76.6919363965,-76.6919363965,88.2520502849,0.01,2571.67393535,24.3574,1.13045,-76.6919363965
100,0.000454611,2.07942e-05,11257.3695736,-94.2445,-132.223,0.228383,80.4270801784,1.048,0.6,100,139.31,1,0.0476432,0.0262615,2.7522,-103.756323359,-103.756323359,82.9281597862,0.01,11257.3695736,90.615,1.24336,-103.756323359
100,0.000201513,1.27745e-05,8109.03400622,-89.2239,-125.855,0.138228,86.4527853907,1.04022,0.6,100,128.18,1,0.0209618,0.0163199,1.69763,-93.6235627201,-93.6235627201,88.7731420501,0.01,8109.03400622,81.2355,1.1567,-93.6235627201
100,0.00177658,1.70396e-05,11187.0458029,-95.9396,-133.652,0.173862,81.5609565625,1.01012,0.6,100,138.57,1,0.179456,0.0266687,2.69386,-103.075446036,-103.075446036,85.5657705247,0.01,11187.0458029,90.5309,1.22608,-103.075446036
100,0.00105546,1.39967e-05,6016.51212128,-80.1429,-116.081,0.144416,89.794245,1.01577,0.6,100,116.52,1,0.10721,0.024945,2.53383,-84.3094803701,-84.3094803701,87.8296859243,0.01,6016.51212128,66.9705,1.11366,-84.3094803701
100,0.00322168,6.23014e-06,7150.33433776,-85.4883,-120.337,0.0578861,95.5232800053,0.963914,0.6,100,119.15,1,0.310543,0.0226903,2.18715,-87.0554771642,-87.0554771642,94.1904577756,0.01,7150.33433776,81.0361,1.04687,-87.0554771642
100,9.48918e-05,5.07374e-05,9230.15037248,-82.7173,-124.073,0.524737,67.8276306893,1.01697,0.6,100,130.74,1,0.00965019,0.0279956,2.84706,-96.6006821725,-96.6006821725,66.5646068325,0.01,9230.15037248,64.512,1.47433,-96.6006821725
100,0.00393624,1.06499e-05,3744.56538216,-75.9456,-111.445,0.103343,92.0495899328,0.985071,0.6,100,111.04,1,0.387747,0.0262071,2.58159,-78.7760492124,-78.7760492124,90.4621896043,0.01,3744.56538216,49.0813,1.08637,-78.7760492124
100,0.00440923,5.41662e-06,3785.93224656,-76.2847,-111.452,0.0598838,93.795751186,1.05145,0.6,100,110.64,1,0.46361,0.0162529,1.70892,-78.9506258899,-78.9506258899,94.9104896207,0.01,3785.93224656,48.0647,1.06615,-78.9506258899
100,0.00724156,7.36188e-06,7068.59601914,-86.2001,-121.545,0.0812461,92.8540957001,1.05053,0.6,100,122.29,1,0.760745,0.0189623,1.99204,-89.1227459723,-89.1227459723,93.2068827982,0.01,7068.59601914,73.3617,1.07696,-89.1227459723
100,0.00721245,7.41555e-06,6017.31639659,-82.4426,-117.872,0.0773267,92.4155653637,1.02116,0.6,100,118.72,1,0.736505,0.0230264,2.35136,-85.6599651276,-85.6599651276,93.1606885582,0.01,6017.31639659,66.506,1.08207,-85.6599651276
