MinVanillaIw,Bound,VarJ,ESSRenyi,VarNormIw,EpsThisIter,AvgDiscRet,VarVanillaIw,MaxNormIw,AvgVanillaIw,AvgEpLen,VarRet,MinNormIw,Delta,VarDiscRet,BatchSize,VanillaAvgRet,AvgNormIw,MaxVanillaIw,ESSClassic,eRenyi2,IterType,AvgRet,J
,-1063.95,1105.91,8.89736955628,0.00341962,100,-1485.85436731,91.9832,0.575,1.64008,500.0,153715.045746,,0.9,153715.045746,100,-1485.85436731,0.01,94.3046,2.86909273531,11.2393,1,-1485.85436731,-840.732
0.0106039,nan,nan,nan,nan,100,-1087.53224999,nan,nan,inf,500.0,153715.045746,nan,0.9,58306.298794,200,-1485.85436731,nan,inf,nan,nan,,-1485.85436731,nan
5.46258e-25,-1044.46,1815.73,16.2518571651,0.000855508,100,-1423.76394425,79.3404,0.394363,1.52267,500.0,142848.374612,1.79375e-27,0.9,142848.374612,200,-1423.76394425,0.005,120.097,5.70625843699,12.3063,1,-1423.76394425,-879.211
1.0,-1202.68,194.736,200.0,3.50449e-18,100,-1137.32451904,,0.01,1.0,500.0,38305.053742,0.01,0.9,38305.053742,200,-1137.32451904,0.01,1.0,100.0,1.0,2,-1137.32451904,-1137.32
0.00832662,-inf,25.8066,755.381851934,0.00462149,100,-1170.67534375,inf,0.960834,9.5263e+21,500.0,142848.374612,4.37033e-27,0.9,72201.9367214,300,-1423.76394425,0.005,1.83064e+24,,0.39715,,-1423.76394425,-1135.49
4.6913e-27,-1073.98,2195.61,11.5888688905,0.000557034,100,-1427.32993847,126.675,0.394317,1.58958,500.0,150533.692957,9.8376e-30,0.9,150533.692957,300,-1427.32993847,0.00333333,188.04,5.8862792648,25.8869,1,-1427.32993847,-878.293
1.0,-1183.96,259.416,300.0,3.50449e-18,100,-1118.58439539,,0.01,1.0,500.0,67976.5806477,0.01,0.9,67976.5806477,300,-1118.58439539,0.01,1.0,100.0,1.0,2,-1118.58439539,-1118.58
1.0,-1173.84,268.259,300.0,2.1793e-19,100,-1136.62585242,,0.005,1.0,500.0,77238.6715459,0.005,0.9,77238.6715459,300,-1136.62585242,0.005,1.0,200.000000102,1.0,2,-1136.62585242,-1127.61
0.00531802,-inf,0.1093,nan,0.0033333,100,-1096.56475513,inf,0.999994,7.10539e+23,500.0,150533.692957,2.49483e-29,0.9,69613.4787873,400,-1427.32993847,0.00333333,2.13161e+26,,nan,,-1427.32993847,-1961.11
1.29845e-28,-1098.48,2128.97,19.4002402236,0.000215448,100,-1454.78635208,62.0734,0.271412,1.3419,500.0,140879.943246,2.41904e-31,0.9,140879.943246,400,-1454.78635208,0.0025,145.683,11.3040407244,20.6183,1,-1454.78635208,-947.237
1.0,-1154.75,208.013,400.0,3.50449e-18,100,-1089.42136645,,0.01,1.0,500.0,43706.4373463,0.01,0.9,43706.4373463,400,-1089.42136645,0.01,1.0,100.0,1.0,2,-1089.42136645,-1089.42
1.0,-1144.76,220.815,400.0,2.1793e-19,100,-1107.53384023,,0.005,1.0,500.0,54631.5685171,0.005,0.9,54631.5685171,400,-1107.53384023,0.005,1.0,200.000000102,1.0,2,-1107.53384023,-1098.48
1.0,-1135.86,229.494,400.0,5.43914e-20,100,-1097.25356754,,0.00333333,1.0,500.0,61093.4934207,0.00333333,0.9,61093.4934207,400,-1097.25356754,0.00333333,1.0,299.999969474,1.0,2,-1097.25356754,-1098.07
0.0068642,-inf,807.339,nan,0.00219781,100,-1100.96862478,inf,0.935562,2.05799e+25,500.0,140879.943246,8.33849e-31,0.9,45911.0610248,500,-1454.78635208,0.0025,7.7015e+27,,nan,,-1454.78635208,-694.705
8.83522e-29,-1146.64,1260.43,44.5150709422,4.79901e-05,100,-1445.94487834,16.9211,0.110395,1.18759,500.0,145800.395076,1.48792e-31,0.9,145800.395076,500,-1445.94487834,0.002,65.5522,38.5399985432,11.2322,1,-1445.94487834,-1046.79
1.0,-1187.09,218.078,500.0,3.50449e-18,100,-1121.71347766,,0.01,1.0,500.0,48038.5550766,0.01,0.9,48038.5550766,500,-1121.71347766,0.01,1.0,100.0,1.0,2,-1121.71347766,-1121.71
1.0,-1174.42,178.703,500.0,2.1793e-19,100,-1134.67684896,,0.005,1.0,500.0,16391.4676249,0.005,0.9,16391.4676249,500,-1134.67684896,0.005,1.0,200.000000102,1.0,2,-1134.67684896,-1128.2
1.0,-1152.75,204.356,500.0,5.43914e-20,100,-1088.55157681,,0.00333333,1.0,500.0,60976.9598116,0.00333333,0.9,60976.9598116,500,-1088.55157681,0.00333333,1.0,299.999969474,1.0,2,-1088.55157681,-1114.98
1.0,-1149.94,202.308,500.0,5.4346e-20,100,-1123.97186208,,0.0025,1.0,500.0,38756.8377865,0.0025,0.9,38756.8377865,500,-1123.97186208,0.0025,1.0,400.0,1.0,2,-1123.97186208,-1117.23
4.37035e-15,-857.787,1568.13,10.7751955446,0.00100023,100,-1098.22842915,986.198,0.704856,1.98593,500.0,47162.3321679,4.40132e-18,0.9,47162.3321679,500,-1098.22842915,0.002,699.895,1.99555889073,46.4029,1,-1098.22842915,-658.486
1.0,-994.026,305.429,500.0,3.50449e-18,100,-928.636569816,,0.01,1.0,500.0,94228.8878283,0.01,0.9,94228.8878283,500,-928.636569816,0.01,1.0,100.0,1.0,2,-928.636569816,-928.637
1.0,-992.528,323.522,500.0,2.1793e-19,100,-963.945511044,,0.005,1.0,500.0,116589.004431,0.005,0.9,116589.004431,500,-963.945511044,0.005,1.0,200.000000102,1.0,2,-963.945511044,-946.291
1.0,-973.228,311.834,500.0,5.43914e-20,100,-913.844903676,,0.00333333,1.0,500.0,82512.3482836,0.00333333,0.9,82512.3482836,500,-913.844903676,0.00333333,1.0,299.999969474,1.0,2,-913.844903676,-935.476
1.0,-948.696,301.878,500.0,5.4346e-20,100,-857.580607109,,0.0025,1.0,500.0,68936.7458181,0.0025,0.9,68936.7458181,500,-857.580607109,0.0025,1.0,400.0,1.0,2,-857.580607109,-916.002
3.39481e-33,-704.772,143.485,66.458738041,2.74848e-05,100,-884.746995672,6.84734,0.0469475,0.998262,500.0,81917.1060876,6.80143e-36,0.9,81917.1060876,500,-884.746995672,0.002,23.433,63.6338071482,7.52347,1,-884.746995672,-624.562
1.0,-669.535,88.4354,500.0,3.50449e-18,100,-636.821831042,,0.01,1.0,500.0,7899.81726433,0.01,0.9,7899.81726433,500,-636.821831042,0.01,1.0,100.0,1.0,2,-636.821831042,-636.822
1.0,-690.676,133.743,500.0,2.1793e-19,100,-652.174628506,,0.005,1.0,500.0,28116.9474835,0.005,0.9,28116.9474835,500,-652.174628506,0.005,1.0,200.000000102,1.0,2,-652.174628506,-644.498
1.0,-689.566,160.598,500.0,5.43914e-20,100,-666.52059862,,0.00333333,1.0,500.0,41694.5304187,0.00333333,0.9,41694.5304187,500,-666.52059862,0.00333333,1.0,299.999969474,1.0,2,-666.52059862,-651.839
1.0,-687.948,171.788,500.0,5.4346e-20,100,-665.543946967,,0.0025,1.0,500.0,40937.1532983,0.0025,0.9,40937.1532983,500,-665.543946967,0.0025,1.0,400.0,1.0,2,-665.543946967,-655.265
3.85128e-05,-636.687,110.961,133.654148019,1.29957e-05,100,-635.579866438,3.27027,0.0222435,1.00328,500.0,7103.28161067,7.67738e-08,0.9,7103.28161067,500,-635.579866438,0.002,11.1582,117.857220366,3.741,1,-635.579866438,-580.147
1.0,-608.96,52.7219,500.0,3.50449e-18,100,-583.656558465,,0.01,1.0,500.0,2807.6750529,0.01,0.9,2807.6750529,500,-583.656558465,0.01,1.0,100.0,1.0,2,-583.656558465,-583.657
1.0,-608.165,55.8306,500.0,2.1793e-19,100,-593.34361424,,0.005,1.0,500.0,3442.01221714,0.005,0.9,3442.01221714,500,-593.34361424,0.005,1.0,200.000000102,1.0,2,-593.34361424,-588.5
1.0,-610.709,59.2853,500.0,5.43914e-20,100,-602.823657145,,0.00333333,1.0,500.0,4215.50228607,0.00333333,0.9,4215.50228607,500,-602.823657145,0.00333333,1.0,299.999969474,1.0,2,-602.823657145,-593.275
1.0,-626.381,87.8745,500.0,5.4346e-20,100,-595.056051123,,0.0025,1.0,500.0,20546.5476371,0.0025,0.9,20546.5476371,500,-595.056051123,0.0025,1.0,400.0,1.0,2,-595.056051123,-593.72
0.000946177,-608.111,68.6398,270.202624396,3.51733e-06,100,-581.459198029,0.851199,0.0118174,0.983873,500.0,2318.82368257,1.92337e-06,0.9,2318.82368257,500,-581.459198029,0.002,5.81342,266.3010815,1.85046,1,-581.459198029,-568.372
1.0,-589.73,46.5247,500.0,3.50449e-18,100,-567.174760579,,0.01,1.0,500.0,2186.40834928,0.01,0.9,2186.40834928,500,-567.174760579,0.01,1.0,100.0,1.0,2,-567.174760579,-567.175
1.0,-584.982,41.0904,500.0,2.1793e-19,100,-570.891718506,,0.005,1.0,500.0,1217.55926413,0.005,0.9,1217.55926413,500,-570.891718506,0.005,1.0,200.000000102,1.0,2,-570.891718506,-569.033
1.0,-582.594,42.7023,500.0,5.43914e-20,100,-570.054586807,,0.00333333,1.0,500.0,2114.06363603,0.00333333,0.9,2114.06363603,500,-570.054586807,0.00333333,1.0,299.999969474,1.0,2,-570.054586807,-569.374
1.0,-587.233,46.5103,500.0,5.4346e-20,100,-577.231129855,,0.0025,1.0,500.0,3167.75211512,0.0025,0.9,3167.75211512,500,-577.231129855,0.0025,1.0,400.0,1.0,2,-577.231129855,-571.338
0.000362346,-571.094,78.8656,149.717755724,1.63669e-05,100,-569.50396522,5.62738,0.0453985,1.17274,500.0,2425.29280784,6.17951e-07,0.9,2425.29280784,500,-569.50396522,0.002,26.6202,98.3567502035,3.33962,1,-569.50396522,-545.113
1.0,-579.504,42.0962,500.0,3.50449e-18,100,-557.093516556,,0.01,1.0,500.0,1789.98909994,0.01,0.9,1789.98909994,500,-557.093516556,0.01,1.0,100.0,1.0,2,-557.093516556,-557.093
1.0,-576.874,46.3167,500.0,2.1793e-19,100,-557.819847045,,0.005,1.0,500.0,2543.55968663,0.005,0.9,2543.55968663,500,-557.819847045,0.005,1.0,200.000000102,1.0,2,-557.819847045,-557.457
