VarDiscRet,delta,BatchSize,renyi2,SamplesThisIter,MaxVanillaIw,EpsThisIter,VarRet,AvgDiscRet,VanillaAvgRet,J,MaxNormIw,AvgNormIw,ESSClassic,IterType,AvgVanillaIw,VarNormIw,AvgRet,MinNormIw,ESSRenyi,VarJ,VarVanillaIw,Bound,AvgEpLen,MinVanillaIw
39.6037189561,0.7,100,nan,50000,12456.5,100,39.6037189561,-7.81348374295,-7.81348374295,358.708,0.0482756,5.52486e-05,3.21223941938,1,14.2558,6.50236e-07,-7.81348374295,1.54955e-36,nan,51.5608,43292.3,-2.08877,500.0,3.99829e-31
28.0726320371,0.7,100,nan,50000,1.19181e+24,100,28.0726320371,-3.67656901939,-3.67656901939,1428.47,0.248258,5.52486e-05,3.99993083392,1,2.65231e+20,1.36183e-05,-3.67656901939,,nan,13.6614,inf,4.04114,500.0,
14.0320764147,0.7,100,nan,50000,86631.9,100,14.0320764147,-5.29553974304,-5.29553974304,409.996,0.0422745,5.52486e-05,2.49874813299,1,113.219,1.01813e-06,-5.29553974304,,nan,18.5584,4.27567e+06,-0.3776,500.0,
29.0650568583,0.7,100,nan,50000,9.75269e+09,100,29.0650568583,-3.12162545911,-3.12162545911,1846.29,0.229118,5.52486e-05,3.9782197114,1,2.35172e+06,1.16694e-05,-3.12162545911,,nan,24.1202,2.11436e+16,7.50064,500.0,
17.9906938182,0.7,100,nan,50000,8.1322e+21,100,17.9906938182,-3.51802483256,-3.51802483256,1305.12,0.168296,5.52486e-05,3.63621715279,1,2.66966e+18,6.88286e-06,-3.51802483256,,nan,7.46611,inf,4.34729,500.0,
29.6572331061,0.7,100,nan,50000,78.7471,100,29.6572331061,-3.38808987817,-3.38808987817,487.832,0.00121883,5.52486e-05,0.747345063041,1,3.56954,2.24147e-08,-3.38808987817,1.06932e-17,nan,34.9812,93.5652,-0.575694,500.0,6.90873e-13
18.826656179,0.7,100,nan,50000,7303.24,100,18.826656179,-3.61165422832,-3.61165422832,521.608,0.0324927,5.52486e-05,2.56884481189,1,12.418,3.83105e-07,-3.61165422832,1.38238e-26,nan,24.3292,19354.3,0.872206,500.0,3.10711e-21
24.2148283226,0.7,100,nan,50000,1586.1,100,24.2148283226,-2.76966985114,-2.76966985114,727.025,0.00901763,5.52486e-05,2.20931561129,1,9.71764,7.76943e-08,-2.76966985114,1.96102e-25,nan,43.9875,2403.63,1.64832,500.0,3.44922e-20
14.522135205,0.7,100,nan,50000,2987.86,100,14.522135205,-4.15617068152,-4.15617068152,351.827,0.0110321,5.52486e-05,1.3311485098,1,14.9631,9.53505e-08,-4.15617068152,6.59047e-39,nan,21.4466,6994.0,-0.0429077,500.0,1.78492e-33
16.1103554487,0.7,100,nan,50000,8.62156e+14,100,16.1103554487,-2.48872318323,-2.48872318323,1106.0,0.249999,5.52486e-05,4.0,1,1.90532e+11,1.38098e-05,-2.48872318323,,nan,18.6642,1.64241e+26,3.68634,500.0,
23.8658271926,0.7,100,nan,50000,4.58186e+22,100,23.8658271926,-1.17191397066,-1.17191397066,1400.65,0.239732,5.52486e-05,3.99272925202,1,1.05594e+19,1.27216e-05,-1.17191397066,,nan,8.76094,inf,4.51876,500.0,
