Delta,IterType,MinNormIw,VarJ,MinVanillaIw,AvgEpLen,Bound,ESSClassic,VarNormIw,ESSRenyi,MaxNormIw,VarDiscRet,AvgRet,AvgDiscRet,EpsThisIter,MaxVanillaIw,VarRet,eRenyi2,AvgNormIw,J,VanillaAvgRet,VarVanillaIw,BatchSize,AvgVanillaIw
0.9,1,2.10427e-18,119.702,4.86568e-16,15.74,314.049,2.56689105534,0.0038341,8.35589433943,0.601886,10506.6411826,144.054315723,144.054315723,100,139.174,10506.6411826,11.9676,0.01,365.341,144.054315723,204.998,100,2.31229
0.9,,3.49612e-18,0.000504117,0.00718527,15.74,195.864,1.00000026122,0.01,136.866086779,1.0,13099.4635107,144.054315723,284.52085345,100,2.05521e+15,10506.6411826,1.46128,0.01,222.033,144.054315723,4.2239e+28,200,2.05521e+13
0.9,1,1.97927e-08,558.043,1.0492e-05,18.19,326.661,3.53366699766,0.00139695,26.3761169183,0.526876,16897.26556,166.884700738,166.884700738,100,279.294,16897.26556,7.58262,0.005,373.505,166.884700738,392.54,200,2.65047
0.9,2,0.01,129.373,1.0,27.07,227.639,100.0,3.50449e-18,200.0,0.01,16906.3202932,249.996302813,249.996302813,100,1.0,16906.3202932,1.0,0.01,249.996,249.996302813,,200,1.0
0.9,,2.03497e-08,203.918,0.00358046,18.19,-inf,2.99801304362,0.00165103,nan,0.541706,18910.8742469,166.884700738,249.407749014,100,95311.1,16897.26556,nan,0.005,255.173,166.884700738,5.11111e+07,300,879.732
0.9,1,2.48962e-18,1038.81,5.91799e-15,16.26,719.088,1.26272727772,0.00263747,6.21921558195,0.889563,14928.4935434,148.937573857,148.937573857,100,2114.54,14928.4935434,48.2376,0.00333333,840.171,148.937573857,14902.8,300,7.92354
0.9,2,0.01,157.232,1.0,29.74,244.66,100.0,3.50449e-18,300.0,0.01,24971.6783233,274.458058821,274.458058821,100,1.0,24971.6783233,1.0,0.01,274.458,274.458058821,,300,1.0
0.9,2,0.005,159.336,1.0,30.47,252.638,200.000000102,2.1793e-19,300.0,0.005,26292.0439879,281.543891412,281.543891412,100,1.0,26292.0439879,1.0,0.005,278.001,281.543891412,,300,1.0
0.9,,2.79499e-18,2.15098,0.000472915,16.26,-inf,1.00265928884,0.00332446,nan,0.998673,14806.63996,148.937573857,261.339154861,100,1.68976e+14,14928.4935434,nan,0.00333333,399.596,148.937573857,9.5176e+25,400,5.64003e+11
0.9,1,,1057.84,,17.27,723.617,1.22811885524,0.00203447,5.8269462924,0.902077,7284.85612471,158.403158868,158.403158868,100,2940.46,7284.85612471,68.6466,0.0025,848.709,158.403158868,21617.0,400,8.14914
0.9,2,0.01,133.054,1.0,32.16,267.972,100.0,3.50449e-18,400.0,0.01,17882.1672251,297.489415857,297.489415857,100,1.0,17882.1672251,1.0,0.01,297.489,297.489415857,,400,1.0
0.9,2,0.005,149.29,1.0,33.26,275.991,200.000000102,2.1793e-19,400.0,0.005,27091.1346402,307.640549789,307.640549789,100,1.0,27091.1346402,1.0,0.005,302.565,307.640549789,,400,1.0
0.9,2,0.00333333,142.712,1.0,31.3,276.501,299.999969474,5.43914e-20,400.0,0.00333333,16576.5553756,289.467559879,289.467559879,100,1.0,16576.5553756,1.0,0.00333333,298.199,289.467559879,,400,1.0
