MaxNormIw,VarDiscRet,J,ESSRenyi,VarVanillaIw,VarRet,Bound,MaxVanillaIw,VanillaAvgRet,BatchSize,AvgDiscRet,VarJ,VarNormIw,AvgEpLen,MinVanillaIw,AvgNormIw,AvgVanillaIw,eRenyi2,MinNormIw,AvgRet,ESSClassic
0.01,59.60323427937158,7.450581e-09,nan,,59.60323427937158,-0.7980499,1.0,-9.48253664720032,100,9.237055564881303e-16,7.6816144,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,9.237055564881303e-16,100.0
0.01,77.2958028682304,1.4901161e-08,nan,,77.2958028682304,-0.84902805,1.0,-10.093432365798089,100,-7.460698725481052e-16,8.747733,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-7.460698725481052e-16,100.0
0.01,57.063728377360285,-1.4901161e-08,nan,,57.063728377360285,-0.75275576,1.0,-8.94575549877227,100,-1.2079226507921704e-15,7.5161886,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-1.2079226507921704e-15,100.0
0.01,69.56786276397848,-1.0430813e-07,nan,,69.56786276397848,-0.74806494,1.0,-8.888457312064533,100,3.1974423109204507e-16,8.298926,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,3.1974423109204507e-16,100.0
0.01,74.00780237138679,,nan,,74.00780237138679,-0.8257901,1.0,-9.823769932550102,100,-6.128431095930864e-16,8.559657,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-6.128431095930864e-16,100.0
0.01,59.772646943109606,-1.8626451e-08,nan,,59.772646943109606,-0.78778744,1.0,-9.395190115173635,100,4.085620730620576e-16,7.6925235,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,4.085620730620576e-16,100.0
0.01,72.15387721135897,4.4703484e-08,nan,,72.15387721135897,-0.8358694,1.0,-9.931713790510626,100,-1.5276668818842154e-15,8.451766,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-1.5276668818842154e-15,100.0
0.01,68.61837094933561,-3.7252903e-08,nan,,68.61837094933561,-0.81902987,1.0,-9.733425717926037,100,-1.8118839761882555e-15,8.242098,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-1.8118839761882555e-15,100.0
0.01,69.99423172125077,-7.4505806e-08,nan,,69.99423172125077,-0.76981026,1.0,-9.147980591896113,100,-1.580957587066223e-15,8.324319,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-1.580957587066223e-15,100.0
0.01,70.49367704885454,,nan,,70.49367704885454,-0.88362974,1.0,-10.501589951583913,100,1.2434497875801752e-15,8.353965,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,1.2434497875801752e-15,100.0
0.01,68.67466277059097,7.4505806e-08,nan,,68.67466277059097,-0.7971436,1.0,-9.473800054980952,100,-9.592326932761353e-16,8.245479,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-9.592326932761353e-16,100.0
0.01,66.96269084465352,-6.7055225e-08,nan,,66.96269084465352,-0.73989016,1.0,-8.791675672911298,100,9.681144774731366e-16,8.142055,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,9.681144774731366e-16,100.0
0.01,61.22252620109967,-7.450581e-09,nan,,61.22252620109967,-0.8476253,1.0,-10.106215907258196,100,4.085620730620576e-16,7.7852616,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,4.085620730620576e-16,100.0
0.01,64.28826550964297,-2.9802322e-08,nan,,64.28826550964297,-0.8056004,1.0,-9.572036675276532,100,-3.552713678800501e-16,7.9778056,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-3.552713678800501e-16,100.0
0.01,61.44206617868475,-8.568168e-08,nan,,61.44206617868475,-0.6767338,1.0,-8.04192361595853,100,9.681144774731366e-16,7.799208,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,9.681144774731366e-16,100.0
0.01,56.375788746860216,-7.4505806e-08,nan,,56.375788746860216,-0.72335404,1.0,-8.603799584320017,100,3.641531520770513e-16,7.470745,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,3.641531520770513e-16,100.0
0.01,71.23906491774261,-2.9802322e-08,nan,,71.23906491774261,-0.7593817,1.0,-9.0249785889493,100,-4.973799150320702e-16,8.398016,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-4.973799150320702e-16,100.0
0.01,66.88620923458966,-2.9802322e-08,nan,,66.88620923458966,-0.76184577,1.0,-9.053357643475138,100,-2.220446049250313e-16,8.137404,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-2.220446049250313e-16,100.0
0.01,70.72061088876913,5.9604645e-08,nan,,70.72061088876913,-0.68302363,1.0,-8.115720781634728,100,1.0835776720341528e-15,8.367401,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,1.0835776720341528e-15,100.0
0.01,59.13224980243674,1.1920929e-07,nan,,59.13224980243674,-0.7816464,1.0,-9.287711931351666,100,7.460698725481052e-16,7.651204,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,7.460698725481052e-16,100.0
0.01,69.7198923541087,5.9604645e-08,nan,,69.7198923541087,-0.80095273,1.0,-9.51807975833666,100,-7.460698725481052e-16,8.307989,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-7.460698725481052e-16,100.0
0.01,53.84601648145352,1.0430813e-07,nan,,53.84601648145352,-0.68061024,1.0,-8.13182995393038,100,-5.329070518200751e-16,7.3012023,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-5.329070518200751e-16,100.0
