AvgEpLen,VarJ,StepSize,NatGradInftyNorm,J,NatGrad2Norm,BatchSize,AvgRet
17.6,195.32485695593553,0.010866045121543998,76.06373230495511,165.89864688439295,92.0298037431586,100,165.89864688439295
34.92,943.1297335956591,0.004382364241739184,170.31201177643368,339.02723566432485,228.18733104739377,100,339.02723566432485
53.58,1755.676123560343,0.0010792087507867515,884.4268059141868,525.6507574386243,926.6047919561368,100,525.6507574386243
79.35,1812.8805910052438,0.00038735242854574223,2569.163891437007,783.2813461962214,2581.6283216665324,100,783.2813461962214
96.77,2340.720971024842,0.001144171500510652,793.9519433751566,957.7872029892169,873.9948509062608,100,957.7872029892169
99.89,2550.555275224433,9.182948171754053e-06,108896.7421280185,989.4799905562121,108897.48926993978,100,989.4799905562121
120.3,3027.0499478016986,5.46341171684211e-06,183035.25445593178,1194.3671711790748,183035.81202150494,100,1194.3671711790748
108.69,2810.791204094052,2.7271930869893395e-07,3666773.721670408,1077.5654636664246,3666773.7417299673,100,1077.5654636664246
107.88,2346.4587196066423,1.484311051330163e-07,6737132.339907424,1069.2314300256176,6737132.349070982,100,1069.2314300256176
112.4,2847.831657486926,3.0159109642132186e-07,3315747.7246613936,1114.9567535973317,3315747.7520589763,100,1114.9567535973317
110.29,2613.6116880100035,7.350847342435054e-08,13603873.854938386,1093.4593717482744,13603873.858557621,100,1093.4593717482744
117.7,2675.1538190100637,1.9636127318433883e-07,5092653.867672789,1167.941900067255,5092653.881202054,100,1167.941900067255
108.02,2513.7995474431145,2.9053554222512194e-08,34419196.77997893,1071.0883323659561,34419196.78196027,100,1071.0883323659561
107.43,2488.993641497724,5.981385764695148e-06,167184.97539590724,1064.6375180606192,167185.33786977152,100,1064.6375180606192
104.25,2852.1573153933114,1.394167689612555e-06,717273.7009231005,1032.8519277353178,717273.8311543457,100,1032.8519277353178
106.19,2832.7790201540756,4.1176043294895406e-05,24282.74920690435,1052.8493278988683,24285.966304197325,100,1052.8493278988683
107.79,2717.268792969471,6.7099931047773845e-06,149031.08723691688,1068.4780822924897,149031.44971758904,100,1068.4780822924897
101.49,2413.3710373868034,1.5301383016779983e-05,65352.90433885438,1005.3642424399359,65353.569602392694,100,1005.3642424399359
98.88,2163.829506606806,8.263459074448372e-05,12097.840296813287,979.1611068676168,12101.469747603913,100,979.1611068676168
112.33,2580.3532892226185,7.1087515595139006e-06,140671.35277059994,1113.8554514374146,140671.67654236892,100,1113.8554514374146
116.94,2766.0966081639053,4.900531477478048e-06,204059.23692102643,1160.4512227190303,204059.49938201974,100,1160.4512227190303
98.65,2515.5734735810906,3.526300170271737e-07,2835833.429738592,976.664136850441,2835833.456353036,100,976.664136850441
114.32,3150.787368188423,6.950078015018247e-06,143882.39520310026,1134.2481356434325,143883.2769702909,100,1134.2481356434325
112.29,2491.326887438514,1.6573424487227648e-05,60336.79591132571,1113.6411939572747,60337.56033767509,100,1113.6411939572747
99.16,2266.7899106627806,0.0007675226195653509,1262.9005107787114,981.8758624075195,1302.8931975533194,100,981.8758624075195
122.32,2880.184635389238,1.3589335102874551e-05,73585.73676657984,1214.2325972306096,73587.11757637576,100,1214.2325972306096
120.35,2726.4472151772125,4.2398232860567135e-06,235858.5273714954,1194.4399246849032,235858.88668724662,100,1194.4399246849032
116.02,2955.335439991961,6.362279564340555e-05,15713.239109666736,1151.371240212066,15717.63689236201,100,1151.371240212066
115.48,2783.5116715591057,0.00024046529585134858,4134.48629917747,1145.3274325515438,4158.604244573331,100,1145.3274325515438
