VanillaAvgRet,J,MaxNormIw,AvgEpLen,AvgDiscRet,AvgVanillaIw,VarJ,eRenyi2,ESSClassic,VarDiscRet,MaxVanillaIw,MinVanillaIw,VarRet,AvgRet,VarVanillaIw,BatchSize,VarNormIw,ESSRenyi,AvgNormIw,MinNormIw,Bound
-2654.305220661724,2645.1938,1.0,200.0,4.956746124662459e-13,501.67227,,38399.527,1.0,5688470.842681565,50167.227,,5688470.842681565,4.956746124662459e-13,25167502.0,100,0.0100000035,0.0026041987211146297,0.01,,1283245.0
-13.677319906001838,10.794967,1.0,200.0,3.2862601528904635e-15,14473685000000.0,,1023444900000000.0,1.0,114.61049494830225,1447368500000000.0,,114.61049494830225,3.2862601528904635e-15,2.0948755e+28,100,0.010000002,9.770921991593895e-14,0.01,,156242920000000.0
-14.952152782552355,1.7881393e-07,0.01,200.0,2.2026824808563106e-15,1.0,10.158371,1.0,100.0,104.23486123064832,1.0,1.0,104.23486123064832,2.2026824808563106e-15,,100,3.5044917e-18,100.0,0.009999998,0.01,-1.2583593
-16.199516705913542,-2.9802322e-08,0.01,200.0,4.476419235288631e-15,1.0,10.694877,1.0,100.0,115.53575779048683,1.0,1.0,115.53575779048683,4.476419235288631e-15,,100,3.5044917e-18,100.0,0.009999998,0.01,-1.3633835
-13.59245239492894,-1.0430813e-07,0.01,200.0,3.1086244689504383e-15,1.0,11.137756,1.0,100.0,125.30263590376428,1.0,1.0,125.30263590376428,3.1086244689504383e-15,,100,3.5044917e-18,100.0,0.009999998,0.01,-1.1439587
-13.935294394652706,4.4703484e-08,0.01,200.0,6.217248937900876e-16,1.0,10.654301,1.0,100.0,114.66073852795218,1.0,1.0,114.66073852795218,6.217248937900876e-16,,100,3.5044917e-18,100.0,0.009999998,0.01,-1.1706736
-15.977030009637325,1.4901161e-08,0.01,200.0,4.618527782440651e-16,1.0,10.536198,1.0,100.0,112.13278550050627,1.0,1.0,112.13278550050627,4.618527782440651e-16,,100,3.5044917e-18,100.0,0.009999998,0.01,-1.3416374
-13.235194907418595,,0.01,200.0,2.0605739337042904e-15,1.0,10.400528,1.0,100.0,109.26361933977591,1.0,1.0,109.26361933977591,2.0605739337042904e-15,,100,3.5044917e-18,100.0,0.009999998,0.01,-1.113828
-14.160496177780146,-2.9802322e-08,0.01,200.0,2.1671553440683055e-15,1.0,10.725236,1.0,100.0,116.19263420842587,1.0,1.0,116.19263420842587,2.1671553440683055e-15,,100,3.5044917e-18,100.0,0.009999998,0.01,-1.1915699
-14.305797085234552,5.9604645e-08,0.01,200.0,1.5987211554602254e-16,1.0,10.566185,1.0,100.0,112.77199902050305,1.0,1.0,112.77199902050305,1.5987211554602254e-16,,100,3.5044917e-18,100.0,0.009999998,0.01,-1.2030525
-14.761507231568364,8.940697e-08,0.01,200.0,-7.105427357601002e-16,1.0,10.648907,1.0,100.0,114.54466565382695,1.0,1.0,114.54466565382695,-7.105427357601002e-16,,100,3.5044917e-18,100.0,0.009999998,0.01,-1.2355281
-16.189748139569467,,0.01,200.0,-2.9842794901924207e-15,1.0,10.213768,1.0,100.0,105.37480201016749,1.0,1.0,105.37480201016749,-2.9842794901924207e-15,,100,3.5044917e-18,100.0,0.009999998,0.01,-1.3625634
-13.188948333106602,1.6391277e-07,0.01,200.0,-1.2256862191861727e-15,1.0,10.336663,1.0,100.0,107.92585892806385,1.0,1.0,107.92585892806385,-1.2256862191861727e-15,,100,3.5044917e-18,100.0,0.009999998,0.01,-1.1099344
-15.167070277298473,-2.9802322e-08,0.01,200.0,4.973799150320702e-16,1.0,10.309975,1.0,100.0,107.36927519944459,1.0,1.0,107.36927519944459,4.973799150320702e-16,,100,3.5044917e-18,100.0,0.009999998,0.01,-1.2759713
-14.796551320492437,2.9802322e-08,0.01,200.0,-3.002043058586423e-15,1.0,10.324527,1.0,100.0,107.67257889365744,1.0,1.0,107.67257889365744,-3.002043058586423e-15,,100,3.5044917e-18,100.0,0.009999998,0.01,-1.2452914
-14.82744879935087,-1.4901161e-07,0.01,200.0,-2.078337502098293e-15,1.0,10.60951,1.0,100.0,113.69869443783355,1.0,1.0,113.69869443783355,-2.078337502098293e-15,,100,3.5044917e-18,100.0,0.009999998,0.01,-1.2477722
-14.468069631560546,-8.940697e-08,0.01,200.0,1.2789769243681803e-15,1.0,10.708166,1.0,100.0,115.82303837045681,1.0,1.0,115.82303837045681,1.2789769243681803e-15,,100,3.5044917e-18,100.0,0.009999998,0.01,-1.2147329
-16.512944995989304,1.6391277e-07,0.01,200.0,-1.8118839761882555e-15,1.0,10.16384,1.0,100.0,104.34713892874231,1.0,1.0,104.34713892874231,-1.8118839761882555e-15,,100,3.5044917e-18,100.0,0.009999998,0.01,-1.3856338
-15.018212477273055,5.9604645e-08,0.01,200.0,1.794120407794253e-15,1.0,10.457319,1.0,100.0,110.46013686069735,1.0,1.0,110.46013686069735,1.794120407794253e-15,,100,3.5044917e-18,100.0,0.009999998,0.01,-1.2639558
-14.734960347613754,5.9604645e-08,0.01,200.0,1.9184653865522706e-15,1.0,10.398528,1.0,100.0,109.22159407050893,1.0,1.0,109.22159407050893,1.9184653865522706e-15,,100,3.5044917e-18,100.0,0.009999998,0.01,-1.2381155
