AvgEpLen,MaxVanillaIw,BatchSize,eRenyi2,VarJ,VarNormIw,VanillaAvgRet,AvgNormIw,VarDiscRet,ESSClassic,IterType,Bound,MinNormIw,AvgVanillaIw,MinVanillaIw,Delta,ESSRenyi,EpsThisIter,VarRet,AvgDiscRet,VarVanillaIw,MaxNormIw,J,AvgRet
15.74,100.025,100,6.48898,246.428,0.00214281,144.054315723,0.01,10506.6411826,4.50170777793,1,224.997,1.50476e-10,2.34746,3.53235e-08,0.5,15.410749751,100,10506.6411826,144.054315723,118.081,0.4261,338.304,144.054315723
25.66,161.441,100,12.2527,1220.21,0.00638903,236.834807469,0.01,14899.6214243,1.55638538151,1,514.01,8.73806e-09,2.01762,1.76301e-06,0.5,8.16148751379,100,14899.6214243,236.834807469,260.085,0.800154,870.977,236.834807469
25.66,567212.0,200,4.9873e+20,424.029,0.00273035,236.834807469,0.01,10234.3036447,3.56754816509,,-1.32614e+12,4.15559e-09,14905.7,0.00619421,0.5,4.01018789329e-19,100,14899.6214243,292.159156741,6.06631e+09,0.380532,346.909,236.834807469
25.54,363.223,200,21.5167,1928.65,0.00268612,235.805116074,0.005,10224.4105008,1.85344036773,1,503.792,2.28222e-12,2.48466,1.13411e-09,0.5,9.29511275613,100,10224.4105008,235.805116074,663.311,0.730931,838.284,235.805116074
35.68,1.0,200,1.0,172.903,3.50449e-18,330.329727291,0.01,30197.373605,100.0,2,220.899,0.01,1.0,1.0,0.5,200.0,100,30197.373605,330.329727291,,0.01,330.33,330.329727291
25.54,8.81751e+08,300,nan,342.511,0.00416309,235.805116074,0.005,11157.9292051,1.19982384342,,-inf,2.84299e-12,4.84196e+06,0.00275313,0.5,nan,100,10224.4105008,311.490357631,3.90408e+15,0.910531,250.055,235.805116074
27.53,516.079,300,29.4891,2644.95,0.00148344,254.199430936,0.00333333,17436.2846724,2.2377299767,1,454.234,6.71299e-15,2.58984,5.21567e-12,0.5,10.1732394408,100,17436.2846724,254.199430936,895.485,0.664235,794.784,254.199430936
34.6,1.0,300,1.0,118.794,3.50449e-18,320.411590926,0.01,14254.6379928,100.0,2,243.129,0.01,1.0,1.0,0.5,300.0,100,14254.6379928,320.411590926,,0.01,320.412,320.411590926
35.78,1.0,300,1.0,121.735,2.1793e-19,331.359492404,0.005,15622.8999277,200.000000102,2,258.096,0.005,1.0,1.0,0.5,300.0,100,15622.8999277,331.359492404,,0.005,325.885,331.359492404
27.53,1.9173e+11,400,nan,27.5348,0.0032563,254.199430936,0.00333333,12411.2990493,1.02357665407,,-inf,9.98902e-15,6.46606e+08,0.00193769,0.5,nan,100,17436.2846724,333.288548477,1.22531e+20,0.98839,314.727,254.199430936
