InitialReturnMax,InitialReturnMin,OptimizationReturnMean,Penalization,TimeElapsed,EpLenMean,MaxIW,ReturnStepMax,OptimizationReturnMin,ReturnStepMaxmin,MinIW,EpisodesSoFar,Inner Iteration,MinBehavPdf,Epsilon,InitialReturnMean,StdIW,InitialReturnStd,EpThisIter,Weights,MeanEntropy,TimestepsSoFar,MeanD2-0,ReturnMeanIW,VarianceInitializer,ESSRenyiArithmetic,WReturnMean,MinTargetPdf,Iteration,InitialBound,EpRewMean,EmpiricalD2Arithmetic,LearnableVariance,MeanIW,EmpiricalD2Harmonic,OptimizationReturnMax,DivergenceHarmonic,StdWReturnMean,Bound,ESSRenyiHarmonic
189.9451,9.982842,76.341034,True,1.6627132892608643,9.636363636363637,460.58295,9.999999,,9.999999,1.2265166,11,1,-6.946561,1.0,86.32386,130.13986,57.086235,11,[ 0.  0.  0. -0.],0.41894197,106,1.0,1164916.0,-1.0,11.0,10710.648,-6.946561,1,-16991.225,86.323868182568,1.0,,49.728043,1.0,179.96225,1.12921404e+18,,-6674019000000.0,11.0
189.93005,9.984706,48.1699,True,4.286932706832886,6.818181818181818,1.0905855,9.999951,,9.999951,1.3463262e-13,22,2,-7.3968334,1.0,58.154606,0.3259496,48.94364,11,[ 0.109  0.384 -0.02   0.301],0.41894197,181,16534570000000.0,476.5807,-1.0,6.652728e-13,476.5807,-22.214947,1,-inf,58.15460468406586,16534570000000.0,,0.16759144,16534570000000.0,179.94534,inf,,-inf,6.652728e-13
99.936195,19.983242,34.53396,True,4.409001588821411,6.454545454545454,2.1858017,9.999972,,9.999972,1.1895011e-12,33,3,-5.4383364,1.0,54.5172,0.6714288,22.702513,11,[ 0.109  0.384 -0.02   0.301],0.41894197,252,40704963000.0,2075.0498,-1.0,2.7023733e-10,2075.0498,-17.42952,1,-inf,54.517198908344305,40704963000.0,,0.29741427,40704963000.0,79.95296,inf,,-inf,2.7023733e-10
99.97504,19.97003,30.911604,True,4.531890392303467,6.090909090909091,1.8501273,9.999992,,9.999992,1.33106425e-14,44,4,-9.029586,1.0,50.881638,0.6255667,23.14152,11,[ 0.109  0.384 -0.02   0.301],0.41894197,319,491733.7,737.8678,-1.0,2.2369832e-05,737.8678,-25.004692,1,-inf,50.88163491756666,491733.7,,0.34580687,491733.7,80.005005,inf,,-inf,2.2369832e-05
109.98195,9.984985,34.535706,True,4.67629337310791,5.454545454545454,10.982103,9.999963,,9.999963,1.545446e-05,55,5,-4.3085294,1.0,44.52069,3.8390093,26.753475,11,[ 0.109  0.384 -0.02   0.301],0.41894197,379,15056.954,4738.157,-1.0,0.00073055946,4738.157,-6.997299,1,-2.7462422e+18,44.520689373148066,15056.954,,1.971766,15056.953,99.99696,1.7010064e+30,,-2.7462422e+18,0.00073055946
99.964836,19.970058,28.186369,True,4.835842609405518,5.818181818181818,1.0647024,9.999996,,9.999996,4.634056e-14,66,6,-4.4681196,1.0,48.15643,0.4126361,22.888874,11,[ 0.109  0.384 -0.02   0.301],0.41894197,443,1478213.8,348.1864,-1.0,7.441414e-06,348.1864,-18.077078,1,-inf,48.15642509934934,1478213.8,,0.28464988,1478213.8,79.99478,inf,,-inf,7.441414e-06
59.97995,19.987055,21.80238,True,4.968457221984863,5.181818181818182,1.4359164,9.999904,,9.999904,5.9550096e-08,77,7,-4.656967,1.0,41.789433,0.5630688,10.2870245,11,[ 0.109  0.384 -0.02   0.301],0.41894197,500,36286.934,639.2849,-1.0,0.00030313942,639.2849,-12.975191,1,-1.0704759e+19,41.78943335733971,36286.934,,0.4129649,36286.934,39.992897,2.9217515e+32,,-1.0704759e+19,0.00030313942
99.96001,19.973179,33.634212,True,5.103410482406616,6.363636363636363,5.477001,9.999943,,9.999943,3.670779e-07,88,8,-7.02464,1.0,53.607395,1.639952,24.220007,11,[ 0.109  0.384 -0.02   0.301],0.41894197,570,5878449.5,6519.8276,-1.0,1.8712417e-06,6519.8276,-7.6720324,1,-inf,53.60739512487787,5878449.5,,1.3160466,5878449.5,79.98683,inf,,-inf,1.8712417e-06
79.97011,9.98374,29.992638,True,5.25446343421936,5.0,0.9380362,9.999944,,9.999944,2.3029558e-09,99,9,-6.936632,1.0,39.97638,0.2884704,20.44652,11,[ 0.109  0.384 -0.02   0.301],0.41894197,625,175589.53,199.9686,-1.0,6.2646104e-05,199.9686,-16.881168,1,-2.3412027e+21,39.976378494826726,175589.53,,0.22262783,175589.53,69.98637,4.422637e+36,,-2.3412027e+21,6.2646104e-05
99.9711,29.9622,24.555841,True,5.385424613952637,6.454545454545454,29.346554,9.999945,,9.999945,1.2397996e-09,110,10,-3.445434,1.0,54.518044,8.424073,19.240988,11,[ 0.109  0.384 -0.02   0.301],0.41894197,696,262313230.0,13141.066,-1.0,4.1934598e-08,13141.066,-13.47847,1,-inf,54.518043027973064,262313230.0,,2.7081811,262313230.0,70.008896,inf,,-inf,4.1934598e-08
