MinBehavPdf,TimeElapsed,MinTargetPdf,OptimizationReturnMin,MinIW,OptimizationReturnMean,EpRewMean,EmpiricalD2Arithmetic,InitialReturnMax,EpisodesSoFar,ESSRenyiHarmonic,OptimizationReturnMax,WReturnMean,LearnableVariance,MeanD2-0,MeanEntropy,EpLenMean,Iteration,ReturnMeanIW,Bound,Epsilon,Penalization,InitialReturnMean,MeanIW,TimestepsSoFar,DivergenceHarmonic,InitialBound,StdWReturnMean,EmpiricalD2Harmonic,MaxIW,Inner Iteration,ReturnStepMaxmin,ESSRenyiArithmetic,StdIW,VarianceInitializer,InitialReturnStd,EpThisIter,Weights,InitialReturnMin,ReturnStepMax
-6.867057,1.442821741104126,-6.867057,,1.1051018,58.17395,78.14029903115235,1.0,149.96263,11,11.0,129.99628,7393.3887,,1.0,0.41894197,8.818181818181818,1,501831700.0,-384830140000000.0,1.0,True,78.1403,49928.152,97,9.663151e+21,-11308.187,,1.0,539991.4,1,9.999976,11.0,154988.97,-1.0,35.881504,11,[ 0. -0. -0. -0.],19.96635,9.999976
-14.069879,3.664623498916626,-22.180332,,9.0229705e-08,134.44249,144.424309786834,1493.957,289.84186,22,0.007362996,279.86005,57.240784,,1493.957,0.41894197,15.454545454545455,1,57.240784,-1.1245971e+16,1.0,True,144.42432,0.3239649,267,5.913757e+23,-1.1245971e+16,,1493.957,3.2537897,2,9.999956,0.007362996,0.9302956,-1.0,83.55525,11,[-0.667 -0.011 -0.443 -0.6  ],9.981818,9.999956
-16.526028,3.8912034034729004,-23.234934,,1.4883948e-06,92.66773,122.63225350114811,2371.0303,219.91928,33,0.0046393336,189.95476,2195.3623,,2371.0303,0.41894197,13.272727272727273,1,2195.3623,-7960077600000000.0,1.0,True,122.632256,0.98410547,413,8.939134e+23,-7960077600000000.0,,2371.0303,6.9914517,3,9.999986,0.0046393336,2.0532267,-1.0,68.085754,11,[-0.667 -0.011 -0.443 -0.6  ],29.964523,9.999986
-15.926416,4.083465099334717,-24.762974,,1.6601188e-08,119.940475,149.89556945043458,26075.58,449.89117,44,0.00042185068,419.93607,828.17285,,26075.58,0.41894197,16.0,1,828.17285,-7.754502e+19,1.0,True,149.89557,0.21639247,589,4.8438632e+30,-7.754502e+19,,26075.578,1.3182514,4,9.999998,0.00042185062,0.4083216,-1.0,113.36666,11,[-0.667 -0.011 -0.443 -0.6  ],29.955097,9.999998
-11.353741,4.284119606018066,-18.23419,,5.87507e-07,78.19123,188.07771821462995,250433.89,259.91742,55,4.3923766e-05,150.03093,620.178,,250433.89,0.41894197,19.818181818181817,1,620.178,-6.4955917e+22,1.0,True,188.07773,0.026107192,807,3.0507726e+37,-6.4955917e+22,,250433.9,0.20007727,5,9.999999,4.3923766e-05,0.059287284,-1.0,38.570404,11,[-0.667 -0.011 -0.443 -0.6  ],109.88649,9.999999
-18.539953,4.550084114074707,-24.919722,,2.8747731e-06,101.79695,181.72032111543476,313254.56,549.83655,66,3.5115212e-05,469.91318,2318.641,,313254.56,0.41894197,19.181818181818183,1,2318.641,-inf,1.0,True,181.72032,0.20460369,1018,inf,-inf,,313254.56,1.9113896,6,9.999983,3.5115212e-05,0.5415463,-1.0,123.551956,11,[-0.667 -0.011 -0.443 -0.6  ],79.92337,9.999983
-20.515478,4.823525428771973,-27.84912,,4.2665843e-07,133.58365,173.5403561921232,63070.062,389.90002,77,0.00017440922,349.94333,1463.771,,63070.062,0.41894197,18.363636363636363,1,1463.771,-1.4414101e+21,1.0,True,173.54034,0.4818133,1220,2.9667162e+33,-1.4414101e+21,,63070.062,4.2991962,7,9.99998,0.00017440922,1.2199091,-1.0,112.41729,11,[-0.667 -0.011 -0.443 -0.6  ],39.956707,9.99998
-24.55708,5.053126096725464,-34.646164,,1.7247749e-09,107.23367,137.1889170968927,658408.1,309.89322,88,1.6706963e-05,279.938,6425.871,,658408.1,0.41894197,14.727272727272727,1,6425.871,-inf,1.0,True,137.18892,6.2113194,1382,inf,-inf,,658408.1,62.79161,8,9.9999895,1.6706963e-05,17.922127,-1.0,89.9399,11,[-0.667 -0.011 -0.443 -0.6  ],29.955242,9.9999895
-18.292614,5.283655405044556,-25.411308,,3.054148e-08,131.79301,211.69528889894198,5234792.5,379.87408,99,2.101325e-06,299.9718,2046.0608,,5234792.5,0.41894197,22.181818181818183,1,2046.0608,-inf,1.0,True,211.6953,0.3072088,1626,inf,-inf,,5234792.5,2.8711872,9,9.999952,2.101325e-06,0.8197363,-1.0,100.14563,11,[-0.667 -0.011 -0.443 -0.6  ],79.902275,9.999952
-34.230618,5.557740926742554,-48.06227,,9.682296e-13,128.13028,158.08786384355923,635179800.0,509.84552,110,1.7317932e-08,479.88794,1404.674,,635179800.0,0.41894197,16.818181818181817,1,1404.674,-inf,1.0,True,158.08788,0.59272236,1811,inf,-inf,,635179800.0,2.8750234,10,9.999999,1.7317932e-08,1.0773753,-1.0,132.55663,11,[-0.667 -0.011 -0.443 -0.6  ],29.957579,9.999999
