EmpiricalD2Arithmetic,WReturnMean,EpLenMean,OptimizationReturnMean,MeanIW,EpRewMean,OptimizationReturnMax,InitialReturnMin,MaxIW,MinIW,ReturnStepMax,ReturnStepMaxmin,Penalization,EpisodesSoFar,DivergenceHarmonic,InitialBound,VarianceInitializer,TimestepsSoFar,InitialReturnMax,MinBehavPdf,MeanEntropy,TimeElapsed,InitialReturnStd,OptimizationReturnMin,Bound,Epsilon,InitialReturnMean,LearnableVariance,ESSRenyiArithmetic,Weights,StdWReturnMean,MinTargetPdf,StdIW,Inner Iteration,Iteration,EpThisIter,ReturnMeanIW,ESSRenyiHarmonic,EmpiricalD2Harmonic,MeanD2-0
1.0,7638.1587,8.363636363636363,63.60588,8.977152,73.59166516473631,179.94217,9.9857855,81.04838,0.26327503,9.999971,9.999971,True,11,62358693000000.0,-13917.6,-1.0,92,189.92795,-7.0550976,0.41894197,2.724571943283081,47.142605,,-49587438000.0,1.0,73.59167,,11.0,[ 0. -0. -0.  0.],,-7.0550976,22.87744,1,1,11,274840.56,11.0,1.0,1.0
2407719.8,15179.63,9.090909090909092,40.88074,1.5593338,80.87033024212325,89.972595,39.98959,5.873928,5.8238327e-16,9.999988,9.999988,True,22,inf,-inf,-1.0,192,129.96219,-9.635121,0.41894197,5.682927131652832,27.106575,,-inf,1.0,80.87033,,4.568638e-06,[-0.013  0.475 -0.155 -0.013],,-24.058537,1.9073323,2,1,11,15179.63,4.568638e-06,2407719.8,2407719.8
17342580.0,87160.14,8.636363636363637,46.337307,5.494736,76.31947100142867,159.91762,29.982159,54.529045,1.03469226e-10,9.999881,9.999881,True,33,inf,-inf,-1.0,287,189.89978,-10.788383,0.41894197,6.281413793563843,46.15639,,-inf,1.0,76.319466,,6.34277e-07,[-0.013  0.475 -0.155 -0.013],,-22.284256,15.526625,3,1,11,87160.14,6.34277e-07,17342580.0,17342580.0
957.6061,2315.6619,6.818181818181818,38.178196,0.8930855,58.14564705100636,70.004135,19.967453,2.9549391,1.9808165e-05,9.999916,9.999916,True,44,7.4690785e+20,-38511223000000.0,-1.0,362,89.97159,-6.276821,0.41894197,6.710655927658081,25.518074,,-38511223000000.0,1.0,58.145653,,0.011486978,[-0.013  0.475 -0.155 -0.013],,-9.587132,1.0121161,4,1,11,2315.6619,0.011486978,957.6061,957.6061
117.2073,2810.1694,6.636363636363637,46.3448,502941940000.0,56.32867301909498,79.99556,9.9838705,5081337400000.0,0.6331793,9.999805,9.999805,True,55,2.0145276e+37,-157058970000.0,-1.0,435,89.97943,-4.3478894,0.41894197,7.253660440444946,27.05739,,-6.3258135e+21,1.0,56.32867,,0.093850814,[-0.013  0.475 -0.155 -0.013],,-6.2950544,1452663100000.0,5,1,11,4055971200000000.0,0.093850814,117.2073,117.2073
1446850.9,4893.581,12.636363636363637,86.32806,1.9942688,116.28336387678515,249.98717,29.955307,12.898112,2.808987e-07,9.999999,9.999999,True,66,inf,-inf,-1.0,574,279.94247,-12.959736,0.41894197,7.789766550064087,76.060165,,-inf,1.0,116.28337,,7.6027186e-06,[-0.061 -0.179 -0.177 -0.768],,-16.31594,4.127407,6,1,11,4893.581,7.6027186e-06,1446850.9,1446850.9
50758468.0,879.41797,17.545454545454547,115.41902,0.0996164,165.34895505444203,359.9718,49.92993,0.410051,3.9509338e-13,9.999979,9.999979,True,77,inf,-inf,-1.0,767,409.90173,-22.205757,0.41894197,8.478100299835205,101.82044,,-inf,1.0,165.34897,,2.167126e-07,[-0.061 -0.179 -0.177 -0.768],,-36.485584,0.15053527,7,1,11,879.41797,2.167126e-07,50758468.0,50758468.0
140805440000000.0,1683.3098,17.727272727272727,147.21393,0.44342822,167.17756558185823,609.8823,19.963638,3.6797433,2.717241e-18,9.999978,9.999978,True,88,inf,-inf,-1.0,962,629.84595,-33.528103,0.41894197,8.975367069244385,166.48973,,-inf,1.0,167.17755,,7.8121984e-14,[-0.061 -0.179 -0.177 -0.768],,-53.75156,1.0316668,8,1,11,1683.3098,7.8121984e-14,140805440000000.0,140805440000000.0
15903445000000.0,189.34784,15.636363636363637,136.27719,0.64238316,146.25907235718532,479.8112,9.981889,6.753149,9.222171e-16,10.0,10.0,True,99,inf,-inf,-1.0,1134,489.7931,-31.53609,0.41894197,9.52218508720398,144.00063,,-inf,1.0,146.25908,,6.9167404e-13,[-0.061 -0.179 -0.177 -0.768],,-48.845966,1.9331335,9,1,11,189.34784,6.9167404e-13,15903445000000.0,15903445000000.0
20115139000.0,1084.2366,22.363636363636363,163.59972,0.10404097,213.54875421023672,659.93097,49.94904,0.3959162,7.0555133e-12,9.999997,9.999997,True,110,inf,-inf,-1.0,1380,709.88,-21.700449,0.41894197,10.306215763092041,203.24825,,-inf,1.0,213.54877,,5.468518e-10,[-0.061 -0.179 -0.177 -0.768],,-34.539055,0.1548149,10,1,11,1084.2366,5.468518e-10,20115139000.0,20115139000.0
