MeanEntropy,ESSRenyiHarmonic,InitialReturnStd,EmpiricalD2Harmonic,ESSRenyiArithmetic,MaxIW,Weights,VarianceInitializer,DivergenceHarmonic,OptimizationReturnMin,InitialReturnMean,WReturnMean,InitialReturnMin,TimestepsSoFar,StdIW,EpRewMean,ReturnMeanIW,MeanIW,MinIW,InitialReturnMax,ReturnStepMax,OptimizationReturnMean,MinTargetPdf,MinBehavPdf,InitialBound,Penalization,EmpiricalD2Arithmetic,StdWReturnMean,EpisodesSoFar,Bound,ReturnStepMaxmin,EpThisIter,Iteration,EpLenMean,TimeElapsed,Epsilon,MeanD2-0,Inner Iteration,LearnableVariance,OptimizationReturnMax
0.41894197,11.0,35.762016,1.0,11.0,369.24237,[ 0. -0.  0.  0.],-1.0,66146003000000.0,,64.50561,5439.8955,19.971745,82,112.49791,64.50561230091517,208223.1,56.123924,0.55608404,129.96011,9.999984,44.533867,-8.072796,-8.072796,-8380.004,True,1.0,,11,-23912157000.0,9.999984,11,1,7.454545454545454,2.396183967590332,1.0,1.0,1,,109.98837
0.41894197,0.9122736,34.9567,12.057786,0.9122736,1.4936906,[-0.03  -0.286 -0.034 -0.407],-1.0,1220470700.0,,83.55894,454.1286,9.982861,185,0.415476,83.55893609690492,471.2776,0.19855218,0.00064525235,149.90997,9.999649,73.57607,-9.423634,-6.3995776,-142580510.0,True,12.057786,,22,-136668750.0,9.999649,11,1,9.363636363636363,4.975789785385132,1.0,12.057786,2,,139.92711
0.41894197,0.15977156,64.26715,68.8483,0.15977156,11.78047,[-0.022 -0.239 -0.052 -0.422],-1.0,3.4542838e+19,,94.48682,25169.953,,300,3.326754,94.48681800368112,5956.3765,1.7244124,2.2251388e-05,209.8872,9.999953,94.48682,-21.491192,-15.822006,-106126370000.0,True,68.8483,,33,-45070665000000.0,9.999953,11,1,10.454545454545455,5.535160779953003,1.0,68.8483,3,,209.8872
0.41894197,3.409637,32.540413,3.2261498,3.409637,32549.934,[-0.17  -0.494  0.056 -0.019],-1.0,62478373000000.0,,66.31253,8213.982,19.96454,384,9217.0,66.31252684885163,45615252.0,3632.579,2.5078542,119.94835,9.999951,46.34799,-6.4177747,-5.6087756,-388447.03,True,3.2261498,,44,-19842482000.0,9.999951,11,1,7.636363636363637,6.008112907409668,1.0,3.2261498,4,,99.98381
0.41894197,6.383108e-22,11.34538,1.7232985e+22,6.3831085e-22,1.6274437,[-0.114  0.048  0.136  0.816],-1.0,inf,,42.704647,241.78313,29.982456,442,0.46737316,42.704647185521814,241.78313,0.14950503,3.871231e-23,59.976116,9.999932,12.72219,-28.902916,-6.0859265,-inf,True,1.7232983e+22,,55,-inf,9.999932,11,1,5.2727272727272725,6.275656700134277,1.0,1.7232983e+22,5,,29.99366
0.41894197,1.1978877e-18,16.101965,9.182831e+18,1.1978878e-18,0.19842303,[-0.114  0.048  0.136  0.816],-1.0,inf,,33.61454,30.849886,9.99097,490,0.0561925,33.614540173294294,30.849886,0.022117522,,69.962776,9.999827,23.623568,-48.869534,-4.8935547,-inf,True,9.1828303e+18,,66,-inf,9.999827,11,1,4.363636363636363,6.5977537631988525,1.0,9.1828303e+18,6,,59.971806
0.41894197,5.3612405e-16,22.957859,2.0517639e+16,5.3612405e-16,0.2396944,[-0.114  0.048  0.136  0.816],-1.0,inf,,49.975197,47.25688,9.985841,556,0.08218875,49.97519934946127,47.25688,0.04340848,1.7567592e-19,79.97006,9.999972,39.989357,-22.353394,-3.5297804,-inf,True,2.0517639e+16,,77,-inf,9.999972,11,1,6.0,6.985097169876099,1.0,2.0517639e+16,7,,69.98422
0.41894197,1.5259975e-15,17.998482,7208400000000000.0,1.5259975e-15,2.8658872,[-0.114  0.048  0.136  0.816],-1.0,inf,,41.78906,202.46516,19.973118,613,0.82116526,41.789056287754434,202.46516,0.32734504,1.9582405e-23,79.978,9.999969,21.815939,-30.575632,-8.065576,-inf,True,7208400000000000.0,,88,-inf,9.999969,11,1,5.181818181818182,7.270615816116333,1.0,7208400000000000.0,8,,60.00488
0.41894197,2.0304229e-21,9.618939,5.4175905e+21,2.0304229e-21,0.027150495,[-0.114  0.048  0.136  0.816],-1.0,nan,,37.253807,2.9937708,19.982368,665,0.007735573,37.2538074002091,2.9937708,0.0032696337,1.1703752e-25,49.985268,9.999986,17.27144,-32.586815,-3.8831625,nan,True,5.4175905e+21,,99,nan,9.999986,11,1,4.7272727272727275,7.6249470710754395,1.0,5.4175905e+21,9,,30.0029
0.41894197,7.1404614e-19,25.95658,1.5405167e+19,7.1404614e-19,3.5061114,[-0.114  0.048  0.136  0.816],-1.0,inf,,47.24503,540.7702,9.984596,728,1.0030674,47.24502688567205,540.7702,0.33635893,1.6479843e-24,109.93649,9.999976,37.260433,-28.684202,-7.090211,-inf,True,1.5405167e+19,,110,-inf,9.999976,11,1,5.7272727272727275,7.9693803787231445,1.0,1.5405167e+19,10,,99.9519
0.41894197,11.0,14.99248,1.0,11.0,112.13368,[-0.114  0.048  0.136  0.816],-1.0,1221987500000.0,,34.519894,1416.3977,9.9852705,777,40.62143,34.51989443881839,43555.297,21.119177,0.38172123,59.98595,9.999845,24.534624,-4.2096224,-4.2096224,-2042.7842,True,1.0,,121,-692472960.0,9.999845,11,2,4.454545454545454,8.492462635040283,1.0,1.0,1,,50.00068
0.41894197,0.06896972,12.330073,159.49028,0.06896972,1.4682152,[-0.145  0.209  0.109  1.003],-1.0,2.2362342e+17,,35.435574,137.78665,9.981883,827,0.4343227,35.43557373132146,137.7268,0.2353774,2.1537497e-05,49.98151,9.999977,25.453691,-10.56138,-5.7205677,-205814330000.0,True,159.49028,,132,-205646070000.0,9.999977,11,2,4.545454545454546,8.952109098434448,1.0,159.49028,2,,39.999626
0.41894197,0.01671399,17.572844,658.1313,0.01671399,6.5216618,[-0.144  0.211  0.11   1.001],-1.0,1.1309119e+22,,29.975191,1221.8442,,871,1.8005972,29.97519446368874,1221.8442,0.9958227,1.6405767e-07,69.96764,9.999859,29.975191,-10.613857,-5.511897,-90625810000000.0,True,658.1313,,143,-90625810000000.0,9.999859,11,2,4.0,9.373783349990845,1.0,658.1313,3,,69.96764
0.41894197,0.2950806,18.630102,37.27795,0.2950806,25.01685,[-0.144  0.211  0.11   1.001],-1.0,3276638000000.0,,37.25225,9113.025,9.982473,923,7.067204,37.25224924826217,9106.347,2.7392623,0.00010964211,69.98554,9.999989,27.269775,-6.656884,-6.882469,-1559044400.0,True,37.27795,,154,-1543392900.0,9.999989,11,2,4.7272727272727275,9.76393747329712,1.0,37.27795,4,,60.003067
0.41894197,0.29798716,12.389128,36.91434,0.29798716,6.648795,[-0.14   0.205  0.118  1.006],-1.0,9629282000000.0,,39.06241,2898.844,19.978628,977,1.9865596,39.06240857490338,2894.7834,1.2838703,0.0005144903,59.92533,9.999908,19.08378,-5.5879884,-2.913198,-1944567700.0,True,36.91434,,165,-1939820400.0,9.999908,11,2,4.909090909090909,10.230068445205688,1.0,36.91434,5,,39.9467
0.41894197,0.51997375,9.789242,21.154915,0.51997375,4.3506336,[-0.143  0.207  0.114  1.005],-1.0,2617514400000.0,,33.613804,1276.7585,9.986505,1025,1.1280513,33.61380134688687,1278.1404,1.0917296,0.003973418,49.98846,9.999981,23.627296,-6.0479345,-4.9461694,-704478500.0,True,21.154915,,176,-703765400.0,9.999981,11,2,4.363636363636363,10.696510314941406,1.0,21.154915,6,,40.001957
0.41894197,0.6483189,30.395199,16.966959,0.6483189,11.87179,[-0.142  0.206  0.117  1.005],-1.0,263426330000.0,,41.789383,3777.7087,19.964998,1082,3.3523183,41.789382600669406,3689.0845,1.958382,0.00023623687,129.9648,9.999317,21.824385,-11.323847,-7.164111,-1534287500.0,True,16.966959,,187,-1509124900.0,9.999317,11,2,5.181818181818182,11.206861734390259,1.0,16.966959,7,,109.9998
0.41894197,0.2052815,18.804668,53.584957,0.20528148,13.721954,[-0.138  0.216  0.118  0.995],-1.0,304908000000000.0,,40.887264,8467.769,9.982581,1138,3.8622186,40.88726320314385,8465.663,1.5899765,0.006807961,79.97494,9.999954,30.90468,-5.551963,-3.7316623,-19450413000.0,True,53.58496,,198,-19441754000.0,9.999954,11,2,5.090909090909091,11.712582111358643,1.0,53.58496,8,,69.992355
0.41894197,1.6362993,25.5798,6.7224865,1.6362991,27.300428,[-0.138  0.214  0.118  0.996],-1.0,656704600.0,,39.975044,6773.9307,9.981681,1193,7.5766683,39.97504494359368,6849.064,3.7145684,0.0021373662,99.960815,9.999988,29.993364,-6.8390255,-3.7655444,-44669860.0,True,6.722487,,209,-44581468.0,9.999988,11,2,5.0,12.142802715301514,1.0,6.722487,9,,89.97913
0.41894197,0.009363396,20.035109,1174.7875,0.009363396,8.4236355,[-0.136  0.21   0.12   1.   ],-1.0,4.172969e+23,,32.70344,3223.1475,9.979826,1240,2.7893562,32.7034427218585,3223.1475,1.9178016,0.0006885101,59.985832,9.99929,22.723616,-4.48832,-4.347517,-404634570000000.0,True,1174.7875,,220,-404634570000000.0,9.99929,11,2,4.2727272727272725,12.42141580581665,1.0,1174.7875,10,,50.006004
0.41894197,11.0,8.810032,1.0,11.0,177.59476,[-0.136  0.21   0.12   1.   ],-1.0,681073600.0,,36.33856,1398.1074,19.983727,1291,50.440422,36.33855736915345,30410.746,19.082212,0.36275914,49.980103,9.999982,16.35483,-4.0208883,-4.0208883,-1832.9556,True,1.0,,231,-11378804.0,9.999982,11,3,4.636363636363637,12.679661273956299,1.0,1.0,1,,29.996376
0.41894197,0.04588588,23.286894,239.72516,0.04588588,2.3365963,[-0.156  0.073  0.136  0.792],-1.0,2.3698577e+19,,48.15248,1492.3334,19.973534,1355,0.7071397,48.152482451150725,1492.3334,0.8153063,0.022819493,99.979004,9.999872,28.17895,-4.666043,-4.279706,-8470748000000.0,True,239.72516,,242,-8470748000000.0,9.999872,11,3,5.818181818181818,13.028473615646362,1.0,239.72516,2,,80.00547
0.41894197,0.339728,27.655031,32.378845,0.339728,5.5311747,[-0.156  0.073  0.136  0.792],-1.0,17461319000000.0,,42.70475,1766.9089,,1413,1.6756592,42.704749317490055,1775.8604,1.3815526,0.00039967356,99.98164,9.999957,42.70475,-9.488499,-5.5794525,-7309866000.0,True,32.378845,,253,-7271469600.0,9.999957,11,3,5.2727272727272725,13.422311067581177,1.0,32.378845,3,,99.98164
