OptimizationReturnMean,TimestepsSoFar,EpLenMean,InitialReturnMean,Weights,DivergenceHarmonic,EpisodesSoFar,OptimizationReturnMax,EmpiricalD2Arithmetic,Penalization,MeanIW,ESSRenyiArithmetic,Inner Iteration,EmpiricalD2Harmonic,ReturnStepMax,ESSRenyiHarmonic,MeanEntropy,MinBehavPdf,WReturnMean,MeanD2-0,MinTargetPdf,InitialBound,EpRewMean,InitialReturnMax,Iteration,InitialReturnMin,TimeElapsed,InitialReturnStd,MaxIW,StdIW,ReturnStepMaxmin,MinIW,VarianceInitializer,OptimizationReturnMin,Bound,EpThisIter,LearnableVariance,Epsilon,StdWReturnMean,ReturnMeanIW
56.33618,84,7.636363636363637,66.316925,[0. 0. 0. 0.],547712600.0,11,179.90591,1.0,True,20.097076,11.0,1,1.0,9.9999895,11.0,0.41894197,-7.270849,7073.416,1.0,-7.270849,-13350.127,66.31692809494263,189.88666,1,9.980748,1.683387041091919,51.72505,64.24308,25.27901,9.9999895,0.5775535,-1.0,,-147038740.0,11,,1.0,,143315.95
63.60002,176,8.363636363636363,73.58205,[-0.131 -0.092 -0.231 -0.414],1.7563776e+18,22,229.93524,177.008,True,0.9982925,0.062144086,2,177.008,9.999866,0.062144086,0.41894197,-13.407587,1581.6058,177.008,-16.40703,-20068832000000.0,73.58204426667551,239.91727,1,9.982024,4.430289030075073,65.52055,3.530007,1.109231,9.999866,0.002353784,-1.0,,-13279295000000.0,11,,1.0,,1420.0134
87.236336,316,12.727272727272727,117.19874,[-0.144 -0.187 -0.177 -0.355],1.7884762e+22,33,259.97476,712.33844,True,36.157513,0.015442098,3,712.33844,9.999998,0.015442098,0.41894197,-12.26194,59276.54,712.33844,-14.626797,-1957007200000000.0,117.19874860195333,289.93716,1,29.962402,4.5817224979400635,74.10968,394.55307,113.336174,9.999998,0.0051139775,-1.0,,-1957007200000000.0,11,,1.0,,59276.54
104.50242,464,13.454545454545455,124.48109,[-0.144 -0.187 -0.177 -0.355],1.4293496e+36,44,339.9635,204.60277,True,451680130.0,0.053762715,4,204.60277,9.999996,0.053762715,0.41894197,-18.026573,7257.6733,204.60277,-22.791504,-40876440000000.0,124.481079128515,359.94217,1,19.978666,4.725229978561401,112.59234,4968470500.0,1428334500.0,9.999996,1.4225247,-1.0,,-2.6963591e+22,11,,1.0,,52185463000000.0
25.45915,536,6.545454545454546,55.429104,[ 0.114  0.647 -0.189  0.132],inf,55,59.98537,3881528300.0,True,3.3506868,2.8339353e-09,5,3881528300.0,9.999981,2.8339353e-09,0.41894197,-8.53605,11279.414,3881528300.0,-19.488026,-inf,55.429102651984024,89.95532,1,29.969952,4.838657379150391,18.757174,31.817917,9.098551,9.999981,3.3073397e-15,-1.0,,-inf,11,,1.0,,11279.414
36.354343,598,5.636363636363637,46.334927,[ 0.114  0.647 -0.189  0.132],inf,66,79.95369,588103360000000.0,True,4.9517903,1.8704195e-14,6,588103360000000.0,9.999735,1.8704195e-14,0.41894197,-5.0582047,12212.096,588103360000000.0,-20.917423,-inf,46.3349254178577,89.93427,1,9.980582,4.955100059509277,23.059553,53.2397,15.271411,9.999735,1.8753353e-16,-1.0,,-inf,11,,1.0,,12212.096
12.73005,667,6.2727272727272725,52.699707,[ 0.114  0.647 -0.189  0.132],inf,77,49.996845,71465295000000.0,True,74.62066,1.5392086e-13,7,71465295000000.0,9.999929,1.5392086e-13,0.41894197,-10.237743,472845.4,71465295000000.0,-25.89888,-inf,52.699709113392444,89.96651,1,39.96966,5.0717692375183105,16.557144,810.3389,232.66258,9.999929,3.1255317e-19,-1.0,,-inf,11,,1.0,,472845.4
44.53457,738,6.454545454545454,54.520157,[ 0.114  0.647 -0.189  0.132],inf,88,89.97215,670295360.0,True,7567081.5,1.6410675e-08,8,670295360.0,9.999977,1.6410675e-08,0.41894197,-15.416836,75606880000.0,670295360.0,-13.079282,-inf,54.52015972665967,99.95775,1,9.985592,5.1772589683532715,23.487207,83237880.0,23929206.0,9.999977,2.4957175e-10,-1.0,,-inf,11,,1.0,,75606880000.0
49.985706,815,7.0,59.96876,[ 0.114  0.647 -0.189  0.132],inf,99,129.96086,270688550000000.0,True,0.8050053,4.0637107e-14,9,270688550000000.0,9.999933,4.0637107e-14,0.41894197,-8.72632,1564.1296,270688550000000.0,-38.88354,-inf,59.96875681008424,139.94391,1,9.983047,5.293028116226196,33.83387,5.759349,1.6666797,9.999933,6.3939726e-27,-1.0,,-inf,11,,1.0,,1564.1296
33.64498,885,6.363636363636363,53.609093,[ 0.114  0.647 -0.189  0.132],inf,110,60.016136,100940490.0,True,0.79902935,1.089751e-07,10,100940490.0,9.999947,1.089751e-07,0.41894197,-6.276309,3313.5767,100940490.0,-19.58849,-inf,53.609090965695174,79.98025,1,19.964111,5.401074171066284,19.666767,4.929327,1.5805086,9.999947,3.0402956e-13,-1.0,,-inf,11,,1.0,,3313.5767
