MinTargetPdf,TimeElapsed,MaxIW,LearnableVariance,Penalization,MeanEntropy,MinIW,MinBehavPdf,Iteration,EmpiricalD2Harmonic,StdIW,ReturnStepMaxmin,ReturnMeanIW,InitialReturnMean,TimestepsSoFar,EmpiricalD2Arithmetic,Weights,ESSRenyiHarmonic,EpisodesSoFar,MeanD2-0,EpRewMean,EpLenMean,ESSRenyiArithmetic,VarianceInitializer,InitialReturnMin,InitialReturnStd,InitialBound,MeanIW,ReturnStepMax,EpThisIter,OptimizationReturnMin,DivergenceHarmonic,Inner Iteration,Epsilon,OptimizationReturnMax,WReturnMean,OptimizationReturnMean,Bound,InitialReturnMax,StdWReturnMean
-12.176404,1.5611701011657715,1779.6208,,True,0.41894197,0.39634195,-12.176404,1,1.0,505.16608,9.999977,5018052.5,102.67121,124,1.0,[ 0. -0. -0.  0.],11.0,11,1.0,102.67121766811019,11.272727272727273,11.0,-1.0,9.982406,80.78049,-36012.625,269.33484,9.999977,11,,5.6301053e+32,1,1.0,319.91916,17066.865,92.68881,-4.495417e+20,329.90155,
-19.040695,3.5098671913146973,8.078851,,True,0.41894197,1.3788933e-08,-9.990995,1,80665090000.0,2.3005998,9.999837,4690.777,63.59694,205,80665090000.0,[ 0.183  0.326 -0.093  0.319],1.363663e-10,22,80665090000.0,63.59694636369336,7.363636363636363,1.363663e-10,-1.0,19.972492,31.40399,-inf,1.0359524,9.999837,11,,inf,2,1.0,99.98532,4690.777,43.62445,-inf,119.95781,
-15.339354,3.6644821166992188,12.544347,,True,0.41894197,1.296303e-10,-9.583443,1,360057180000.0,3.5270288,10.0,7776.1987,50.879505,272,360057180000.0,[ 0.183  0.326 -0.093  0.319],3.0550704e-11,33,360057180000.0,50.87950984264989,6.090909090909091,3.0550704e-11,-1.0,9.982399,32.59054,-inf,1.6302844,10.0,11,,inf,3,1.0,109.987526,7776.1987,40.89711,-inf,119.969925,
-15.423264,3.8641746044158936,5.3586144,,True,0.41894197,2.4727993e-13,-5.10899,1,2579065300.0,1.5304365,9.999998,823.0307,53.607838,342,2579065300.0,[ 0.183  0.326 -0.093  0.319],4.265111e-09,44,2579065300.0,53.607839328009824,6.363636363636363,4.265111e-09,-1.0,9.98075,23.066935,-inf,0.5229523,9.999998,11,,inf,4,1.0,79.99559,823.0307,43.627087,-inf,89.97634,
-15.81282,4.0289223194122314,1.5931342,,True,0.41894197,2.4559084e-11,-4.7079654,1,1476270800.0,0.45810208,9.999994,845.46704,67.23862,427,1476270800.0,[ 0.183  0.326 -0.093  0.319],7.451208e-09,55,1476270800.0,67.23861948876896,7.7272727272727275,7.451208e-09,-1.0,39.97989,21.771473,-inf,0.23259072,9.999994,11,,inf,5,1.0,69.97097,845.46704,27.258728,-inf,109.95086,
-17.998566,4.216179609298706,4.6683884,,True,0.41894197,4.229557e-14,-4.505794,1,1467764700.0,1.4075079,9.999943,1017.67285,45.423233,488,1467764700.0,[ 0.183  0.326 -0.093  0.319],7.494389e-09,66,1467764700.0,45.423233586852795,5.545454545454546,7.494389e-09,-1.0,9.986249,21.043007,-inf,0.76278937,9.999943,11,,inf,6,1.0,69.98194,1017.67285,35.436985,-inf,79.96819,
-9.190898,4.387592792510986,54.94184,,True,0.41894197,9.829e-08,-5.443549,1,23807.688,15.538107,9.999995,44399.04,47.23717,551,23807.688,[ 0.183  0.326 -0.093  0.319],0.00046203565,77,23807.688,47.23716829565156,5.7272727272727275,0.00046203565,-1.0,19.965393,30.473465,-2.9639667e+18,6.542801,9.999995,11,,1.3990763e+30,7,1.0,100.01349,44399.04,27.271776,-2.9639667e+18,119.97888,
-19.288511,4.533146858215332,15.2875805,,True,0.41894197,1.7289158e-12,-5.746748,1,24588000.0,4.358038,9.999986,4142.74,43.61148,610,24588000.0,[ 0.183  0.326 -0.093  0.319],4.473727e-07,88,24588000.0,43.611480452246376,5.363636363636363,4.473727e-07,-1.0,19.965298,12.26309,-inf,1.7198642,9.999986,11,,inf,8,1.0,40.006664,4142.74,23.646181,-inf,59.971962,
-21.708866,4.733952522277832,2.1207702,,True,0.41894197,1.6879098e-15,-5.217591,1,1302434.1,0.63053495,9.9998665,458.30408,45.423183,671,1302434.1,[ 0.183  0.326 -0.093  0.319],8.445724e-06,99,1302434.1,45.423183132171886,5.545454545454546,8.445724e-06,-1.0,29.950695,12.336326,-inf,0.3574921,9.9998665,11,,inf,9,1.0,30.039581,458.30408,15.472489,-inf,59.990276,
-21.287142,4.879340410232544,11.874461,,True,0.41894197,6.887715e-18,-8.331788,1,35301650000.0,3.3906326,9.999959,13117.036,54.51174,742,35301650000.0,[ 0.183  0.326 -0.093  0.319],3.1160016e-10,110,35301650000.0,54.511737909161226,6.454545454545454,3.1160016e-10,-1.0,19.966892,26.058134,-inf,1.1630696,9.999959,11,,inf,10,1.0,89.96887,13117.036,34.544846,-inf,109.93576,
