ESSRenyi,MaxVanillaIw,VanillaAvgRet,VarNormIw,AvgRet,Delta,AvgEpLen,eRenyi2,VarVanillaIw,BatchSize,AvgDiscRet,MaxNormIw,Bound,VarRet,VarJ,AvgNormIw,J,EpsThisIter,MinNormIw,MinVanillaIw,VarDiscRet,AvgVanillaIw,ESSClassic,IterType
66.5710392368,2.22186,-137.493363145,4.14763e-05,-137.493363145,0.8,66.5,1.50215,0.395755,100,-137.493363145,0.0227459,-144.161,8058.22074945,22.8322,0.01,-113.803,100,0.000144179,0.0140837,8058.22074945,0.976817,70.8910791416,1
86.2371106041,1.87476,-118.626029306,1.74886e-05,-118.626029306,0.8,31.54,1.15959,0.1781,100,-118.626029306,0.0185777,-136.6,2688.26488217,9.0912,0.01,-110.809,100,0.000842547,0.0850252,2688.26488217,1.00914,85.2414878178,1
90.7859777216,1.66835,-112.706300461,9.03554e-06,-112.706300461,0.8,22.45,1.10149,0.0869437,100,-112.706300461,0.0170077,-132.609,1191.9239797,7.22133,0.01,-109.061,100,0.00134259,0.1317,1191.9239797,0.980939,91.789275602,1
97.1836509279,1.32268,-107.914090184,2.65402e-06,-107.914090184,0.8,16.97,1.02898,0.0285422,100,-107.914090184,0.0127545,-114.08,11.4866969451,2.80525,0.01,-107.679,100,0.00320173,0.332029,11.4866969451,1.03703,97.4397829093,1
97.4203140312,1.31101,-108.690337542,1.63127e-06,-108.690337542,0.8,16.63,1.02648,0.0169562,100,-108.690337542,0.0128589,-114.76,12.2783434662,3.30165,0.01,-108.534,100,0.00630178,0.642486,12.2783434662,1.01953,98.4107172047,1
93.9813287826,1.45792,-108.220017853,5.73026e-06,-108.220017853,0.8,17.57,1.06404,0.0603675,100,-108.220017853,0.0142043,-114.244,17.4045331353,3.37924,0.01,-107.817,100,0.00335973,0.344841,17.4045331353,1.02639,94.6315789804,1
99.9999046327,2.67786e-09,-108.009766202,0.00962086,-108.009766202,0.8,16.51,1.0,7.17078e-20,100,-108.009766202,0.980871,-111.792,18.3444329746,1.27446,0.01,-104.803,100,,,18.3444329746,2.73009e-11,1.03899927081,1
87018554.0887,inf,-108.009766202,nan,-108.009766202,0.8,16.51,2.29836e-06,nan,200,-136.240688507,nan,nan,18.3444329746,nan,nan,nan,100,nan,3.73432e+08,4834.638555,inf,nan,
191.039794454,1.43462,-107.581402591,1.27105e-06,-107.581402591,0.8,17.14,1.0469,0.0504567,200,-107.581402591,0.00720046,-112.616,8.9974800561,3.17706,0.005,-107.56,100,0.00159961,0.318706,8.9974800561,0.996202,190.369621189,1
200.0,1.0,-107.308781254,3.50449e-18,-107.308781254,0.8,17.16,1.0,,200,-107.308781254,0.01,-113.27,9.59841211599,3.0826,0.01,-107.309,100,0.01,1.0,9.59841211599,1.0,100.0,2
181.720931497,4.40491,-107.449812658,3.99363e-06,-107.449812658,0.8,16.38,1.10059,0.165485,200,-107.449812658,0.0216392,-111.427,6.74412068326,3.62391,0.005,-107.004,100,0.00146153,0.297511,6.74412068326,1.01781,172.570511512,1
200.0,1.0,-107.143767667,3.50449e-18,-107.143767667,0.8,16.2,1.0,,200,-107.143767667,0.01,-113.34,9.99416923084,3.14551,0.01,-107.144,100,0.01,1.0,9.99416923084,1.0,100.0,2
192.508413027,1.35114,-107.960706174,1.14064e-06,-107.960706174,0.8,21.44,1.03892,0.0459313,200,-107.960706174,0.00673319,-111.829,10.5161708889,2.82196,0.005,-107.363,100,0.00159541,0.320149,10.5161708889,1.00335,191.3148179,1
200.0,1.0,-107.131685726,3.50449e-18,-107.131685726,0.8,19.58,1.0,,200,-107.131685726,0.01,-114.41,22.1642023893,4.68429,0.01,-107.132,100,0.01,1.0,22.1642023893,1.0,100.0,2
188.162059315,1.46417,-107.47509244,1.62049e-06,-107.47509244,0.8,17.65,1.06291,0.0663274,200,-107.47509244,0.00723716,-112.289,25.5888769702,3.38172,0.005,-106.877,100,0.000751365,0.152011,25.5888769702,1.01157,187.882433019,1
200.0,1.0,-107.446615384,3.50449e-18,-107.446615384,0.8,16.54,1.0,,200,-107.446615384,0.01,-113.288,7.76370647362,2.77238,0.01,-107.447,100,0.01,1.0,7.76370647362,1.0,100.0,2
194.591883662,1.36493,-107.459560348,8.49269e-07,-107.459560348,0.8,17.29,1.02779,0.0341351,200,-107.459560348,0.00680818,-111.53,8.15602323886,2.6958,0.005,-107.343,100,0.00153936,0.308616,8.15602323886,1.00242,193.460880859,1
200.0,1.0,-106.956481504,3.50449e-18,-106.956481504,0.8,15.88,1.0,,200,-106.956481504,0.01,-112.781,7.86468338643,2.79035,0.01,-106.956,100,0.01,1.0,7.86468338643,1.0,100.0,2
197.962628884,1.28627,-106.731801439,2.65081e-07,-106.731801439,0.8,17.67,1.01029,0.0107059,200,-106.731801439,0.00640042,-110.943,6.1667733332,2.53285,0.005,-106.803,100,0.00354378,0.71218,6.1667733332,1.00483,197.911978571,1
200.0,1.0,-106.602832703,3.50449e-18,-106.602832703,0.8,17.29,1.0,,200,-106.602832703,0.01,-112.275,10.7589445302,3.26364,0.01,-106.603,100,0.01,1.0,10.7589445302,1.0,100.0,2
192.97848922,1.6662,-106.984685943,8.12032e-07,-106.984685943,0.8,16.8,1.03638,0.0328078,200,-106.984685943,0.00828944,-111.078,7.04606020961,3.58997,0.005,-106.647,100,0.00314654,0.632464,7.04606020961,1.00501,193.738601241,1
200.0,1.0,-106.612533453,3.50449e-18,-106.612533453,0.8,17.55,1.0,,200,-106.612533453,0.01,-112.331,5.92907458981,2.42276,0.01,-106.613,100,0.01,1.0,5.92907458981,1.0,100.0,2
193.835986389,1.37433,-106.932612509,8.89308e-07,-106.932612509,0.8,16.55,1.0318,0.034736,200,-106.932612509,0.0069539,-110.828,7.40961588632,2.46348,0.005,-106.64,100,0.00172281,0.340487,7.40961588632,0.988174,193.163023253,1
200.0,1.0,-107.07005111,3.50449e-18,-107.07005111,0.8,18.06,1.0,,200,-107.07005111,0.01,-113.574,11.0022760458,3.30034,0.01,-107.07,100,0.01,1.0,11.0022760458,1.0,100.0,2
187.721659927,1.82628,-106.562409071,1.83916e-06,-106.562409071,0.8,17.1,1.06541,0.0709114,200,-106.562409071,0.00930075,-111.275,11.8724906043,3.72013,0.005,-106.528,100,0.00134096,0.263308,11.8724906043,0.981789,186.358811183,1
200.0,1.0,-107.099709946,3.50449e-18,-107.099709946,0.8,17.0,1.0,,200,-107.099709946,0.01,-112.953,8.94386767592,2.97564,0.01,-107.1,100,0.01,1.0,8.94386767592,1.0,100.0,2
194.359375903,1.26472,-106.221567036,8.70468e-07,-106.221567036,0.8,18.26,1.02902,0.0336387,200,-106.221567036,0.00643354,-110.725,5.59792466672,2.50214,0.005,-106.526,100,0.001595,0.313549,5.59792466672,0.982908,193.303157859,1
200.0,1.0,-106.810879271,3.50449e-18,-106.810879271,0.8,16.09,1.0,,200,-106.810879271,0.01,-112.453,5.01591078034,2.2284,0.01,-106.811,100,0.01,1.0,5.01591078034,1.0,100.0,2
196.205541048,1.99141,-106.917925551,5.871e-07,-106.917925551,0.8,16.91,1.01934,0.0234947,200,-106.917925551,0.00995479,-110.909,6.40906333286,2.58071,0.005,-106.788,100,0.00315323,0.63079,6.40906333286,1.00023,195.433355718,1
200.0,1.0,-106.878396153,3.50449e-18,-106.878396153,0.8,17.22,1.0,,200,-106.878396153,0.01,-112.792,10.8834349378,3.28247,0.01,-106.878,100,0.01,1.0,10.8834349378,1.0,100.0,2
